Наименование,Описание,Категория,Цена,Фото
Шакарап,180 г,Салаты,170 с,https://nambafood.kg/dish_image/107858.png
Свежий салат с маслом,200 г,Салаты,180 с,https://nambafood.kg/dish_image/107926.png
Витаминный салат,"200 г. Легкий салат из сельдерея, яблок, капусты, свежей моркови, свеклы, заправленный яблочным соком и оливковым маслом с добавками семечек.",Салаты,190 с,https://nambafood.kg/dish_image/107861.png
Капустный салат с овощами,200 г,Салаты,190 с,https://nambafood.kg/dish_image/107917.png
Китайский салат из огурцов в чесночном соусе,250 г,Салаты,180 с,https://nambafood.kg/dish_image/108001.png
Свекольный салат,250 г,Салаты,190 с,https://nambafood.kg/dish_image/107918.png
Салат «Чайхана»,250 г,Салаты,300 с,https://nambafood.kg/dish_image/107904.png
Греческий салат,280 г,Салаты,320 с,https://nambafood.kg/dish_image/107927.png
Хе из языка,250 г,Салаты,330 с,https://nambafood.kg/dish_image/107856.png
Цезарь с курицей,300 г,Салаты,390 с,https://nambafood.kg/dish_image/107860.png
Цезарь с креветками,"300 г. Сочные листья салата и салата «Айсберг» с обжаренными креветками, крутонами, с сыром «Пармезан» в соусе «Цезарь».",Салаты,490 с,https://nambafood.kg/dish_image/107859.png
Микс салат с креветками и авокадо,250 г,Салаты,490 с,https://nambafood.kg/dish_image/128449.png
Сельдь с жаренным картофелем и хрустящими хлебцами,300 г,Холодные закуски,350 с,https://nambafood.kg/dish_image/107850.png
Капрезе из моцареллы и томатов,330 г,Холодные закуски,390 с,https://nambafood.kg/dish_image/128462.png
Домашние соленья,450 г,Холодные закуски,370 с,https://nambafood.kg/dish_image/107849.png
Тарелка свежих овощей с брынзой,350 г,Холодные закуски,380 с,https://nambafood.kg/dish_image/107846.png
Сырная тарелка,400 г,Холодные закуски,750 с,https://nambafood.kg/dish_image/107847.png
Мясные деликатесы от Омара,"350 г. Куриный рулет, шпиг, баранина, казы, говяжий рулет.",Холодные закуски,750 с,https://nambafood.kg/dish_image/107845.png
Рыбное ассорти,300 г,Холодные закуски,950 с,https://nambafood.kg/dish_image/107848.png
Алатские самсы,100 г,Горячие закуски,80 с,https://nambafood.kg/dish_image/107924.png
Спринг роллы с курицей и грибами,250 г,Горячие закуски,390 с,https://nambafood.kg/dish_image/108006.png
Цыпленок табака по-домашнему,700 г,Горячие закуски,690 с,https://nambafood.kg/dish_image/107835.png
Чучвара,350 г. Пельмени ручной лепки с телятиной в бульоне со сметаной.,Супы,175 с,https://nambafood.kg/dish_image/107878.png
Крем-суп чечевичный,300 г,Супы,180 с,https://nambafood.kg/dish_image/107883.png
Мампар по-уйгурски,350 г,Супы,200 с,https://nambafood.kg/dish_image/107879.png
Суп «Альбондигос»,350 г,Супы,195 с,https://nambafood.kg/dish_image/107947.png
Борщ с чесночными гренками,"350 г. Классический красный суп с капустой, телятиной, овощами, подается со сметаной и чесночными гренками.",Супы,210 с,https://nambafood.kg/dish_image/107876.png
Кюфта боз-баш,350 г,Супы,260 с,https://nambafood.kg/dish_image/107946.png
Шорпо из говядины,350 г,Супы,225 с,https://nambafood.kg/dish_image/107945.png
Шорпо из баранины на косточке,350 г,Супы,230 с,https://nambafood.kg/dish_image/107880.png
Солянка мясная,350 г,Супы,240 с,https://nambafood.kg/dish_image/107884.png
Крем-суп грибной,300 г. Домашний крем-суп из грибов со сливками.,Супы,250 с,https://nambafood.kg/dish_image/107882.png
Рамен с мясом и сыром,400 г,Супы,280 с,https://nambafood.kg/dish_image/128478.png
Острый суп в китайском стиле,350 г,Супы,280 с,https://nambafood.kg/dish_image/107885.png
Азиатский Том-ям с морепродуктами,400,Супы,410 с,https://nambafood.kg/dish_image/128479.png
Котлеты из телятины на пару,180 г,Фирменные блюда из говядины,290 с,https://nambafood.kg/dish_image/107912.png
Котлеты по-домашнему,250 г,Фирменные блюда из говядины,290 с,https://nambafood.kg/dish_image/107909.png
Телятина с по-строгановски со сливочным пюре,380 г,Фирменные блюда из говядины,410 с,https://nambafood.kg/dish_image/107894.png
Мясо в китайском стиле (говядина),200 г,Фирменные блюда из говядины,460 с,https://nambafood.kg/dish_image/108009.png
Джиз из телятины,250 г. Нежная телятина обжаренная со специями.,Фирменные блюда из говядины,420 с,https://nambafood.kg/dish_image/107908.png
Томленые ребрышки от шефа,150 г,Фирменные блюда из говядины,650 с,https://nambafood.kg/dish_image/128469.png
Куурдак из говядины,500 г,Фирменные блюда из говядины,550 с,https://nambafood.kg/dish_image/107834.png
Куурдак из баранины,500 г,Фирменные блюда из баранины,560 с,https://nambafood.kg/dish_image/107889.png
Баранья рулька «Барбакоа»,500 г,Фирменные блюда из баранины,890 с,https://nambafood.kg/dish_image/107953.png
Куриные биточки с трюфельным пюре,350 г,Фирменные блюда из курицы,330 с,https://nambafood.kg/dish_image/128508.png
Куриная грудка на пару в сливочно-грибном соусе,250 г,Фирменные блюда из курицы,370 с,https://nambafood.kg/dish_image/128509.png
"Куриная грудка, запеченная с томатами под сыром",300 г,Фирменные блюда из курицы,370 с,https://nambafood.kg/dish_image/107837.png
Куриный рулет с овощами и сливочным соусом,300 г,Фирменные блюда из курицы,380 с,https://nambafood.kg/dish_image/128510.png
Куриная грудка со шпинатом и сыром,300 г,Фирменные блюда из курицы,370 с,https://nambafood.kg/dish_image/107903.png
Пульгоги из курицы с рисом,500 г,Фирменные блюда из курицы,470 с,https://nambafood.kg/dish_image/107954.png
Рыба по-домашнему,300 г,Фирменные блюда из рыбы,410 с,https://nambafood.kg/dish_image/107899.png
Форель на пару,180 г,Фирменные блюда из рыбы,420 с,https://nambafood.kg/dish_image/107913.png
Филе судака на подушке из брокколи и сливочно-шпинатным соусом,300 г,Фирменные блюда из рыбы,410 с,https://nambafood.kg/dish_image/128482.png
Семга на пару,200 г,Фирменные блюда из рыбы,900 с,https://nambafood.kg/dish_image/108000.png
Стейк из семги под сливочно-икорным соусом,200 г,Фирменные блюда из рыбы,900 с,https://nambafood.kg/dish_image/107821.png
Манты с телятиной,60 г,Мучные блюда,50 с,https://nambafood.kg/dish_image/107795.png
Манты жареные с телятиной,60 г,Мучные блюда,55 с,https://nambafood.kg/dish_image/107798.png
Вареники с картошкой,300 г,Мучные блюда,190 с,https://nambafood.kg/dish_image/107794.png
Лагман по-домашнему,350 г,Мучные блюда,280 с,https://nambafood.kg/dish_image/107801.png
Гюро лагман,350 г,Мучные блюда,280 с,https://nambafood.kg/dish_image/107799.png
Босо лагман,350 г,Мучные блюда,280 с,https://nambafood.kg/dish_image/107800.png
Ганфан,350 г,Мучные блюда,280 с,https://nambafood.kg/dish_image/107802.png
Хачапури с сыром,700 г,Мучные блюда,550 с,https://nambafood.kg/dish_image/108011.png
