Наименование,Описание,Категория,Цена,Фото
Завтрак охотника,,Завтраки,320 с,https://nambafood.kg/dish_image/118997.png
Итальянский завтрак,,Завтраки,375 с,https://nambafood.kg/dish_image/118998.png
Японской завтрак,,Завтраки,320 с,https://nambafood.kg/dish_image/118999.png
Тосты с лососем и яйцом пашот,Хрустящие тосты с копченым лососем и яйцом пашот.,Закуски,290 с,https://nambafood.kg/dish_image/114420.png
Клаб сэндвич с эби,"Сэндвич с тигровыми креветками, крем чиз, руккола, фирменная заправка. Подается с картофелем фри.",Закуски,320 с,https://nambafood.kg/dish_image/114387.png
Брускетта с баклажановым тапинадом и сыром моцарелла,,Закуски,200 с,https://nambafood.kg/dish_image/114505.png
Брускетта с томатами,Тар-тар из томатов сыр моцарелла базилик.,Закуски,180 с,https://nambafood.kg/dish_image/114506.png
Степ ролл «Нори»,"Нори, отварной рис, лосось и зеленый лук.",Закуски,310 с,https://nambafood.kg/dish_image/114415.png
Спринг рол из рисовой бумаги,"Тигровые креветки гриль, слайсы из авокадо с добавлением свежих огурцов и моркови подается с фирменным соусом.",Закуски,360 с,https://nambafood.kg/dish_image/114414.png
Томагояки,Нежный японский омлет с добавлением свежих овощей. Подается с маринованным луком.,Закуски,220 с,https://nambafood.kg/dish_image/114419.png
Онигири,Японские рисовые колобки с жареным нори и стружкой унаги. Подается с фирменным соусом.,Закуски,210 с,https://nambafood.kg/dish_image/114395.png
Иноки в кисло-остром соусе,"Грибы иноки, осьминог, кисло-острая заправка.",Закуски,250 с,https://nambafood.kg/dish_image/114403.png
Фирменный сет «ДоЁби»,"Темпура из тигровых креветок и кальмаров, онигири, чипсы нори, невидимый снек. Подается с соусом унаги и острым соусом.",Закуски,750 с,https://nambafood.kg/dish_image/114424.png
Цезарь с курицей,"Айсберг, куриное филе, сыр пармезан, крутоны, помидоры черри, соус цезарь.",Салаты,375 с,https://nambafood.kg/dish_image/114408.png
Цезарь с креветками,"Айсберг, тигровые креветки, сыр пармезан, крутоны, помидоры черри, соус цезарь.",Салаты,425 с,https://nambafood.kg/dish_image/114507.png
Салат «Нисуаз» с тунцом,"Микс салата, консервированный тунец, яйцо, помидоры черри заправляется лимонным дрессингом.",Салаты,450 с,https://nambafood.kg/dish_image/114404.png
Салат тофу,Тофу обжаренный на гриле с фирменной заправкой на основе соевой пасты со свежей кинзой.,Салаты,220 с,https://nambafood.kg/dish_image/114927.png
Салат чука,Чука с ореховым соусом и кунжутом.,Салаты,330 с,https://nambafood.kg/dish_image/114409.png
Салат теплый Вакамэ,"Бон филе говядины, водоросли вакаме, древесные грибы фирменная заправка.",Салаты,290 с,https://nambafood.kg/dish_image/114417.png
Салат из баклажан с грибами шитаке,"Бон филе, баклажановые брусочки, болгарский перец, острый перец, шитаке, кинза, чеснок.",Салаты,300 с,https://nambafood.kg/dish_image/114402.png
Салат тосканский,"Руккола, вяленые помидоры черри, стружка из тигровых креветок, бальзамический дрессинг.",Салаты,320 с,https://nambafood.kg/dish_image/114407.png
Свекольный салат с рукколой и моцареллой,"Припущенная свекла, сыр моцарелла подается на подушке из рукколы с цитрусом и свекольным дрессингом.",Салаты,340 с,https://nambafood.kg/dish_image/114508.png
Салат с копченной семгой и картофельными крокетами,"Филе копченого лосося, крокеты, вяленые помидоры черри на подушке из шпината. Заправляется бальзамическим дрессингом.",Салаты,370 с,https://nambafood.kg/dish_image/114405.png
Салат греческий,"Свежие огурцы, помидоры, листья салата, брынза, оливки, маслины. Заправка на основе оливкового масла и лимона.",Салаты,400 с,https://nambafood.kg/dish_image/114401.png
Удон с курицей,,Лапша WOK,350 с,https://nambafood.kg/dish_image/114423.png
Удон с говядиной,,Лапша WOK,370 с,https://nambafood.kg/dish_image/114422.png
Соба веган,,Лапша WOK,320 с,https://nambafood.kg/dish_image/114411.png
Соба с курицей,,Лапша WOK,370 с,https://nambafood.kg/dish_image/114412.png
Фунчоза с бон филе,"Бон филе говядина, фунчоза, морковь, редька.",Лапша WOK,320 с,https://nambafood.kg/dish_image/114426.png
Кукси,,Супы,250 с,https://nambafood.kg/dish_image/121648.png
Том Ям,Кисло острый суп с тигровыми креветками и мидиями. Подается с рисом.,Супы,350 с,https://nambafood.kg/dish_image/114418.png
Мисо суп,"Рыбный бульон с пастой мисо,вакамэ тофу и ломтиками семги.",Супы,280 с,https://nambafood.kg/dish_image/114393.png
Рамен с курицей,"Домашняя лапша, куриное филе, ростки, нори и слайсами томаго.",Супы,370 с,https://nambafood.kg/dish_image/114398.png
Рамен грибной,"Домашняя лапша, ростки, нори, грибы шитаки и маринованный лук.",Супы,340 с,https://nambafood.kg/dish_image/114509.png
Суп кимчи,Острый суп кимчи с говядиной. Подается в кипящем виде.,Супы,290 с,https://nambafood.kg/dish_image/114386.png
Кэнтин Дзиру,Овощной суп с пастой мисо.,Супы,290 с,https://nambafood.kg/dish_image/114392.png
Филадельфия - Сакура,"Сливочный сыр, лосось, угорь, тобико.",Роллы,389 с,https://nambafood.kg/dish_image/115019.png
Филадельфия - Харумаги,"Тунец, сливочный сыр.",Роллы,389 с,https://nambafood.kg/dish_image/115020.png
Филадельфия - Креветка,"Сливочный сыр, лосось, креветка.",Роллы,389 с,https://nambafood.kg/dish_image/115021.png
Филадельфия - Гриль,"Сливочный сыр, лосось, гриль.",Роллы,389 с,https://nambafood.kg/dish_image/115022.png
