Наименование,Описание,Категория,Цена,Фото
Цезарь с курицей,"Микс салат, обжаренная на гриле курица, крутоны заправленные соусом Цезарь под сыром пармезан.",Салаты,450 с,https://nambafood.kg/dish_image/117146.png
Цезарь с креветками,"Микс салат, обжаренные на гриле тигровые креветки, крутоны заправленные соусом Цезарь под сыром пармезан.",Салаты,550 с,https://nambafood.kg/dish_image/117147.png
Греческий,Микс свежий овощей с греческой фетой и горчично-оливковой заправкой.,Салаты,380 с,https://nambafood.kg/dish_image/117142.png
Острый салат с телятиной,"Микс салата с овощами, заправленные соусом из кайенского Чили-перца",Салаты,560 с,https://nambafood.kg/dish_image/143155.png
Фирменный «Цезарь»,"Курица на гриле, слайсы Пармезана, кедровые орешки, вяленые помидоры, хрустящая морковь",Салаты,540 с,https://nambafood.kg/dish_image/143156.png
Фитнес-салат,"Цветная капуста, брокколи, стручковая фасоль, каперсы, перец болгарский, заправляется оливковым маслом",Салаты,320 с,https://nambafood.kg/dish_image/136430.png
Теплый салат с баклажанами,"Хрустящие баклажаны, цветная капуста, моцарелла, сладкий соус чили",Салаты,390 с,https://nambafood.kg/dish_image/143158.png
Суп лапша по-китайски,Суп из филе курицы с лапшой и яйцом.,Супы,280 с,https://nambafood.kg/dish_image/136433.png
Том-ям классический,"Тайский кисло-острый суп, креветки, шампиньоны, филе курицы, паста том-ям, кокосовое молоко, рыбный соус, восточные специи.",Супы,490 с,https://nambafood.kg/dish_image/117151.png
Кукси,"Корейский суп с лапшой, мясом и овощами.",Супы,340 с,https://nambafood.kg/dish_image/117150.png
Солянка,"Классический суп на основе копченностей, подается со сметаной.",Супы,290 с,https://nambafood.kg/dish_image/117149.png
Live бургер,"Фирменный бургер с картофельной булочкой, сочной котлетой из мраморной говядины, с томатами, салатом айсберг и соусом, подается с картофелем фри.",Бургеры и сэндвичи,420 с,https://nambafood.kg/dish_image/117159.png
Двойной чизбургер,"Бургер с картофельной булочкой, с двумя котлетами, сыром чеддер, горчичным соусом, томатами и салатом, подается с картофелем фри.",Бургеры и сэндвичи,490 с,https://nambafood.kg/dish_image/117160.png
