Наименование,Описание,Категория,Цена,Фото
Лаваш с домашним сыром,"Рулет из кавказского лаваша и свежей брынзы, обжаренной на гриле, с салатом Коул Слоу и домашней сметаной.",Закуски и Салаты,290 с,https://nambafood.kg/dish_image/141323.png
Грибочки под водочку,"Маринованные вешенки и опята с лучком, заправленные подсолнечным маслом.",Закуски и Салаты,290 с,https://nambafood.kg/dish_image/47014.png
Закуска по-русски,"Сельдь слабосоленная, отварной картофель, огурчики домашнего засола. Подается с бородинским хлебом и сливочным маслом.",Закуски и Салаты,320 с,https://nambafood.kg/dish_image/76549.png
Кавказский букет,"Ассорти из свежих огурцов и помидоров, сладкого болгарского перца, мягкой брынзы, маслин и зелени.",Закуски и Салаты,320 с,https://nambafood.kg/dish_image/141329.png
Домашние соленья,"Огурчики домашнего засола, маринованные помидорчики черри, квашенная капуста, патиссоны и маринованные маслины.",Закуски и Салаты,320 с,https://nambafood.kg/dish_image/47018.png
Закуска по-украински,"Три вида салата, маринованные огурчики, помидоры черри, бородинский хлеб, Подается с горчицей, чесноком и луком.",Закуски и Салаты,420 с,https://nambafood.kg/dish_image/141315.png
Сырная тарелка,"Оригинальная закуска из пяти видов сыров. Подается с медом, грецкими орехами, оливками, яблоком.",Закуски и Салаты,460 с,https://nambafood.kg/dish_image/141313.png
Beef Бургер,"Котлета из телятины, сыр Чеддер, свежие помидоры, маринованные огурчики, салат Айсберг, фирменный соус, картофель фри",Закуски и Салаты,399 с,https://nambafood.kg/dish_image/141302.png
Pinta Бургер,"Котлета из телятины и баранины, сыр чеддер, свежие помидоры, маринованные огурчики, салат Айсберг, фирменный соус, картофель фри",Закуски и Салаты,399 с,https://nambafood.kg/dish_image/141304.png
Chicken Бургер,"Котлета из курицы, сыр Чеддер, свежие помидоры, маринованные огурчики, салат Айсберг, фирменный соус, картофель фри",Закуски и Салаты,379 с,https://nambafood.kg/dish_image/141316.png
Mexican Бургер,"Котлета из телятины, сыр Чеддер, свежие помидоры, маринованные огурчики, салат Айсберг, перец халапеньо, фирменный острый соус, картофель фри",Закуски и Салаты,399 с,https://nambafood.kg/dish_image/141308.png
Оливье с мясом,Классический салат с мясом.,Салаты,260 с,https://nambafood.kg/dish_image/116103.png
Летний салат,"Салат из свежих помидоров и огурцов, сладкого болгарского перца и зелени заправленный на выбор: дрессинг \ лимон \ масло \ майонез \ сметана",Салаты,280 с,https://nambafood.kg/dish_image/141331.png
Гриль салат,"Нежное куриное филе, обжаренное на гриле с помидорами, кабачками и сладким перцем, под соусом тар-тар.",Салаты,340 с,https://nambafood.kg/dish_image/141333.png
Греческий салат,"Салат из свежих овощей с маслинами, сыром фетакса и греческим соусом.",Салаты,340 с,https://nambafood.kg/dish_image/47026.png
Остренький салат,"Пикантный салат из обжаренной телятины, свежих огурцов, сладкого перца, заправленный соевым соусом.",Салаты,340 с,https://nambafood.kg/dish_image/47025.png
Салат из баклажанов с мясом,"Теплый салат с жареной говядиной, баклажанами, помидорами, луком, сладким перцем, приправленный соевым соусом с кунжутом.",Салаты,380 с,https://nambafood.kg/dish_image/141337.png
Цезарь с курицей,"Нежная куриная грудка, обжаренная на гриле, свежие листья салата, крутоны и сыр пармезан, заправленные фирменным соусом «Цезарь».",Салаты,460 с,https://nambafood.kg/dish_image/116071.png
Вареники,Домашние вареники с картофельным пюре.,Супы,220 с,https://nambafood.kg/dish_image/46985.png
Суп-лапша по-домашнему,Ароматный куриный бульон с домашней лапшой и курицей.,Супы,220 с,https://nambafood.kg/dish_image/47056.png
Пельмени с говядиной,Домашние пельмени с говядиной.,Супы,240 с,https://nambafood.kg/dish_image/46986.png
Суп с фрикадельками,Домашний суп с нежными фрикадельками.,Супы,240 с,https://nambafood.kg/dish_image/46988.png
Грибной крем суп,Суп-пюре из шампиньонов.,Супы,280 с,https://nambafood.kg/dish_image/46989.png
Солянка,Сборная мясная солянка.,Супы,340 с,https://nambafood.kg/dish_image/46990.png
Уха царская,Уха из форели и судака с овощами.,Супы,340 с,https://nambafood.kg/dish_image/46991.png
Том-ям,"Кисло-острый тайский суп с лососем, креветками, кальмарами и шампиньонами. Подается с рисом.",Супы,399 с,https://nambafood.kg/dish_image/68270.png
Болоньезе,Спагетти с мясным соусом и овощами.,Паста,360 с,https://nambafood.kg/dish_image/141326.png
Карбонара,"Паста тальятелле с обжаренным беконом, яйцом и сливками с сыром пармезан.",Паста,360 с,https://nambafood.kg/dish_image/141332.png
Фарфалле с грибами,"Паста фарфалле с обжаренными шампиньонами, с зеленью, сыром пармезан и сырным соусом.",Паста,380 с,https://nambafood.kg/dish_image/46994.png
Феттучини с семгой,Паста феттучини с семгой и пармезаном.,Паста,440 с,https://nambafood.kg/dish_image/68272.png
Бефстроганов с рисом,Обжаренное мясо молодой телятины с луком домашней сметаной.,Блюда из говядины,459 с,https://nambafood.kg/dish_image/116073.png
Бефстроганов с пюре,Обжаренное мясо молодой телятины с луком домашней сметаной.,Блюда из говядины,449 с,https://nambafood.kg/dish_image/116072.png
Бифштекс с яйцом и пюре,"Нежная и румяная котлета из телятины, с яичной глазуньей.",Блюда из говядины,449 с,https://nambafood.kg/dish_image/116074.png
Бифштекс с яйцом и рисом,"Нежная и румяная котлета из телятины, с яичной глазуньей.",Блюда из говядины,459 с,https://nambafood.kg/dish_image/116075.png
Филе миньон,Стейк из бон филе. Подается со свежим салатом из помидоров и зелени.,Блюда из говядины,490 с,https://nambafood.kg/dish_image/141314.png
Рибай стейк,Говяжий стейк из толстого края без кости - безусловное удовольствие для любителей стейков. Подается со свежим салатом из помидоров и зелени.,Стейки из говядины,849 с,https://nambafood.kg/dish_image/47060.png
Нью-Йорк стейк,Знаменитый стейк из поясничной части с насыщенным мясным вкусом.,Стейки из говядины,849 с,https://nambafood.kg/dish_image/47061.png
Ти-бон стейк,Роскошный стейк с Т-образной косточкой сочетает насыщенность стриплойна и нежность бон филе. Подается с овощами гриль.,Стейки из говядины,899 с,https://nambafood.kg/dish_image/46946.png
Ребрышки деликатесные,Запеченные ребрышки ягненка в соево-медовом маринаде. Подаются с овощами гриль.,Блюда из баранины,520 с,https://nambafood.kg/dish_image/141322.png
Баранья рулька Pinta,Запеченная рулька барашка подается с картофельным пюре.,Блюда из баранины,"449 с


                    540 с",https://nambafood.kg/dish_image/47079.png
Стейк из свинины на гриле,Обжаренный на гриле нежный свиной стейк под гранатовым соусом.,Блюда из свинины,540 с,https://nambafood.kg/dish_image/141325.png
Ребрышки «Pinta»,Запеченные нежнейшие свиные ребрышки. Подаются со свежим салатом из помидоров и зелени.,Блюда из свинины,540 с,https://nambafood.kg/dish_image/116077.png
Баварская свиная рулька,"Блюдо на компанию. Подается с картофельным пюре, квашеной капустой, горчицей и хреном.",Блюда из свинины,949 с,https://nambafood.kg/dish_image/47033.png
Курица под сырным соусом,Нежное куриное филе в сырном соусе с брокколи и помидорами черри.,Блюда из птицы,340 с,https://nambafood.kg/dish_image/47082.png
Фрикасе из курицы,Нежное куриное филе с грибами и луком и домашней сметаной.,Блюда из птицы,320 с,https://nambafood.kg/dish_image/46981.png
Крылышки Баффало,Хрустящие куриные крылышки с острым соусом. Подаются с картофелем по-деревенски.,Блюда из птицы,390 с,https://nambafood.kg/dish_image/141319.png
Судак на гриле,Филе судака обжаренное на гриле. Подается с жареными шампиньонами в сливочном соусе.,Рыба,420 с,https://nambafood.kg/dish_image/46976.png
Fish & Chips,"Хрустящее филе рыбы в кляре, подается с картофелем по-деревенски.",Рыба,480 с,https://nambafood.kg/dish_image/141311.png
Стейк из форели Pinta,"Филе форели, обжаренное до румяной корочки, с соусом нуазет.",Рыба,490 с,https://nambafood.kg/dish_image/46979.png
Форель супрем,"форель, приготовленная с овощами на пару. 300 гр.",Рыба,490 с,https://nambafood.kg/dish_image/46978.png
Курица на жаровне,"Нежное куриное филе, обжаренное со свежими овощами и специями.",Блюда на жаровне,360 с,https://nambafood.kg/dish_image/85137.png
Говядина на жаровне,"Нежная телятина, обжаренная со свежими овощами и специями.",Блюда на жаровне,390 с,https://nambafood.kg/dish_image/47073.png
Форель на жаровне,"Обжаренное филе форели, со свежими овощами и специями.",Блюда на жаровне,390 с,https://nambafood.kg/dish_image/141320.png
Шашлык из печени,,Шашлыки и кебабы,260 с,https://nambafood.kg/dish_image/46958.png
Шашлык из печени в рубашке,,Шашлыки и кебабы,310 с,https://nambafood.kg/dish_image/47084.png
Люля кебаб,,Шашлыки и кебабы,"229 с


                    290 с",https://nambafood.kg/dish_image/46962.png
Оромо-кебаб,,Шашлыки и кебабы,310 с,https://nambafood.kg/dish_image/68280.png
Шашлык из баранины,,Шашлыки и кебабы,340 с,https://nambafood.kg/dish_image/46965.png
Бараньи ребрышки «Семечки»,,Шашлыки и кебабы,360 с,https://nambafood.kg/dish_image/47085.png
