Наименование,Описание,Категория,Цена,Фото
Томатный суп,250 гр Индийский суп с помидорами в томатном соусе,Первые блюда,180 с,https://nambafood.kg/dish_image/22192.png
Крем суп грибной,250 гр индийский суп из различных бобов,Первые блюда,190 с,https://nambafood.kg/dish_image/22193.png
Малай Мург Шорба,"250 гр филе цыпленка с обжаренными овощами, протертое и проваренное со сливками",Первые блюда,225 с,https://nambafood.kg/dish_image/22194.png
Малай Сабзи Шорба,250 гр суп с тертыми овощами в овощном бульоне,Первые блюда,190 с,https://nambafood.kg/dish_image/22195.png
Матан Шорба,"250 гр суп из кусочков баранины, обжаренные с овощами и проваренные в бульоне с томатной заправкой",Первые блюда,250 с,https://nambafood.kg/dish_image/22217.png
Крем суп из креветок,250 гр,Первые блюда,490 с,https://nambafood.kg/dish_image/22196.png
Суп Дал,желтая чечевица приготовленная с индийскими специями и травами,Первые блюда,190 с,https://nambafood.kg/dish_image/78790.png
Горячий суп из кислых овощей,"индо-китайский суп приготовленный с грибами, капустой в индийских специях",Первые блюда,190 с,https://nambafood.kg/dish_image/78794.png
Пани пури,"6 кусков. Хрустящий крем, жареный во фритюре и наполненный смесью ароматизированной воды, чили, картофеля, лука и индийских специй.",Фастфуд,240 с,https://nambafood.kg/dish_image/78795.png
Чаат папди,"Жареное тесто вафли из нута, в сочетании с йогуртом, мяты и соуса тамаринда",Фастфуд,220 с,https://nambafood.kg/dish_image/78803.png
Чоле Баторе,Белый горох приготовленный в соусе карри и подается с индийским жареным хлебом,Фастфуд,300 с,https://nambafood.kg/dish_image/78807.png
Аалу чаат,"нут в сочетании с йогуртом, мятой и с соусом тамаринд",Фастфуд,250 с,https://nambafood.kg/dish_image/78816.png
Пао Бажи,овощи приготовленные в соусе карри. Подается с хлебом в стиле Мумбаи,Фастфуд,300 с,https://nambafood.kg/dish_image/78817.png
Аалу Тикка чаат,"клецки из жареной картошки с нутом с добавлением йогурта, мяты и тамаринда",Фастфуд,250 с,https://nambafood.kg/dish_image/78821.png
Курица чили (сухой),"Нежные кусочки курицы без костей, обжаренные",Индо-Китайские блюда,360 с,https://nambafood.kg/dish_image/78824.png
Овощи манчуриан,"овощные клецки, обжаренные с паприкой и луком, смешанные с луком и индийскими специями",Индо-Китайские блюда,290 с,https://nambafood.kg/dish_image/78825.png
Панир чили,"кубики индийского сыра панир, ображенные с паприкой и луком с добавлением индийских специй",Индо-Китайские блюда,320 с,https://nambafood.kg/dish_image/78826.png
Картошка чили,"обжаренный картофель, приготовленный с паприкой и луком с добавлением индийских специй",Индо-Китайские блюда,240 с,https://nambafood.kg/dish_image/78827.png
Лапша с овощами (Чоу Мейн),"Обжаренная лапша с овощами, подается с йогуртом",Индо-Китайские блюда,280 с,https://nambafood.kg/dish_image/85165.png
Цыпленок Махмали Кебаб,250 гр кусочки сочной рыбы маринованные в кисло молочном соусе и приготовленные в тандур печи,"Закуски, мясные блюда",380 с,https://nambafood.kg/dish_image/22245.png
Цыпленок Тандури,"250 гр кусочки сочной курицы, марин в имбирно-чесночном соусе и приготовленные в печи тандур","Закуски, мясные блюда",380 с,https://nambafood.kg/dish_image/22246.png
Цыпленок Тика Ласони,250 гр посыпанные измельченным чесноком кусочки курицы приготовленные в печи тандур,"Закуски, мясные блюда",380 с,https://nambafood.kg/dish_image/22247.png
Цыпленок Решми Кабаб,"250 гр куриный фарш смешанный с индийскими специями, приготовленный в тандуре","Закуски, мясные блюда",380 с,https://nambafood.kg/dish_image/22248.png
Чикен Сих Кебаб,"250 гр куриный фарш с паприкой, луком и специями, приготовленный в тандуре","Закуски, мясные блюда",380 с,https://nambafood.kg/dish_image/22249.png
Матан Сих Кебаб,"250 гр кусочки сочной баранины маринованные имбирно-лимонном соусе, приготовленные в печи тандуре","Закуски, мясные блюда",400 с,https://nambafood.kg/dish_image/22250.png
Матан Тикка,"250 гр кусочки сочной баранины маринованные в кисло молочном маринаде , приготовленные в печи тандуре","Закуски, мясные блюда",450 с,https://nambafood.kg/dish_image/22251.png
Матан Шами Кебаб,"250 гр клецки из пряной баранины, приготовленные во фритюре","Закуски, мясные блюда",450 с,https://nambafood.kg/dish_image/22252.png
Матан Самоса,250 гр мясной фарш со специями и травами глубоко обжаренные в растит масле,"Закуски, мясные блюда",350 с,https://nambafood.kg/dish_image/22253.png
Дохра Сих Кебаб,"250 гр фарш из баранины и курицы смешанный со специями и травами, приготовленные в тандыре","Закуски, мясные блюда",350 с,https://nambafood.kg/dish_image/22221.png
Тандури Мит Ка Хазана,"600 гр. Ассорти из закусок: Матан Сих Кебаб, Матан Бара Кебаб и др.","Закуски, мясные блюда",700 с,https://nambafood.kg/dish_image/22224.png
Фиш Амритсари,150гр. обжаренное филе семги со специальным соусом от индийского шеф-повара,"Закуски, мясные блюда",490 с,https://nambafood.kg/dish_image/22220.png
Цыпленок 65,"нежные кусочки курицы без костей, маринованные в остром йогурте и обжаренные","Закуски, мясные блюда",380 с,https://nambafood.kg/dish_image/78835.png
Чили Фиш,"150 гр. рыбные палочки, приготовленные с паприкой и луком, смешанные с индийскими травами и специями","Закуски, мясные блюда",490 с,https://nambafood.kg/dish_image/22219.png
Афганская Рыба Тикка,"150 гр. рыба, маринованная в кешью пасты и приготовленные в духовке","Закуски, мясные блюда",490 с,https://nambafood.kg/dish_image/22218.png
Тандури Тил Ка Правн,"150 гр. хвосты королевских креветок, предварительно маринованные и приготовленные в печи ""тандур""","Закуски, мясные блюда",600 с,https://nambafood.kg/dish_image/22222.png
Тандури креветки,"сочные кусочки креветок смешивали с индийскими травами, притоговленные на тандыре","Закуски, мясные блюда",600 с,https://nambafood.kg/dish_image/22225.png
Тандури Фиш,"150 гр. маринованное филе семги, приготовленное в печи ""тандур"", с овощным гарниром","Закуски, мясные блюда",490 с,https://nambafood.kg/dish_image/22223.png
Пинат Масала,"250 гр жареный арахис под соусом из томатов, репчатого лука и индийских специй","Закуски, вегетарианские блюда",180 с,https://nambafood.kg/dish_image/22200.png
Самоса чат,250 гр,"Закуски, вегетарианские блюда",240 с,https://nambafood.kg/dish_image/22198.png
Тандури грибы,"шт грибов, стручковый перец, помидоры и лук на гриле в тандыре","Закуски, вегетарианские блюда",320 с,https://nambafood.kg/dish_image/22199.png
Вегетарианский Кати Кабаб,250 гр лепешки фаршированные жареными овощами с мятным соусом,"Закуски, вегетарианские блюда",320 с,https://nambafood.kg/dish_image/22201.png
