Наименование,Описание,Категория,Цена,Фото
Каша рисовая с киноа,Подаётся с ягодным соусом.,Завтраки,140 с,https://nambafood.kg/dish_image/109111.png
Яичница с фирменными сосисками,"Фирменные куриные сосиски, яичница-глазунья, хрустящий тост.",Завтраки,225 с,https://nambafood.kg/dish_image/109478.png
Овсяная каша,,Завтраки,130 с,https://nambafood.kg/dish_image/109109.png
Творог с фруктами (по сезону),,Завтраки,185 с,https://nambafood.kg/dish_image/109484.png
Сырники,Подаются со сметаной и ягодным соусом.,Завтраки,260 с,https://nambafood.kg/dish_image/109475.png
Клубный сэндвич с картофелем фри,"Свежие помидоры, яичница, обжаренная куриная грудка, майонез, листья салата.",Завтраки,350 с,https://nambafood.kg/dish_image/109515.png
Круассан с семгой,"Со слабосолёной сёмгой, крем- сыром филадельфия, огурцами, зеленью, листом салата.",Завтраки,270 с,https://nambafood.kg/dish_image/109106.png
Круассан баварский,"С фирменной сосиской в соусе барбекю, маринованными огурцами, майонезом с дижонской горчицей, листом салата, помидорами.",Завтраки,175 с,https://nambafood.kg/dish_image/109110.png
Круассан классический,,Завтраки,75 с,https://nambafood.kg/dish_image/109513.png
Гранола боул,"Смузи боул из йогурта с карамелизованной гранолой, свежей ягодой, бананом и семенами чиа.",Завтраки,325 с,https://nambafood.kg/dish_image/144754.png
Крепы с маскарпоне и ягодами,"Блинчики с шоколадной пастой, ягодами и нежным сыром «Маскарпоне»‎",Завтраки,520 с,https://nambafood.kg/dish_image/144755.png
Брускетта с авокадо и лососем,"Мультизлаковый хлеб обжаренный на гриле, крем чиз «Филадельфия»‎‎, лосось фирменной засолки, авокадо и яйцо пашот",Завтраки,495 с,https://nambafood.kg/dish_image/144756.png
Брускетта с индейкой и грушей,"Мультизлаковый хлеб, слабосоленый сыр с грушей, руккола, индейка",Завтраки,140 с,https://nambafood.kg/dish_image/144757.png
Пицца  «Чили»‎‎,"Пицца-соус, сыр “Моцарелла”, говядина, морковь, орегано, базилик, перец чили.",Пицца на тонком тесте/Thin crust pizza,475 с,https://nambafood.kg/dish_image/109118.png
Пицца  «Пепперони»‎‎,"Пицца-соус, сыр “Моцарелла”, салями-пепперони, грибы.",Пицца на тонком тесте/Thin crust pizza,385 с,https://nambafood.kg/dish_image/6273.png
Пицца  «Маргарита»‎‎,"Пицца-соус, сыр “Моцарелла”, помидоры, орегано, базилик.",Пицца на тонком тесте/Thin crust pizza,280 с,https://nambafood.kg/dish_image/6274.png
Пицца  «Куриная»‎‎,"Сыр “Моцарелла”, куриная грудка в сливочном соусе, лук, зелень, орегано, базилик.",Пицца на тонком тесте/Thin crust pizza,410 с,https://nambafood.kg/dish_image/6276.png
Пицца  «4 сыра»‎‎,"Пицца-соус, сыры: “Моцарелла”, “Эмменталь”, “Дор-Блю”, “Пармезан”, орегано, базилик.",Пицца на тонком тесте/Thin crust pizza,495 с,https://nambafood.kg/dish_image/6277.png
Греческий,"Листья салата со свежими овощами, с нежным сыром “Фетаки”, заправленный фирменным соусом.",Салаты,395 с,https://nambafood.kg/dish_image/6285.png
Лёгкий салат с киноа и яйцом,"Садовая зелень, огурцы, помидоры и фирменный соус сяке сарада.",Салаты,295 с,https://nambafood.kg/dish_image/116858.png
Цезарь,"Обжаренное куриное филе на листьях салата с хрустящими гренками и кусочками бекона, по желанию - с сыром “Пармезан”. Заправляется фирменным соусом Цезарь.",Салаты,425 с,https://nambafood.kg/dish_image/6278.png
Теплый салат с куриной печенью,"Нежная куриная печень, обжаренные грибы, микс листьев салата, помидоры, кедровые орешки, под оригинальным соусом.",Салаты,375 с,https://nambafood.kg/dish_image/6281.png
Сяке сарада,"Кусочки сочного лосося на листьях салата с красной икрой и маслинами, под пикантным бальзамическим соусом, дополненный грецким орехом.",Салаты,675 с,https://nambafood.kg/dish_image/6282.png
Салат из отварной свеклы в бальзамическом соусе с сыром фетаки,"Свекла вареная, сыр Фетаки, листья салата, семечки тыквы и подсолнечника, соус “Бальзамика”.",Салаты,215 с,https://nambafood.kg/dish_image/36425.png
Чука салат,Морские маринованные водоросли с кунжутной заправкой и перчиком чили. Подается с соусом “Гомадари”. В лучших традициях Японии.,Салаты,375 с,https://nambafood.kg/dish_image/6286.png
Тонашими,"Легкий салат из морепродуктов, с фруктовыми нотками апельсина и авокадо, под пикантным соусом “Тобико”.",Салаты,425 с,https://nambafood.kg/dish_image/6280.png
Салат со свёклой и сыром,Запечённая молодая свёкла в собственном соку с сыром «Бри»‎‎ под соусом Модерн.,Салаты,385 с,https://nambafood.kg/dish_image/144758.png
Крылышки барбекю,,Закуски,430 с,https://nambafood.kg/dish_image/109121.png
Крылышки под соусом терияки,,Закуски,395 с,https://nambafood.kg/dish_image/109122.png
Наггетсы из курицы,Куриное филе обжаренные в масле. Подаются с соусом Тар-Тар.,Закуски,285 с,https://nambafood.kg/dish_image/109124.png
