Наименование,Описание,Категория,Цена,Фото
Селедочка под водочку,"450 г. Сельдь, картофель, огурцы, зелень, маринованные грибы, квашеная капуста, помидоры черри, лук.",Закуски,600 с,https://nambafood.kg/dish_image/96480.png
Овощная нарезка,"600 г. Огурцы, помидоры, сыр фетакса, болгарский перец, оливки, микс из зелени.",Закуски,470 с,https://nambafood.kg/dish_image/79021.png
Сырная тарелка,"380 г. Сыр пармезан, сыр бри, сыр дорблю, сыр комо, сыр фетакса, мёд, грецкий орех, крекеры.",Закуски,660 с,https://nambafood.kg/dish_image/79019.png
Севиче из креветок,"310 г. Тигровые креветки, обжаренные с чесноком на сливочном масле, на подушке из свежих овощей с апельсиновой ноткой.",Закуски,1100 с,https://nambafood.kg/dish_image/117092.png
Греческий салат,"380 г. Огурцы, помидоры, маслины, перец болгарский, сыр фетакса, заправляется оливковым маслом.",Салаты,390 с,https://nambafood.kg/dish_image/99031.png
Цезарь с креветками,"300 г. Креветки, салат айсберг, сыр пармезан, перепелиные яйца, помидоры черри, крутоны, соус цезарь.",Салаты,490 с,https://nambafood.kg/dish_image/93138.png
Цезарь с курицей,"300 г. Куриное филе, салат «Айсберг», сыр »Пармезан», перепелиные яйца, помидоры черри, крутоны, соус «Цезарь».",Салаты,430 с,https://nambafood.kg/dish_image/93137.png
Сеньор помидор,"330 г. Помидоры, кедровые орешки, руккола, мята, заправляется оливковым маслом.",Салаты,390 с,https://nambafood.kg/dish_image/79020.png
Баклажаны фри,"320 г. Баклажаны, перец полугорький, кинза, соус терияки.",Салаты,420 с,https://nambafood.kg/dish_image/93139.png
Остренький салат с телячьим языком,"400 г. Язык, красный лук, огурцы, помидоры, болгарский перец, заправляется устричным соусом.",Салаты,520 с,https://nambafood.kg/dish_image/79025.png
Теплый салат с телятиной,"510 г. Вырезка говяжья, руккола, баклажаны, кабачки, помидоры, сыр фетакса, заправляется бальзамическим уксусом.",Салаты,560 с,https://nambafood.kg/dish_image/79026.png
Капрезе,"400 г. Сыр моцарелла в рассоле, помидоры, кедровые орешки, два вида заправки: оливковое масло, бальзамический крем.",Салаты,470 с,https://nambafood.kg/dish_image/79054.png
Апельсиновое танго,"240 г. Руккола, айсберг, шпинат, салат, лолло росса, огурцы, помидоры, апельсин, дорблю, лимон, грецкий орех, масло оливковое, специи.",Салаты,330 с,https://nambafood.kg/dish_image/99134.png
