Наименование,Описание,Категория,Цена,Фото
Летний салат с манговой заправкой,"230 гр. Помидоры, шпинат, листья салата, огурцы, лук красный, кедровые орешки, сыр Фета и манговая заправка.",Салаты,245 с,https://nambafood.kg/dish_image/112316.png
Салат греческий,"220 гр. Помидоры, огурцы, маслины, сыр фетакса, красный лук, микс салата и оливковое масло.",Салаты,260 с,https://nambafood.kg/dish_image/112317.png
Огурцы в чесночном соусе,"170 гр. Огурцы по-китайски, в чесночном соусе.",Салаты,150 с,https://nambafood.kg/dish_image/112327.png
Салат чука с семгой,"200 гр. Чука, семга, ореховый соус, кунжут.",Салаты,295 с,https://nambafood.kg/dish_image/112319.png
Пак-Чой,"200 гр. Китайская листовая капуста, обжаренная в чесноке, с соевым соусом.",Салаты,255 с,https://nambafood.kg/dish_image/128537.png
Спайси Хоренсо,"200 гр. Шпинат по-китайски,  обжаренный на кунжутном масле, с тушеным красным перцем и чесноком.",Салаты,220 с,https://nambafood.kg/dish_image/128539.png
Кимчи,50 гр.,Салаты,70 с,https://nambafood.kg/dish_image/112323.png
Острая фасоль в кляре,"200 гр. Стручковая фасоль, перец.",Салаты,230 с,https://nambafood.kg/dish_image/112324.png
Хрустящий баклажан,"230 гр. Баклажан, томат черри, микс салата.",Салаты,325 с,https://nambafood.kg/dish_image/112325.png
Моящи,"160 гр. Салат с ростками фасоли, со шпинатом, заправляется кунжутным маслом и травяным бульоном.",Салаты,170 с,https://nambafood.kg/dish_image/112328.png
Нихонстейк,"Бон филе, соус барбекю, ростки сои, лук карри",Новинки,690 с,https://nambafood.kg/dish_image/140262.png
Креветочные чипсы,"Креветки, лук, карри, соус васаби, кляр",Новинки,420 с,https://nambafood.kg/dish_image/140264.png
Камособа,"Шпинат, утиная грудка, яйцо, лук порей, ростки сои, морковь, жидкий дым, лапша яичная",Новинки,460 с,https://nambafood.kg/dish_image/140266.png
Камосалад,"Шпинат, соус медовый, утиная грудка, помидоры черри",Новинки,405 с,https://nambafood.kg/dish_image/140268.png
Жаренный осьминог,,Новинки,675 с,https://nambafood.kg/dish_image/140271.png
Гюнику,"Рис, рыбный соус, нори, бонфиле, чеснок",Новинки,555 с,https://nambafood.kg/dish_image/140309.png
Ролл фурай,"Базилик, зеленый лук, тобико, огурцы, семга, снежный краб, сыр виола",Новинки,390 с,https://nambafood.kg/dish_image/140273.png
Ролл кожа,"Тобико, огурцы, помидор, сыр виола, тунец",Новинки,310 с,https://nambafood.kg/dish_image/140275.png
Ролл «Гейша»‎‎,"Нежный сыр, тобико, огурцы, семга, угорь, соус шрирача",Новинки,590 с,https://nambafood.kg/dish_image/140277.png
Кагуассе,"Авокадо, семга, нежный сыр, чипсы, яйцо",Новинки,310 с,https://nambafood.kg/dish_image/140279.png
Хот дог ролл с курицей,"Куриное филе, огурцы, помидор, салатные листья, сыр виола, сыр пармезан, нежный сыр",Новинки,320 с,https://nambafood.kg/dish_image/140281.png
Хот дог ролл с креветками,"Креветки, огурцы, помидор, салатные листья, сыр виола, нежный сыр, сыр чеддер, соус шрирача",Новинки,390 с,https://nambafood.kg/dish_image/140283.png
Форель с соусом карри,"Форель с соусом карри, стужка тунца, кимчи",Новинки,420 с,https://nambafood.kg/dish_image/140285.png
Мисо мидии,,Новинки,250 с,https://nambafood.kg/dish_image/140287.png
Мисо с креветками,,Новинки,265 с,https://nambafood.kg/dish_image/140289.png
Мисо с семгой,,Новинки,255 с,https://nambafood.kg/dish_image/140291.png
Лагман по-тайски,"Жаренный удон с говядиной, древесный грибами и овощами",Новинки,370 с,https://nambafood.kg/dish_image/140293.png
Стейк семга,"Стейк из семги, с соусом унаги и шпинатом",Новинки,385 с,https://nambafood.kg/dish_image/140295.png
Ню миан лапша,Суп на основе кисло сладкого гвяжьего бульона с говядиной и удон лапшой,Новинки,370 с,https://nambafood.kg/dish_image/140297.png
Литтл масака,"Тобико, авокадо, семга, снежный краб, угорь стружка, тунца, сыр пармезан, соус унаги",Новинки,340 с,https://nambafood.kg/dish_image/140299.png
Гуа бек бау,"Домашняя каттама, жаренное куриное филе, листья нори, картофель пай",Новинки,375 с,https://nambafood.kg/dish_image/140301.png
Каджун креветки,"Варенный каджун с жаренными креветками, кимчи, брокколи и сладкой кукурузой",Новинки,460 с,https://nambafood.kg/dish_image/140303.png
Начос,Пшенчная тортилья с сырном соусом,Новинки,220 с,https://nambafood.kg/dish_image/140305.png
Цзяодыза гедза недза,Корейские жаренные пельмени с кисло-сладким соусом,Новинки,290 с,https://nambafood.kg/dish_image/140307.png
Комбо №1,"Ролл «Калифорния классик»‎‎, ролл «Гроссмейстер»‎‎, салат чука с кунжутом, каппа маки, Coca-Cola 1 л.",Комбо,"649 с


                    1000 с",https://nambafood.kg/dish_image/136049.png
Комбо №2,"Кесадилья с курицей (2 порции), ролл «Лава»‎‎, ролл «Темпура Осака»‎‎, Coca-Cola 1 л, картофель фри (2 порции), корн-дог (4 шт.)",Комбо,"1349 с


                    1970 с",https://nambafood.kg/dish_image/136050.png
Комбо №3,"суп ""Юкеджан"" (2 порции), поке-боул с курицей (2 порции)",Комбо,"699 с


                    1060 с",https://nambafood.kg/dish_image/136051.png
Комбо №4,"Суп «Мисо»‎‎ (3 порции), ролл «Краб-креветка»‎‎, ролл «Дама в красном»‎‎, каппа с крабом, судак в кляре (1 порция), Coca-Cola 1 л",Комбо,"999 с


                    1495 с",https://nambafood.kg/dish_image/136052.png
Комбо №5,"Ролл «Темпура чикен»‎‎, ролл «Масака хот»‎‎,  ролл «Магуро»‎, вок с курицей (2 порции), ролл «Тортилья в кляре»‎‎, Coca-Cola 1 л.",Комбо,"1149 с


                    1920 с",https://nambafood.kg/dish_image/136053.png
Комбо №6,"Роллы (56 шт.): ролл «Чёрный жемчуг»‎‎, ролл «Калифорния»‎‎, ролл «Бостон»‎‎, каппа маки в кунжуте, Тори маки, Авокадо маки с соусом лава, Кани маки.",Комбо,1199 с,https://nambafood.kg/dish_image/136054.png
Комбо детское,"пицца-ролл, корн-дог (2 шт.), наггетсы, натуральный сок 1л.",Комбо,"600 с


                    835 с",https://nambafood.kg/dish_image/136055.png
Здоровый завтрак,300 г,Боулы,240 с,https://nambafood.kg/dish_image/128524.png
Поке боул с угрем,"350 гр. Поке боул с угрем, в соусе унаги, с овощами и витаминной наброской.",Боулы,585 с,https://nambafood.kg/dish_image/128525.png
Поке боул вегетарианский,"350 гр. Поке боул веган, с овощами, с витаминной бомбой по азиатски.",Боулы,255 с,https://nambafood.kg/dish_image/128526.png
Поке боул с курицей,"400 гр. Мягко обжаренная курица в соусе терияки, с кукурузой, фасольюи овощной заправкой.",Боулы,285 с,https://nambafood.kg/dish_image/128527.png
Гавайский традиционный поке боул,350 г,Боулы,235 с,https://nambafood.kg/dish_image/128528.png
