Наименование,Описание,Категория,Цена,Фото
Яичница с колбасой,,Завтраки,180 с,https://nambafood.kg/dish_image/86295.png
Омлет,,Завтраки,180 с,https://nambafood.kg/dish_image/87565.png
Яичница,,Завтраки,120 с,https://nambafood.kg/dish_image/86294.png
Блины с мясом,,Завтраки,200 с,https://nambafood.kg/dish_image/87566.png
Каша рисовая,,Завтраки,150 с,https://nambafood.kg/dish_image/87568.png
Каша манная,,Завтраки,150 с,https://nambafood.kg/dish_image/87567.png
Блины со сметаной,,Завтраки,150 с,https://nambafood.kg/dish_image/86207.png
Блины со сгущенкой,,Завтраки,150 с,https://nambafood.kg/dish_image/86208.png
Свежий салат,"250 г. Огурцы, помидоры, растительное масло.",Салаты,250 с,https://nambafood.kg/dish_image/86254.png
Сузьма,150 г,Салаты,180 с,https://nambafood.kg/dish_image/86265.png
Шакарап,"250 г.  Помидоры, лук, растительное масло.",Салаты,225 с,https://nambafood.kg/dish_image/86288.png
Гнездо глухаря,"300 гр. Картофель пай, копченая курица, маринованные грибы, огурцы, майонез",Салаты,330 с,https://nambafood.kg/dish_image/86209.png
Греческий салат,"250 г. Помидоры, огурцы, лист салата, фетакса, оливковое масло.",Салаты,320 с,https://nambafood.kg/dish_image/86211.png
Обжорка,"250 гр. Телятина, сыр, яйцо, помидор, майонез",Салаты,330 с,https://nambafood.kg/dish_image/86240.png
Фунчеза,250 гр.,Салаты,330 с,https://nambafood.kg/dish_image/86538.png
Хрустящие баклажаны,300 гр.,Салаты,355 с,https://nambafood.kg/dish_image/112999.png
Китайский салат,"250 г. Телятина отварная, помидор, огурец, фасоль стручковая, соус чили, перец полугорький.",Салаты,335 с,https://nambafood.kg/dish_image/86540.png
Муэр,"250 гр. Говядина, грибы Муэр, болгарский перец, соевый соус, масло растительное.",Салаты,335 с,https://nambafood.kg/dish_image/86236.png
Тбилиси,250 гр.,Салаты,325 с,https://nambafood.kg/dish_image/86268.png
Хе грибной,"250 гр. Помидоры, огурцы, перец, шампиньоны, специи, уксус",Салаты,330 с,https://nambafood.kg/dish_image/87569.png
Восточный салат,"250 гр. Язык отварной, огурцы, помидор, фирменный соус.",Салаты,345 с,https://nambafood.kg/dish_image/86210.png
Столичный салат,"250 г. Телятина, картофель, маринованные огурцы, яйцо, зеленый горошек, майонез.",Салаты,320 с,https://nambafood.kg/dish_image/86264.png
Азербайджанский салат,"250 гр. Телятина отварная, баклажан, болгарский перец, фирменный соус.",Салаты,345 с,https://nambafood.kg/dish_image/85904.png
Цезарь с курицей,"300 г. Лист салата, куриная грудка, сыр пармезан, соус цезарь.",Салаты,395 с,https://nambafood.kg/dish_image/86283.png
Цезарь с креветками,"300 гр. Лист салата, креветки, сыр пармезан, соус цезарь.",Салаты,450 с,https://nambafood.kg/dish_image/86282.png
Цезарь с семгой,"300 гр. Лист салата, семга, сыр пармезан, соус цезарь.",Салаты,450 с,https://nambafood.kg/dish_image/86284.png
Сельдь под шубой,250 гр.,Салаты,290 с,https://nambafood.kg/dish_image/87570.png
Винегрет,250 г,Салаты,240 с,https://nambafood.kg/dish_image/87571.png
Элитный салат,"250 гр. Куриное филе, шампиньоны, огурцы, грецкий орех, сыр, лист салата, майонез, специи, зелень.",Салаты,340 с,https://nambafood.kg/dish_image/86292.png
Салат со шпинатом,"250 гр. Шпинат, черри, брынза, фирменная заправка.",Салаты,380 с,https://nambafood.kg/dish_image/86252.png
Отварной язык с хреном,350 г,Закуски,620 с,https://nambafood.kg/dish_image/86293.png
Овощная нарезка,"450 г. Помидоры, огурцы, брынза, зелень.",Закуски,420 с,https://nambafood.kg/dish_image/87572.png
Погребок,350 гр.,Закуски,365 с,https://nambafood.kg/dish_image/86250.png
Холодец,350 г,Закуски,380 с,https://nambafood.kg/dish_image/86281.png
Баклажановые язычки,"8 шт. Помидор, фетакса, майонез.",Закуски,350 с,https://nambafood.kg/dish_image/86302.png
Закуска по-кавказски,"450 гр. Бастурма, брынза, огурцы, помидоры, зелень.",Закуски,585 с,https://nambafood.kg/dish_image/87573.png
Язык с хреном в фирменной заправке,300 г,Закуски,650 с,https://nambafood.kg/dish_image/86537.png
Рыбное ассорти,"350 гр. Семга копченая, эсколар, угорь.",Закуски,1100 с,https://nambafood.kg/dish_image/87574.png
Мясное ассорти,"350 гр. Куриный рулет, язык, утиное филе, мясной рулет.",Закуски,800 с,https://nambafood.kg/dish_image/86297.png
Закуска по-русски,"350 гр. Картофель, селедка, огурцы маринованные.",Закуски,420 с,https://nambafood.kg/dish_image/86539.png
Сырная тарелка,"350 гр. Камамбер, пармезан, фетакса, моцарелла, мраморный.",Закуски,1100 с,https://nambafood.kg/dish_image/86267.png
Комбо,"1 кг. Куриные крылышки, бон филе, куриные палочки, рыбные палочки.",Закуски,2000 с,https://nambafood.kg/dish_image/86225.png
Ассорти по-кыргызски,"350 гр. Чучук, карын, карта, говядина.",Закуски,1100 с,https://nambafood.kg/dish_image/86301.png
Харчо,"350 гр. Говядина, рис, томат, зелень.",Первые блюда,260 с,https://nambafood.kg/dish_image/86278.png
Чечевичный суп,350 г,Первые блюда,225 с,https://nambafood.kg/dish_image/86286.png
