Наименование,Описание,Категория,Цена,Фото
Сельдь с жаренным картофелем,,Холодные закуски,350 с,https://nambafood.kg/dish_image/36127.png
Домашние соленья,"400 гр. Корнишоны, квашеная капуста, паттисоны, маринованные черри, шампиньоны маринованные, зелень.",Холодные закуски,370 с,https://nambafood.kg/dish_image/29209.png
Овощная тарелка,"400 гр. Огурцы, помидоры, брынза, болгарский перец, чеснок, лист салата, лолла-росса, зеленый лук, петрушка кудрявая, укроп.",Холодные закуски,380 с,https://nambafood.kg/dish_image/29205.png
Сырная тарелка,"300 гр. Мед, грецкие орехи, брынза, фетакса в кунжуте, сыр бри, моцарелла, виноград.",Холодные закуски,690 с,https://nambafood.kg/dish_image/129017.png
Мясные деликатесы от Омара,"350 гр. Чучук, язык, куриный рулет, телятина копченая, дижонская горчица, зелень, черри.",Холодные закуски,750 с,https://nambafood.kg/dish_image/129016.png
Рыбное ассорти,"350 гр. Семга копченая, семга соленая, эсколар, скумбрия, икра красная, яйца куриные, лимон, зелень.",Холодные закуски,850 с,https://nambafood.kg/dish_image/29208.png
Шакарап,"170 гр. Помидоры, репчатый лук, специи.",Салаты,170 с,https://nambafood.kg/dish_image/29195.png
Свежий салат с маслом,"170 гр. Огурцы, помидоры, репчатый лук, лист салата, специи.",Салаты,180 с,https://nambafood.kg/dish_image/76652.png
Китайский салат из огурцов в чесночном соусе,250 гр.,Салаты,180 с,https://nambafood.kg/dish_image/107665.png
Витаминный,"200 гр. Легкий салат из сельдерея, яблок, капусты, свежей моркови, свеклы, заправленный яблочным соком и оливковым маслом с добавками семечек.",Салаты,190 с,https://nambafood.kg/dish_image/29130.png
Капустный салат,,Салаты,190 с,https://nambafood.kg/dish_image/93241.png
Чайхана,250 гр.,Салаты,300 с,https://nambafood.kg/dish_image/129018.png
Салат с копченой курицей и сыром пармезан,"200 гр. Нежный салат с копченой курицей, грибами, свежими помидорами, яйцом и заправкой из легкого майонеза и сыром Пармезан.",Салаты,290 с,https://nambafood.kg/dish_image/29123.png
Греческий салат,"250 гр. Лист салата, лолла-росса, помидоры, огурцы, маслины, фетакса, дрессинг, лимон.",Салаты,300 с,https://nambafood.kg/dish_image/76654.png
Теплый салат со шпинатом и нежной телятиной,250 гр.,Салаты,320 с,https://nambafood.kg/dish_image/36121.png
Теплый салат из баклажанов в кисло-сладком соусе от шефа,"250 гр. Дунганский перец, баклажаны, фирменный соус, черри, кунжут, зелень.",Салаты,320 с,https://nambafood.kg/dish_image/107666.png
