Наименование,Описание,Категория,Цена,Фото
Бишкек слоу,"Сытный бургер с домашней булочкой бриошь, сочной котлетой из говядины, свежим салатом коул слоу, с тянущимся сыром чеддер, маринованными огурцами, свежим красным луком и пикантным «техасским»‎‎ соусом с насыщенным ароматом копчения",Бургеры стандартные,195 с,https://nambafood.kg/dish_image/144118.png
Чизбургер BBQ,"Домашняя булочка, сочная котлета из говядины, ломтик сыра чеддер, свежий салат, кольца лука и соус 1000 островов",Бургеры стандартные,189 с,https://nambafood.kg/dish_image/144119.png
Фишбургер,"Булочка, два вида соуса, листья Айсберг, колета из филе рыбы, руккола",Бургеры стандартные,183 с,https://nambafood.kg/dish_image/144120.png
Классика,"Классика, которая придется по вкусу каждому. Фирменный бургер с домашней булочкой, сочной котлетой из говядины с ломтиками сыра чеддер, которые идеально дополняют свежими листьями салата, помидоры, маринованные огурчики и красный лук",Бургеры стандартные,139 с,https://nambafood.kg/dish_image/144121.png
Чикенбургер,"Булочка, соус классика, куриное филе, огурцы, помидоры",Бургеры стандартные,129 с,https://nambafood.kg/dish_image/144165.png
Итальянский,"С домашней булочкой, сочной котлетой из говядины, салатом айсберг, заправленный соусом цезарь. Яркости вкусу добавляют свежая моцарелла, помидоры и фирменный соус с трюфельным маслом",Бургеры (XL),330 с,https://nambafood.kg/dish_image/144122.png
Гавайский,"Свежая булочка, котлета из говядины, уникальное сочетание обжаренного на гриле сладкого ананаса, фирменного соуса гавая, маринованных огурчиков, листьев салата и сыра моцарелла - очень вкусно!",Бургеры (XL),305 с,https://nambafood.kg/dish_image/144123.png
Куриный острый XL,"Булочка, острый соус, халапеньо, айсберг, огурцы, помидоры, сулугуни",Бургеры (XL),279 с,https://nambafood.kg/dish_image/144124.png
BBQ XL,"Бургер с домашней булочкой, сочной котлетой из говядины, тянущимся сыром чеддер, жареным луком и свежим салатом айсберг. Пикантность вкусу придает гармоничное сочетание соусов кетчуп-барбекю и 1000 островов",Бургеры (XL),289 с,https://nambafood.kg/dish_image/144125.png
Бишкек слоу XL,"Сытный бургер с домашней булочкой бриошь, сочной котлетой из говядины, свежим салатом коул слоу, с тянущимся сыром чеддер, маринованными огурцами, свежим красным луком и пикантным «техасским»‎‎ соусом с насыщенным ароматом копчения",Бургеры (XL),320 с,https://nambafood.kg/dish_image/144126.png
Фишбургер XL,"Булочка, два вида соуса, листья Айсберг, колета из филе рыбы, руккола",Бургеры (XL),305 с,https://nambafood.kg/dish_image/144127.png
Классика XL,"Классика, которая придется по вкусу каждому. Фирменный бургер с домашней булочкой, сочной котлетой из говядины с ломтиками сыра чеддер, которые идеально дополняют свежими листьями салата, помидоры, маринованные огурчики и красный лук",Бургеры (XL),310 с,https://nambafood.kg/dish_image/144128.png
Чикен ролл,"Сытный ролл с куриными стрипсами, сочным помидором, заправляется сырным соус-кремом барбекю",Врапы,159 с,https://nambafood.kg/dish_image/144129.png
Шаур ролл,"С сочной хрустящей курицей гриль, свежим салатом коул слоу, маринованными огурцами и свежими помидорами, заправляется чесночным соусом и кетчупом",Врапы,159 с,https://nambafood.kg/dish_image/144130.png
Куриные крылышки 2 шт.,,Крылышки,109 с,https://nambafood.kg/dish_image/144133.png
Куриные крылышки 4 шт.,,Крылышки,209 с,https://nambafood.kg/dish_image/144134.png
Куриные крылышки 8 шт.,,Крылышки,349 с,https://nambafood.kg/dish_image/144135.png
Острые куриные крылышки 4 шт.,,Крылышки,309 с,https://nambafood.kg/dish_image/144131.png
Острые куриные крылышки 8 шт.,,Крылышки,449 с,https://nambafood.kg/dish_image/144132.png
Картошка фри стандарт,,Гарниры,89 с,https://nambafood.kg/dish_image/144156.png
Картошка фри большой,,Гарниры,109 с,https://nambafood.kg/dish_image/144157.png
Сырные шарики 4 шт.,,Гарниры,158 с,https://nambafood.kg/dish_image/144158.png
Мега бургер 1 кг,,Комбо,1009 с,https://nambafood.kg/dish_image/144166.png
Бургер «VIP 13»‎‎,"С булочкой, сочной котлетой из говядины, грибами, деликатесным сыром фета и сыром чеддер, свежими помидорами, листьями салата, кольцами красного лука и маринованными огурчиками. Особый вкус и сочность бургеру придает карамелизированная груша в сочетании с джемом из черной смородины. Заправляется фирменным соусом с трюфельным маслом",Комбо,609 с,https://nambafood.kg/dish_image/144167.png
"Coca-Cola 0,25 л",,Напитки,49 с,https://nambafood.kg/dish_image/144148.png
"Sprite 0,25 л",,Напитки,49 с,https://nambafood.kg/dish_image/144149.png
"Fanta 0,25 л",,Напитки,49 с,https://nambafood.kg/dish_image/144150.png
Fuse tea 0.5 л,,Напитки,49 с,https://nambafood.kg/dish_image/144151.png
"Piko pulpy 0,5 л",,Напитки,59 с,https://nambafood.kg/dish_image/144152.png
Coca-Cola на розлив,,Напитки,49 с,https://nambafood.kg/dish_image/144164.png
Sprite на розлив,,Напитки,49 с,https://nambafood.kg/dish_image/144154.png
Fanta на розлив,,Напитки,49 с,https://nambafood.kg/dish_image/144155.png
Ванильный молочный коктейль,500 мл,Молочные коктейли,159 с,https://nambafood.kg/dish_image/144139.png
Клубничный молочный коктейль,500 мл,Молочные коктейли,159 с,https://nambafood.kg/dish_image/144140.png
Шоколадный молочный коктейль,500 мл,Молочные коктейли,159 с,https://nambafood.kg/dish_image/144141.png
Мохито,,Лимонад,129 с,https://nambafood.kg/dish_image/144136.png
Клубничный лимонад,,Лимонад,125 с,https://nambafood.kg/dish_image/144137.png
Ананасовый лимонад,,Лимонад,125 с,https://nambafood.kg/dish_image/144138.png
