Наименование,Описание,Категория,Цена,Фото
Соленья,"Цветная капуста, морковь, яблоко, цуккини, сладкий перец, брокколи",Закуски,360 с,https://nambafood.kg/dish_image/139272.png
Селедочка под водочку,"Сельдь, картофель, лук, огурцы соленные",Закуски,350 с,https://nambafood.kg/dish_image/139274.png
Баклажаны по-корейски,,Закуски,360 с,https://nambafood.kg/dish_image/139276.png
Шампиньоны фри,,Закуски,430 с,https://nambafood.kg/dish_image/139278.png
"Маринованные черри, кукуруза со свежей зеленью и цукинни",300 г,Салаты,280 с,https://nambafood.kg/dish_image/117860.png
Греческий салат,280 г,Салаты,280 с,https://nambafood.kg/dish_image/117861.png
Греческий салат с руккола,280 г,Салаты,330 с,https://nambafood.kg/dish_image/117862.png
Салат с запеченной свеклой,"200 г. Микс салат, запеченная свекла, сыр сиртаки, гранат, кедровые орешки, гранатовый соус.",Салаты,320 с,https://nambafood.kg/dish_image/117863.png
Брокколи в чесночном соусе годжи,300 г,Салаты,320 с,https://nambafood.kg/dish_image/117864.png
Хрустящая фасоль с перцем,300 г,Салаты,320 с,https://nambafood.kg/dish_image/117865.png
Киноа с рукколой и вялеными томатами,"200 г. Киноа, руккола, вяленые томаты, бальзамический соус.",Салаты,360 с,https://nambafood.kg/dish_image/117866.png
Чука с ореховым соусом и кунжутом,"180 г. Водоросли чука, апельсин, ореховый соус, кунжут.",Салаты,280 с,https://nambafood.kg/dish_image/117867.png
Цезарь с курицей,250 г,Салаты,360 с,https://nambafood.kg/dish_image/117869.png
Цезарь с креветками,"250 г. Салат айсберг, черри, крутоны, пармезан, соус цезарь.",Салаты,430 с,https://nambafood.kg/dish_image/117870.png
Теплый салат из бон филе,"250 г. Из маринованных корнишонов, обжаренных грибов с помидорами.",Салаты,430 с,https://nambafood.kg/dish_image/117871.png
Салат «Восток»,"300 г. Грибы с жареными яйцами, черри.",Салаты,430 с,https://nambafood.kg/dish_image/117872.png
Жареные баклажаны с томатами,"200 г. С паприкой, оливковым маслом и зеленью.",Салаты,340 с,https://nambafood.kg/dish_image/117873.png
Средиземноморский салат,"250 г. Морской коктейль, изюм, грейкий орех, яблоки, сыр голландский, майонезный соус.",Салаты,430 с,https://nambafood.kg/dish_image/117875.png
Руккола с креветками,"200 г. Руккола, креветки тигровые, черри, пармезан, соус дрессинг.",Салаты,430 с,https://nambafood.kg/dish_image/117876.png
Шорпо с бараньей голенью,600 г,Первые блюда,360 с,https://nambafood.kg/dish_image/117877.png
Тайский суп «Том ям»,300 г,Первые блюда,430 с,https://nambafood.kg/dish_image/117878.png
Грибной крем-суп,300 г,Первые блюда,320 с,https://nambafood.kg/dish_image/117879.png
Суп лапша по-домашнему,300 г,Первые блюда,260 с,https://nambafood.kg/dish_image/117880.png
Похмельный суп,300 г,Первые блюда,360 с,https://nambafood.kg/dish_image/117881.png
Уха,300 г,Первые блюда,430 с,https://nambafood.kg/dish_image/117882.png
Суп с фрикадельками,300 г,Первые блюда,320 с,https://nambafood.kg/dish_image/117884.png
Борщ,300 г,Первые блюда,290 с,https://nambafood.kg/dish_image/117883.png
Садж из баранины 0.5,900 г,Садж,1200 с,https://nambafood.kg/dish_image/117885.png
Садж из баранины,1800 г,Садж,1900 с,https://nambafood.kg/dish_image/117887.png
Садж из бараньих ребер,1800 г,Садж,2300 с,https://nambafood.kg/dish_image/117889.png
Садж из цыпленка 0.5,900 г,Садж,950 с,https://nambafood.kg/dish_image/117891.png
Садж из цыпленка,1800 г,Садж,1650 с,https://nambafood.kg/dish_image/117890.png
Садж из телятины 0.5,900 г,Садж,1200 с,https://nambafood.kg/dish_image/117886.png
Садж из телятины,1800 г,Садж,1900 с,https://nambafood.kg/dish_image/117888.png
Медальоны из телятины с овощами гриль,320 г,Блюда из мяса,590 с,https://nambafood.kg/dish_image/119268.png
Телятина с грибами в горшочке,280 г,Блюда из мяса,390 с,https://nambafood.kg/dish_image/119269.png
Бифштекс с яйцом,250 г,Блюда из мяса,380 с,https://nambafood.kg/dish_image/119270.png
Мясо по-строгановски на картофельной подушке,350 г,Блюда из мяса,460 с,https://nambafood.kg/dish_image/119271.png
Баранина с черносливом,300 г,Блюда из мяса,450 с,https://nambafood.kg/dish_image/119272.png
Баранья рулька с картофелем и шпинатом,450 г,Блюда из мяса,590 с,https://nambafood.kg/dish_image/119273.png
Куриная грудка фаршированная шпинатом и сыром,280 г,Блюда из курицы,370 с,https://nambafood.kg/dish_image/119275.png
