Наименование,Описание,Категория,Цена,Фото
Бургер классический,"Котлета, сыр чеддер, томат, красный лук, салат, маринованные огурцы, фри и соус BBQ",Бургеры,230 с,https://nambafood.kg/dish_image/143943.png
Бургер «Вкусный»‎‎ двойной,"Две котлеты, сыр чеддер, томат, салат, красный лук, маринованные огурцы, сыр моцарелла и фирменный соус",Бургеры,340 с,https://nambafood.kg/dish_image/143944.png
Бургер «Вкусный»‎‎,"Котлета, сыр чеддер, томат, салат, красный лук, маринованные огурцы, сыр моцарелла и фирменный соус",Бургеры,300 с,https://nambafood.kg/dish_image/144113.png
Бургер острый,"Котлета, томат, салат, сыр Чедр, маринованные огурцы, спайс соус, фри, перец халапеньо и фирменный соус",Бургеры,240 с,https://nambafood.kg/dish_image/143946.png
BBQ бургер,"Котлета, томат, бургер соус, салат, сыр чеддер, красный лук и соус BBQ",Бургеры,260 с,https://nambafood.kg/dish_image/143947.png
«King»‎‎ бургер,"Котлета, сыр чеддер, томат, красный лук, салат, Фирменный соус , сыр моцарелла и фри",Бургеры,270 с,https://nambafood.kg/dish_image/144114.png
Сырная пицца,"Томатный соус, сыр моцарелла, сыр пармезан, сыр чеддер и сыр сливочный",Пицца,440 с,https://nambafood.kg/dish_image/143949.png
Пепперони,"Томатный соус, сыр моцарелла, колбаса пепперони и сыр пармезан",Пицца,350 с,https://nambafood.kg/dish_image/143950.png
Маргарита,"Томатный соус, сыр моцарелла, томат и сыр пармезан",Пицца,300 с,https://nambafood.kg/dish_image/143951.png
Кебаб пицца,"Томатный соус, сыр моцарелла, говяжий фарш, сыр пармезан и зелень",Пицца,460 с,https://nambafood.kg/dish_image/143952.png
Цезарь пицца,"Томатный соус, сыр моцарелла, курица, Черри, цезарь соус и сыр пармезан",Пицца,450 с,https://nambafood.kg/dish_image/143953.png
Пицца «Филадельфия»‎‎,"Томатный соус, сыр моцарелла, лосось, сыр пармезан, помидоры черри, сыр сливочный",Пицца,465 с,https://nambafood.kg/dish_image/143954.png
Пицца «Четыре сезона»‎‎,"Пиццы: пепперони, цезарь, чили, филадельфия",Пицца,440 с,https://nambafood.kg/dish_image/143955.png
Пицца «День и Ночь»‎‎,Пиццы сырная и шашлычная,Пицца,430 с,https://nambafood.kg/dish_image/143956.png
Шашлычная пицца,"Томатный соус, сыр моцарелла, говяжий фарш, томат, красный лук, сыр пармезан и зелень",Пицца,460 с,https://nambafood.kg/dish_image/143957.png
Пицца «Легенда»‎‎,"Томатный соус, сыр моцарелла, колбаса пепперони, томат, красный лук, сыр пармезан и кетчуп",Пицца,410 с,https://nambafood.kg/dish_image/143958.png
Острая чили пицца,"Томатный соус, сыр моцарелла, перец халапеньо, перец Чили, лук красный, сыр пармезан и соус спайси",Пицца,380 с,https://nambafood.kg/dish_image/143959.png
Домашняя пицца,"Томатный соус, сыр моцарелла, огурцы, томат, салат, цезарь соус и кетчуп",Пицца,430 с,https://nambafood.kg/dish_image/143960.png
Пицца «King»‎‎ фирменная,"Томатный соус, сыр моцарелла, говяжий фарш, Черри, сыр пармезан, колбаса пепперони и зелень",Пицца,455 с,https://nambafood.kg/dish_image/143961.png
BBQ пицца,"Томатный соус, сыр моцарелла, томат, Грибы, маринованные огурцы, соус BBQ и сыр пармезан",Пицца,450 с,https://nambafood.kg/dish_image/143962.png
Цезарь с курицей,"Салат, курица, помидоры черри, цезарь соус, сыр пармезан, яйцо и гренки",Салаты,199 с,https://nambafood.kg/dish_image/143963.png
Цезарь с креветками,"Салат, креветки, помидоры черри, цезарь соус, сыр пармезан, яйцо и гренки",Салаты,210 с,https://nambafood.kg/dish_image/143964.png
Том ям,"Кокосовое молоко, паста том ям, Кимчи соус, шампиньон, креветки, перец Чили, рис, лук зелёный и лимонный сок",Супы,300 с,https://nambafood.kg/dish_image/143965.png
Рамён классический,,Супы,160 с,https://nambafood.kg/dish_image/143966.png
Рамён с сыром,,Супы,185 с,https://nambafood.kg/dish_image/143967.png
Рамён с курицей,,Супы,185 с,https://nambafood.kg/dish_image/143968.png
Рамён ассорти,,Супы,230 с,https://nambafood.kg/dish_image/143969.png
Тусёку,"Лук зелёный, болгарский перец, курица, шампиньон, соус под тай, рис, черри и кунжут",Горячие блюда,269 с,https://nambafood.kg/dish_image/143970.png
Эби пасута,"Лук зелёный, болгарский перец, креветки, шампиньон, удон, кокосовое молоко, черри и кунжут",Горячие блюда,280 с,https://nambafood.kg/dish_image/143973.png
Тори пасута,"Лук зелёный, болгарский перец, курица, шампиньон, удон, соус под тай, черри и кунжут",Горячие блюда,299 с,https://nambafood.kg/dish_image/143972.png
Пад тай с креветками и курицей,"Лук репчатый, морковка, болгарский перец, курица, креветки, чеснок, удон, соус пад тай, лук зелёный и кунжут",Горячие блюда,260 с,https://nambafood.kg/dish_image/143974.png
