Наименование,Описание,Категория,Цена,Фото
Острый язычок,250 гр.,Салаты,260 с,https://nambafood.kg/dish_image/86805.png
Греческий салат,250 гр.,Салаты,220 с,https://nambafood.kg/dish_image/86806.png
Оливье,250 гр.,Салаты,180 с,https://nambafood.kg/dish_image/86808.png
Шакарап,200 гр.,Салаты,120 с,https://nambafood.kg/dish_image/86809.png
Свежий,250 гр.,Салаты,160 с,https://nambafood.kg/dish_image/86810.png
"Салат ""Какаду""","250 гр. Красная капуста, говядина, баклажан, перец полугорький, лимонный дрессинг.",Салаты,230 с,https://nambafood.kg/dish_image/105570.png
Цезарь с курицей,"300 гр. Айсберг, листья салата, сухари, черри, соус цезарь, анчоусы, каперсы, чеснок, сыр пармезан, майонез, оливковое масло",Салаты,300 с,https://nambafood.kg/dish_image/86796.png
Салат по-корейски,"250 гр. Мясо говядины, огурцы, перец болгарский, лук, кинза, морковь",Салаты,240 с,https://nambafood.kg/dish_image/86800.png
Гнездо,"250 гр. Мясо вареное, огурцы, кукуруза, перепелиные яйца, майонез, картофель, пай",Салаты,210 с,https://nambafood.kg/dish_image/86801.png
Тайский,"250 гр. Мясо говяжье, баклажан, фунчеза, болгарский перец",Салаты,230 с,https://nambafood.kg/dish_image/86802.png
Весенний,"250 гр. Мясо говядины, брокколи, цветная капуста, помидоры, листья салата",Салаты,220 с,https://nambafood.kg/dish_image/140459.png
Морковный салат,250 гр.,Салаты,150 с,https://nambafood.kg/dish_image/105572.png
Шорпо,300 гр.,Первые блюда,220 с,https://nambafood.kg/dish_image/86816.png
Борщ,300 гр.,Первые блюда,170 с,https://nambafood.kg/dish_image/86819.png
Суп с фрикадельками,300 гр.,Первые блюда,170 с,https://nambafood.kg/dish_image/86822.png
Пельмени по-домашнему,300 гр.,Первые блюда,170 с,https://nambafood.kg/dish_image/86823.png
Чечевичный суп-пюре,300 гр.,Первые блюда,160 с,https://nambafood.kg/dish_image/86825.png
Бризоль,200 гр.,Европейские блюда,220 с,https://nambafood.kg/dish_image/86830.png
Котлета по-домашнему с пюре,300 гр.,Европейские блюда,250 с,https://nambafood.kg/dish_image/86831.png
Бефстроганов из телятины с рисом,300 гр.,Европейские блюда,250 с,https://nambafood.kg/dish_image/87380.png
Вареники с картошкой,250 гр.,Европейские блюда,150 с,https://nambafood.kg/dish_image/86836.png
Рис,150 гр.,Гарниры,70 с,https://nambafood.kg/dish_image/86838.png
Картофель фри,150 гр.,Гарниры,100 с,https://nambafood.kg/dish_image/86841.png
Лагман жидкий,400 гр.,Восточные блюда,200 с,https://nambafood.kg/dish_image/87503.png
Лагман гуйру,400 гр.,Восточные блюда,230 с,https://nambafood.kg/dish_image/87502.png
Лагман босо,400 гр.,Восточные блюда,230 с,https://nambafood.kg/dish_image/86845.png
Плов узбекский,400 гр.,Восточные блюда,200 с,https://nambafood.kg/dish_image/86852.png
Манты с мясом,5 шт.,Восточные блюда,220 с,https://nambafood.kg/dish_image/86853.png
Куурдак с картошкой,350 гр.,Восточные блюда,370 с,https://nambafood.kg/dish_image/86854.png
Куурдак с курицей,350 гр.,Восточные блюда,250 с,https://nambafood.kg/dish_image/105575.png
Мушуру,"300 гр. Грибы, мясо говядины, лук, яйцо",Уйгурская кухня,350 с,https://nambafood.kg/dish_image/86858.png
Казан кебаб,"250 гр. Баранина, говядина",Уйгурская кухня,350 с,https://nambafood.kg/dish_image/86859.png
Казан кебаб из курицы,"250 гр. Курица, картофель",Уйгурская кухня,270 с,https://nambafood.kg/dish_image/86860.png
Балык саи,250 гр. Рыба с овощами,Уйгурская кухня,370 с,https://nambafood.kg/dish_image/86861.png
Рыба хрустяшка,200 гр.,Уйгурская кухня,350 с,https://nambafood.kg/dish_image/86862.png
Жаровня из баранины с овощами,250 гр.,Уйгурская кухня,370 с,https://nambafood.kg/dish_image/86864.png
Жаровня из говядины с овощами,250 гр.,Уйгурская кухня,370 с,https://nambafood.kg/dish_image/86866.png
Фирменный плов,"1 кг. 4 шт. перепелки, перепелиные яйца, рис лазер, баранина, куриное яйцо, чеснок, огонёк","Плов на заказ. Готовится на огне в течение 1,5-2 часов",2000 с,https://nambafood.kg/dish_image/87954.png
Узгенский плов,"1 кг. Мясо, курдюк, баранина, рис узгенский, куриное яйцо, чеснок, огонёк","Плов на заказ. Готовится на огне в течение 1,5-2 часов",1700 с,https://nambafood.kg/dish_image/86953.png
Плов,"1 кг. Говядина на оливковом масле, рис лазер, куриное яйцо, чеснок","Плов на заказ. Готовится на огне в течение 1,5-2 часов",1800 с,https://nambafood.kg/dish_image/86954.png
Обычный плов,"1 кг. Говядина, рис лазер, куриное яйцо, чеснок","Плов на заказ. Готовится на огне в течение 1,5-2 часов",1600 с,https://nambafood.kg/dish_image/86955.png
Плов самаркандский,"1 кг. Рис лазер, изюм, нут, чернослив, яйцо куриное, говядина, чеснок","Плов на заказ. Готовится на огне в течение 1,5-2 часов",1700 с,https://nambafood.kg/dish_image/86957.png
Плов узбекский,"1 кг. Говядина, нут, рис лазер, кишмиш, куриное яйцо, чеснок","Плов на заказ. Готовится на огне в течение 1,5-2 часов",1700 с,https://nambafood.kg/dish_image/86958.png
Лепешка,1 шт.,Хлебобулочные изделия,35 с,https://nambafood.kg/dish_image/86975.png
Боорсоки (1 кг.),1 кг.,Хлебобулочные изделия,250 с,https://nambafood.kg/dish_image/86980.png
Coca-Cola 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/140460.png
Fanta 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/140461.png
Sprite 1 л,,Напитки,110 с,https://nambafood.kg/dish_image/140462.png
Bonaqua 1 л,,Напитки,50 с,https://nambafood.kg/dish_image/86984.png
