Наименование,Описание,Категория,Цена,Фото
Пибимпаб,"450 г. Пибимпаб это рис с овощами, мясом, зеленью, яйцом и специями.",Куксу,380 с,https://nambafood.kg/dish_image/145806.png
Куксу с пшеничной лапшой,"600 г. Домашняя лапша в фирменном бульоне с топпингом ( чуми ) из говяжьего мяса, яиц, огурцы, капусты, и помидоров.",Куксу,250 с,https://nambafood.kg/dish_image/145710.png
"Куксу 0,7 с пшеничной лапшой","450 г. Домашняя лапша в фирменном бульоне с топпингом ( чуми ) из говяжьего мяса, яиц, огурцы, капусты, и помидоров.",Куксу,220 с,https://nambafood.kg/dish_image/145711.png
Куксу с гречневой лапшой,"Домашняя лапша в фирменном бульоне с топпингом (чуми) из говяжьего мяса, яиц, огурцов, капусты и помидоров",Куксу,280 с,https://nambafood.kg/dish_image/145712.png
"Куксу с гречневой лапшой 0,7","Домашняя лапша в фирменном бульоне с топпингом (чуми) из говяжьего мяса, яиц, огурцов, капусты и помидоров",Куксу,250 с,https://nambafood.kg/dish_image/145713.png
Калькуксу,"450 г. Домашняя лапша в неостром бульоне из морепродуктов с топпингом из овощей, яиц, креветок и кальмаров.",Куксу,380 с,https://nambafood.kg/dish_image/145714.png
Тямпон с говядиной,"450 г. Домашняя лапша в остром бульоне из мяса, овощей и коктейлем из морепродуктов.",Куксу,380 с,https://nambafood.kg/dish_image/145715.png
Тямпон с брюшиной,"450 г. Домашняя лапша в остром бульоне из мяса, овощей и коктейлем из морепродуктов.",Куксу,380 с,https://nambafood.kg/dish_image/145716.png
Ненмен с пшеничной лапшой,"450 г. Домашняя лапша в холодном неостром бульоне из овощей и соевого соуса с топпингом из огурцов, помидоров, крабовых палочек, яйцом и отварной говядиной.",Куксу,350 с,https://nambafood.kg/dish_image/145717.png
Ненмен с гречневой лапши,"450 г. Домашняя лапша в холодном неостром бульоне из овощей и соевого соуса с топпингом из огурцов, помидоров, крабовых палочек, яйцом и отварной говядиной.",Куксу,380 с,https://nambafood.kg/dish_image/145807.png
Чаджанмен,"450 г. Лапша с коричневым соусом из бобов, мяса и овощей.",Куксу,470 с,https://nambafood.kg/dish_image/145718.png
Соба вегетарианская,"Гречневая лапша с овощами, зеленью и тубу.",Куксу,380 с,https://nambafood.kg/dish_image/145719.png
Соба с курицей,"Гречневая лапша с овощами, зеленью и курицей.",Куксу,380 с,https://nambafood.kg/dish_image/145720.png
Рамен с сыром,450 г. Популярный вид острой лапши.,Куксу,300 с,https://nambafood.kg/dish_image/145721.png
Рамен с яйцом,450 г. Популярный вид острой лапши.,Куксу,300 с,https://nambafood.kg/dish_image/145727.png
Чиз чикен катсу рамен,Среднеострый рамен с сыром и курицей в панировке.,Куксу,360 с,https://nambafood.kg/dish_image/145722.png
Ногури рамен,Острый рамен с морепродуктами.,Куксу,380 с,https://nambafood.kg/dish_image/145723.png
Вегетарианский рамен,Среднеострый рамен с овощами.,Куксу,310 с,https://nambafood.kg/dish_image/145724.png
