Наименование,Описание,Категория,Цена,Фото
Каша овощная,1 порция,Питательные каши (Корейская кухня),490 с,https://nambafood.kg/dish_image/141107.png
Каша овощная с тунцом,,Питательные каши (Корейская кухня),620 с,https://nambafood.kg/dish_image/141108.png
Каша говяжья и овощная,,Питательные каши (Корейская кухня),570 с,https://nambafood.kg/dish_image/141109.png
Каша говяжья и грибная,,Питательные каши (Корейская кухня),570 с,https://nambafood.kg/dish_image/141110.png
Каша с морепродуктами,,Питательные каши (Корейская кухня),720 с,https://nambafood.kg/dish_image/141294.png
Каша с креветками,,Питательные каши (Корейская кухня),670 с,https://nambafood.kg/dish_image/141300.png
Куриная каша,,Питательные каши (Корейская кухня),720 с,https://nambafood.kg/dish_image/143051.png
Омлет с овощами,"Яйца, кабачки, перец, помидор",Отдельные завтраки,310 с,https://nambafood.kg/dish_image/136870.png
Классический завтрак,,Отдельные завтраки,290 с,https://nambafood.kg/dish_image/136871.png
Английский завтрак,"Яичница, сосиски, фасоль, грибы, помидоры, тосты",Отдельные завтраки,410 с,https://nambafood.kg/dish_image/136872.png
Французский завтрак,"Омлет, курица, картошка по-деревенски, шпинат, микс-салат, грибной соус, тосты",Отдельные завтраки,430 с,https://nambafood.kg/dish_image/136874.png
Сырники,,Отдельные завтраки,250 с,https://nambafood.kg/dish_image/136876.png
Асаи боул,Смузи на миндальном молоке с бананом и ягодами по сезону,Отдельные завтраки,360 с,https://nambafood.kg/dish_image/136879.png
Гренки,,Отдельные завтраки,190 с,https://nambafood.kg/dish_image/136883.png
Овсяная каша,,Отдельные завтраки,210 с,https://nambafood.kg/dish_image/136875.png
Рисовая каша,,Отдельные завтраки,210 с,https://nambafood.kg/dish_image/136877.png
Медовый хлеб,"Взбитые сливки, сливочное мороженое, масло, мед, карамельный соус, корица",Отдельные завтраки,320 с,https://nambafood.kg/dish_image/136881.png
Брускетта с семгой и авокадо,"Брускетта, авокадо, семга, руккола, черри, бальзамический соус",Отдельные завтраки,420 с,https://nambafood.kg/dish_image/141918.png
Тортилья с курицей и сыром,,Отдельные завтраки,290 с,https://nambafood.kg/dish_image/141919.png
Греческий,"300 гр. Помидоры, огурцы, болгарский перец, салат ,сыр, оливки, орегано.",Салаты,390 с,https://nambafood.kg/dish_image/136884.png
Фирменный салат «Rodem»‎‎,"Моцарелла, запеченная свекла, креветки, апельсин, микс-салат, фирменный соус",Салаты,490 с,https://nambafood.kg/dish_image/136889.png
Цезарь с курицей,"280 гр. Курица, салат айсберг, листья салата помидоры, сухарики, соус «Цезарь».",Салаты,430 с,https://nambafood.kg/dish_image/136885.png
Цезарь с креветками,"280 гр. Креветки, салат айсберг, листья салата помидоры, сухарики, соус «Цезарь».",Салаты,490 с,https://nambafood.kg/dish_image/136886.png
Руккола с моцареллой,"Руккола, вяленные черри, моцарелла, кедровые орехи, бальзамический соус",Салаты,380 с,https://nambafood.kg/dish_image/136891.png
Креветки на гриле с фаршированным томатом,"Креветки, рис, помидор, моцарелла",Салаты,450 с,https://nambafood.kg/dish_image/141921.png
Капрезе,"300 гр. Помидоры, сыр моцарелла, бальзамический соус.",Салаты,410 с,https://nambafood.kg/dish_image/136887.png
