Наименование,Описание,Категория,Цена,Фото
Сырники с джемом,250 г,Завтраки,170 с,https://nambafood.kg/dish_image/131832.png
Сырники со сметаной,250 г,Завтраки,170 с,https://nambafood.kg/dish_image/131833.png
Блинчики с джемом,250 г,Завтраки,145 с,https://nambafood.kg/dish_image/131830.png
Блинчики со сметаной,250 г,Завтраки,145 с,https://nambafood.kg/dish_image/131831.png
Английский завтрак с глазуньей,"400 г. Глазунья, сосиски, тосты, фасоль в томате, салат микс.",Завтраки,295 с,https://nambafood.kg/dish_image/131834.png
Английский завтрак со скрембл,"400 г. Скрембл, сосиски, тосты, фасоль в томате, салат микс.",Завтраки,295 с,https://nambafood.kg/dish_image/118374.png
Цезарь с курицей,"250 г. Лист салата, айсберг, курица, соус, томаты, пармезан, крутоны.",Салаты,290 с,https://nambafood.kg/dish_image/131835.png
Греческий салат,"250 г. Огурцы, томаты, лист салата, сыр, оливки.",Салаты,240 с,https://nambafood.kg/dish_image/131836.png
Баклажаны с творожным сыром,"Баклажаны, шпинат, лист салата, томаты, сыр творожный, кунжутное масло/",Салаты,290 с,https://nambafood.kg/dish_image/131839.png
Салат с грибами,"Говядина, опята, лист салата, томаты, маринованные огурцы, соевый соус.",Салаты,250 с,https://nambafood.kg/dish_image/131844.png
Салат «Паназиат»,"Бон филе говядины, шпинат, лист салата, томаты, кедровые орешки, мед, горчица.",Салаты,300 с,https://nambafood.kg/dish_image/131837.png
Чечевичный  суп,300 гр.,Супы,180 с,https://nambafood.kg/dish_image/131917.png
Том ям,,Супы,410 с,https://nambafood.kg/dish_image/131955.png
Рамен с говядиной,300 гр.,Супы,270 с,https://nambafood.kg/dish_image/131957.png
Рамен с курицей,,Супы,270 с,https://nambafood.kg/dish_image/131958.png
Тыквенный крем-суп,300 гр.,Супы,180 с,https://nambafood.kg/dish_image/131919.png
Куриный суп с лапшой,300 г,Супы,170 с,https://nambafood.kg/dish_image/131921.png
Болоньезе,"320 г. Спагетти, фарш из говядины, томатный соус, пармезан.",Паста,270 с,https://nambafood.kg/dish_image/131959.png
Феттучини с курицей и грибами,"320 г. Фетучини, куриное филе, шампиньоны, сливочный соус, пармезан.",Паста,290 с,https://nambafood.kg/dish_image/131960.png
Паста с охотничьими колбасками,"Спагетти, охотничьи колбаски, остро томатный соус, пармезан.",Паста,300 с,https://nambafood.kg/dish_image/131961.png
Спагетти с говядиной и кабачками,"320 г. Спагетти, бон филе говядины, кабачок, сливочно-томатный соус, пармезан.",Паста,290 с,https://nambafood.kg/dish_image/118390.png
Пицца - Четыре сезона,"420 г. Салями, соус болоньезе, курица, грибы, соус, сыр.",Пицца,400 с,https://nambafood.kg/dish_image/131966.png
Пицца - Пепперони,"380 г. Салями, сыр, соус.",Пицца,350 с,https://nambafood.kg/dish_image/131967.png
Пицца - Четыре сыра,"390 г. Чеддер, моцарелла, пармезан, дор блю, сливки, груша.",Пицца,380 с,https://nambafood.kg/dish_image/118396.png
Пицца - Чили,"400 г. Болгарский перец, халапеньо, моцарелла, шампиньоны, соус.",Пицца,380 с,https://nambafood.kg/dish_image/118391.png
Пицца - Куриная,"420 г. Курица, грибы, моцарелла соус.",Пицца,380 с,https://nambafood.kg/dish_image/118393.png
Пицца - Маргарита,"320 г. Моцарелла, соус.",Пицца,280 с,https://nambafood.kg/dish_image/118392.png
Хачапури,,Пицца,320 с,https://nambafood.kg/dish_image/131968.png
Куриная грудка на гриле с с картофелем по деревенски,,Горячие блюда,375 с,https://nambafood.kg/dish_image/134149.png
Куриная грудка на гриле с овощами,,Горячие блюда,375 с,https://nambafood.kg/dish_image/118366.png
Тбон стейк с картофелем по-деревенски,,Горячие блюда,565 с,https://nambafood.kg/dish_image/131971.png
Тбон стейк с овощами гриль,,Горячие блюда,565 с,https://nambafood.kg/dish_image/131972.png
