Наименование,Описание,Категория,Цена,Фото
Фирменный шашлык,"Очень вкусный, сочный шашлык. Фаршированный овощами. Помидоры, болгарский перец, кинза. Завернутый в жировую сетку. Идеальное сочетание вкуса мяса и овощей. Баранина или говядина на ваш выбор.",Шашлыки,400 с,https://nambafood.kg/dish_image/109152.png
Шашлык Карабах,"Свежая, не маринованная баранина в сочетании с сочными помидорами.",Шашлыки,330 с,https://nambafood.kg/dish_image/109154.png
Баранина мякоть,"Нежнейшая мякоть баранины, приготовленная на углях.",Шашлыки,340 с,https://nambafood.kg/dish_image/109156.png
Антрекот баранина,"Сочное, отборное мясо баранины на косточке.",Шашлыки,380 с,https://nambafood.kg/dish_image/109157.png
Особая баранина,"Самая нежная, мягкая и сочная часть баранины подарит вам настоящее гастрономическое удовольствие.",Шашлыки,400 с,https://nambafood.kg/dish_image/109158.png
Бараньи ребрышки,Вкуснейшие бараньи ребрышки с запахом настоящего мангального дыма.,Шашлыки,370 с,https://nambafood.kg/dish_image/109159.png
Люля-кебаб,"Очень вкусный шашлык из бараньего фарша, с добавлением ароматных и натуральных специй.",Шашлыки,270 с,https://nambafood.kg/dish_image/109160.png
Люля кебаб куриный,"Вкусный шашлык из куриного фарша, с добавлением ароматных и натуральных специй.",Шашлыки,270 с,https://nambafood.kg/dish_image/109161.png
Печень в рубашке,"Вкусный, ароматный шашлык из печени в сочной жировой рубашке.",Шашлыки,250 с,https://nambafood.kg/dish_image/109162.png
Почки,"Жаренные на мангале, ароматные и вкусные бараньи почки.",Шашлыки,220 с,https://nambafood.kg/dish_image/109163.png
Шашлык из куриных крылышек,Аппетитные куриные крылышки на мангале.,Шашлыки,240 с,https://nambafood.kg/dish_image/109164.png
Куриное филе,"Самое сочное, полезное и вкусное куриное филе на углях.",Шашлыки,250 с,https://nambafood.kg/dish_image/109165.png
Окорочка,Вкусный и нежный шашлык из куриных окорочков.,Шашлыки,220 с,https://nambafood.kg/dish_image/109166.png
Куриное филе с овощами,"Полезное, нежное филе с овощами подарит наслаждение и не повредит фигуре.",Шашлыки,270 с,https://nambafood.kg/dish_image/109167.png
Овощной шашлык,Для любителей овощей. Вкуснейшие овощи на мангале.,Шашлыки,170 с,https://nambafood.kg/dish_image/109168.png
