Наименование,Описание,Категория,Цена,Фото
Брускетта авокадо,,Стартеры,250 с,https://nambafood.kg/dish_image/126301.png
Брускетта форель,,Стартеры,250 с,https://nambafood.kg/dish_image/126305.png
Брускетта пастрами,,Стартеры,250 с,https://nambafood.kg/dish_image/126309.png
Севиче из форели,,Закуски,650 с,https://nambafood.kg/dish_image/126294.png
Хумус из бобов эдамамэ с корнами,,Закуски,500 с,https://nambafood.kg/dish_image/126315.png
Семга гравлакс от шефа,,Закуски,1300 с,https://nambafood.kg/dish_image/126310.png
Домашняяя рикотта с мятным вкусом,,Закуски,500 с,https://nambafood.kg/dish_image/126319.png
Мясная нарезка,"Бастурма, рибай, говядина, подкопченный язык.",Закуски,1700 с,https://nambafood.kg/dish_image/126311.png
Сырная тарелка,,Закуски,1500 с,https://nambafood.kg/dish_image/103305.png
Вяленая свекла с молодым сыром,,Салаты,570 с,https://nambafood.kg/dish_image/130931.png
Салат с копченой форелью и редисом,,Салаты,650 с,https://nambafood.kg/dish_image/126295.png
Салат с рукколлой и креветкой,,Салаты,750 с,https://nambafood.kg/dish_image/126296.png
Салат с пакчой и говядиной,С кешью и огурцом.,Салаты,600 с,https://nambafood.kg/dish_image/126302.png
Шисо салат,"Салат с зеленью, помидором и огурцом.",Салаты,570 с,https://nambafood.kg/dish_image/103310.png
Шеф цезарь с фермерским цыпленком,,Салаты,650 с,https://nambafood.kg/dish_image/120892.png
Черная фунчоза с говядиной,,Салаты,550 с,https://nambafood.kg/dish_image/120894.png
Фирменное шорпо «Frunze»,,Первые блюда,450 с,https://nambafood.kg/dish_image/130947.png
Картофельный крем суп с фрикадельками из угря,,Первые блюда,400 с,https://nambafood.kg/dish_image/130933.png
Тайский суп с соком юдзу,,Первые блюда,400 с,https://nambafood.kg/dish_image/103316.png
Консоме,С фермерским цыплёнком и орзо.,Первые блюда,350 с,https://nambafood.kg/dish_image/130935.png
Гульчатай с бараньим ребрышком,,Основные блюда,700 с,https://nambafood.kg/image_by_id/103292
Бараньи ребрышки и цукини,,Основные блюда,900 с,https://nambafood.kg/dish_image/130929.png
Ребро конины и кукуруза,,Основные блюда,950 с,https://nambafood.kg/dish_image/130926.png
Говядина фламбе с кремом из картофеля,,Основные блюда,950 с,https://nambafood.kg/dish_image/126323.png
Ковбой стейк и сахарная косточка,,Основные блюда,1500 с,https://nambafood.kg/dish_image/126324.png
Рибай стейк и маринованный лук,,Основные блюда,1350 с,https://nambafood.kg/dish_image/130944.png
Форель с морковью,,Основные блюда,900 с,https://nambafood.kg/dish_image/126321.png
Семга с птитим,,Основные блюда,1000 с,https://nambafood.kg/dish_image/126325.png
Шашлык из баранины,,Шашлык,550 с,https://nambafood.kg/dish_image/120942.png
Шашлык из бараньих ребер,,Шашлык,750 с,https://nambafood.kg/dish_image/120944.png
Люля кебаб из баранины,,Шашлык,500 с,https://nambafood.kg/dish_image/120946.png
Шашлык из говядины,,Шашлык,650 с,https://nambafood.kg/dish_image/120948.png
Шашлык из куриных крылышек,,Шашлык,400 с,https://nambafood.kg/dish_image/120950.png
Форель на мангале,,Шашлык,900 с,https://nambafood.kg/dish_image/120952.png
Овощи на мангале,,Шашлык,350 с,https://nambafood.kg/dish_image/120954.png
Ассорти шашлыков,10 палочек,Шашлык,4500 с,https://nambafood.kg/dish_image/120956.png
Фундучный мусс,,Десерт,350 с,https://nambafood.kg/dish_image/130948.png
Сочное яблоко,,Десерт,350 с,https://nambafood.kg/dish_image/130943.png
Луковый хлеб,,Хлеб,100 с,https://nambafood.kg/dish_image/130924.png
Ржаной с подсолённым маслом,,Хлеб,150 с,https://nambafood.kg/dish_image/130925.png
