Наименование,Описание,Категория,Цена,Фото
Босо лагман,"400 гр. Нежное мясо телятины со свежими овощами, обжаренные на воке, слегка притомленные и приправленные китайскими специями.",Восточные блюда,175 с,https://nambafood.kg/dish_image/81411.png
Мушуро,"400 гр. Нежные кусочки маринованной телятины обжаренные на воке с добавлением грибов Муэр, яичного омлета, паприки, томатов и китайских специй.",Восточные блюда,220 с,https://nambafood.kg/dish_image/81412.png
Фри с мясом,350 гр. Жареные кусочки говядины с картофелем фри и свежими овощами.,Восточные блюда,199 с,https://nambafood.kg/dish_image/81413.png
Казан кебаб,300 гр. Аппетитные кусочки обжаренной телятины с репчатым луком и пикантными специями. На гарнир подается рис.,Восточные блюда,199 с,https://nambafood.kg/dish_image/81414.png
Сливочный лагман,350 гр. Нежное куриное филе в сливочном соусе с домашней лапшой.,Восточные блюда,175 с,https://nambafood.kg/dish_image/81417.png
Гуйру лагман,"400 гр. Яркий подлив из мяса теленка и свежих овощей с домашней лапшой, ручного приготовления.",Восточные блюда,175 с,https://nambafood.kg/dish_image/81513.png
Суп Вензы тон,"400 гр. Азиатский суп с котлетками, овощами, шпинатом, черной фунчезой и грибами муэр",Восточные блюда,139 с,https://nambafood.kg/dish_image/88601.png
Удон с говядиной,"450 гр. Лапша, обжаренная с нежной телятиной и овощным миксом в соусе терияки",Восточные блюда,220 с,https://nambafood.kg/dish_image/88602.png
Удон с курицей,"450 гр. Лапша, обжаренная с куриным филе и овощным миксом в соусе терияки",Восточные блюда,199 с,https://nambafood.kg/dish_image/88603.png
Курица терияки,"350 гр. Золотистые кусочки сочного куриного филе, посыпанные кунжутом, в соусе терияки с рисом",Восточные блюда,199 с,https://nambafood.kg/dish_image/88604.png
Курица в кисло сладком соусе,,Восточные блюда,199 с,https://nambafood.kg/dish_image/102321.png
Ганфан,400 гр. Яркий подлив из мяса теленка и свежих овощей с отварным рисом.,Восточные блюда,175 с,https://nambafood.kg/dish_image/88605.png
Цезарь,,Восточные блюда,129 с,https://nambafood.kg/dish_image/102322.png
Казан кебаб с курицей,,Восточные блюда,199 с,https://nambafood.kg/dish_image/119248.png
Фри с курицей,,Восточные блюда,199 с,https://nambafood.kg/dish_image/119249.png
Картофель фри,100 гр.,Гарниры,80 с,https://nambafood.kg/dish_image/81420.png
Хлеб (долька лепешки),,Гарниры,10 с,https://nambafood.kg/dish_image/81499.png
"Лимонад ""Лесные ягоды""",,Напитки,89 с,https://nambafood.kg/dish_image/81496.png
"Лимонад ""Киви-апельсин""",,Напитки,89 с,https://nambafood.kg/dish_image/81501.png
"Лимонад ""Манго - маракуйа""",,Напитки,89 с,https://nambafood.kg/dish_image/81509.png
Кока кола 1 л,,Напитки,85 с,https://nambafood.kg/dish_image/81507.png
Фанта 1 л,,Напитки,85 с,https://nambafood.kg/dish_image/81421.png
Спрайт 1 л,,Напитки,85 с,https://nambafood.kg/dish_image/81422.png
"Кока кола 0,5 л",,Напитки,45 с,https://nambafood.kg/dish_image/81423.png
"Фанта 0,5 л",,Напитки,45 с,https://nambafood.kg/dish_image/81424.png
"Спрайт 0,5 л",,Напитки,45 с,https://nambafood.kg/dish_image/81425.png
Фьюс чай 1 л,,Напитки,85 с,https://nambafood.kg/dish_image/81426.png
"Фьюс чай 0,5 л",,Напитки,50 с,https://nambafood.kg/dish_image/81427.png
Вода Бон Аква  без газа 1 л,,Напитки,40 с,https://nambafood.kg/dish_image/81490.png
"Вода Бон Аква без газа 0,5 л",,Напитки,30 с,https://nambafood.kg/dish_image/81428.png
