Наименование,Описание,Категория,Цена,Фото
(A1) Хрустящая утка большая кусочками (целая),300 г,Холодные закуски,1280 с,https://nambafood.kg/dish_image/37015.png
(A2) Салат из фунчозы с куриным мясом,300 г,Холодные закуски,380 с,https://nambafood.kg/dish_image/37012.png
(A3) Салат из говядины с огурцами в остром соусе,300 г,Холодные закуски,380 с,https://nambafood.kg/dish_image/37011.png
(A4) Салат язык в чесночном в остром соусе,300 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/37010.png
(A5) Салат из говяжьей требухи,300 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/37009.png
(A6) Хрустящая мойва,200 г,Холодные закуски,350 с,https://nambafood.kg/dish_image/37008.png
(А7) Салат из требухи с кунжутом,300 г,Холодные закуски,250 с,https://nambafood.kg/dish_image/55630.png
(А8) Салат из свиных ушек в остром соусе,300 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/55631.png
(А9) Салат свиные ножки в соусе,250 г,Холодные закуски,230 с,https://nambafood.kg/dish_image/55632.png
(А10) Салат свиная требуха в остром соусе,300 г,Холодные закуски,230 с,https://nambafood.kg/dish_image/55633.png
(A12) Салат из огурцов с фунчозой,200 г,Холодные закуски,220 с,https://nambafood.kg/dish_image/37133.png
(A13) Салат из чёрной фунчозы в кисло-остром соусе,250 г,Холодные закуски,260 с,https://nambafood.kg/dish_image/37006.png
(А14) Салат из цветной капусты (белая),200 г,Холодные закуски,230 с,https://nambafood.kg/dish_image/55634.png
(A15) Салат со спаржей,200 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/37004.png
(A16) Салат из золотистых грибов,200 г,Холодные закуски,300 с,https://nambafood.kg/dish_image/37003.png
(A17) Салат из лука с помидорами,300 г,Холодные закуски,180 с,https://nambafood.kg/dish_image/37002.png
(A18) Салат из помидоров и огурцов,300 г,Холодные закуски,180 с,https://nambafood.kg/dish_image/37001.png
(A19) Салат огурцы в чесночном соусе,300 г,Холодные закуски,160 с,https://nambafood.kg/dish_image/37546.png
(А20) Салат по-китайски (сансы),300 г,Холодные закуски,180 с,https://nambafood.kg/dish_image/64444.png
(A21) Салат из туфу с зелёным луком,300 г,Холодные закуски,160 с,https://nambafood.kg/dish_image/37005.png
(A22) Салат из морской капусты,300 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/36997.png
(A23) Салат из чёрных грибов,300 г,Холодные закуски,280 с,https://nambafood.kg/dish_image/36996.png
(A24) Салат из шпината,300 г,Холодные закуски,220 с,https://nambafood.kg/dish_image/36995.png
(A25) Салат из картофельных стружек,300 г,Холодные закуски,150 с,https://nambafood.kg/dish_image/36994.png
(A26) Салат из маша,300 г,Холодные закуски,150 с,https://nambafood.kg/dish_image/36993.png
(B1) Да-Пан-Ди курица с картошкой (большая),1000 г,Блюда из курицы,880 с,https://nambafood.kg/dish_image/36992.png
(B2) Да-Пан-Ди курица с картошкой (половина),500 г,Блюда из курицы,580 с,https://nambafood.kg/dish_image/36991.png
(B3) Курица хрустящая кусочками с острым перцем (с косточками),300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/36989.png
(В4) Курица кусочками с острым перцем (без косточек),250 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/55635.png
(В5) Шашлык из курицы на шпажках (в кляре),200 г,Блюда из курицы,420 с,https://nambafood.kg/dish_image/55636.png
(В6) Хрустящая курица с чесноком,300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/55638.png
(B7) Курица кусочками в кляре в кисло-сладком соусе,300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/36990.png
(B8) Курица кусочками в кляре в кисло-остром соусе,250 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/36987.png
(B9) Жареная курица с грибами,300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/37548.png
(B10) Жареная курица с чёрными грибами,300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/36984.png
(B11) Жареная курица с овощами,300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/36983.png
(B12) Жареная курица с арахисом (по-гунбао),300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/36981.png
(В13) Жареная курица кусочками в кляре,200 г,Блюда из курицы,350 с,https://nambafood.kg/dish_image/55643.png
(В14) Тушеная курица с туфу в соевом соусе,300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/55644.png
(B15) Жареная курица со стручковым чесноком,300 г,Блюда из курицы,380 с,https://nambafood.kg/dish_image/36980.png
(C1) Рыба в форме (винограда)  в кисло-сладком соусе,300 г,Блюда из рыбы,450 с,https://nambafood.kg/dish_image/36979.png
(C2) Рыба в форме (виноград)  в кисло-остром соусе,300 г,Блюда из рыбы,450 с,https://nambafood.kg/dish_image/36978.png
(С3) Хрустящая рыба кусочками с чесноком,200 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/55646.png
(C4) Рыба кусочками в кляре в кисло-сладком соусе,300 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/36977.png
(C5) Рыба кусочками в кляре в кисло-остром соусе,300 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/36976.png
(С6) Тушеная рыба кусочками в кляре в соевом соусе,300 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/55647.png
(C7) Жареная рыба кусочками в кляре с чесноком,300 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/36974.png
(С9) Сухо жареная рыба кусочками в кляре (острая),300 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/55648.png
(С11) Жареная рыба кусочками в кляре с туфу,300 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/55650.png
(С12) Жареная рыба кусочками в кляре,300 г,Блюда из рыбы,350 с,https://nambafood.kg/dish_image/55651.png
(C13) Жареная рыба кусочками в кляре с  овощами,300 г,Блюда из рыбы,380 с,https://nambafood.kg/dish_image/36973.png
(D1) Тушеная говядина с туфу,1000 г,Блюда из говядины,500 с,https://nambafood.kg/dish_image/36971.png
(D2) Жареная говядина с яйцом и черными грибами (соломкой),300 г,Блюда из говядины,380 с,https://nambafood.kg/dish_image/55653.png
(D3) Тушеная говядина с картошкой,300 гр,Блюда из говядины,360 с,https://nambafood.kg/dish_image/55656.png
(D4) Жареная говядина в кисло-сладком соусе (в кляре),300 г,Блюда из говядины,380 с,https://nambafood.kg/dish_image/36970.png
(D5) Жареная говядина в кисло-остром соусе (в кляре),300 г,Блюда из говядины,360 с,https://nambafood.kg/dish_image/36969.png
(D6) Жареная говядина в кляре,300 г,Блюда из говядины,340 с,https://nambafood.kg/dish_image/55657.png
(D7) Жареная говядина с рыбным вкусом (соломкой),300 г,Блюда из говядины,380 с,https://nambafood.kg/dish_image/36968.png
(D8) Жареная говядина с арахисом по-гунбао,300 г,Блюда из говядины,380 с,https://nambafood.kg/dish_image/36967.png
(D9) Жареная говядина с белыми грибами,300 г,Блюда из говядины,380 с,https://nambafood.kg/dish_image/37549.png
(D10) Жареная говядина со спаржей,300 г,Блюда из говядины,360 с,https://nambafood.kg/dish_image/64445.png
(D11) Жареная говядина со стручковым чесноком,300 г,Блюда из говядины,380 с,https://nambafood.kg/dish_image/36964.png
(D12) Жареная говядина с чёрными грибами,300 г,Блюда из говядины,380 с,https://nambafood.kg/dish_image/36963.png
(D13) Жареная говядина с овощами,300 г,Блюда из говядины,360 с,https://nambafood.kg/dish_image/36962.png
(D14) Жареная говядина с зелёным перцем,300 г,Блюда из говядины,360 с,https://nambafood.kg/dish_image/36965.png
(D15) Жареная говядина с луком,300 г,Блюда из говядины,360 с,https://nambafood.kg/dish_image/37550.png
(D16) Тушеная говядина с фунчозой,300 г,Блюда из говядины,360 с,https://nambafood.kg/dish_image/36958.png
(D17) Тушеная говядина с капустой и фунчезой,300 г,Блюда из говядины,360 с,https://nambafood.kg/dish_image/55659.png
(D18) Жареная говяжья требуха с овощами,300 г,Блюда из говядины,300 с,https://nambafood.kg/dish_image/36972.png
(D19) Тушеные говяжьи сухожилия в соевом соусе,300 г,Блюда из говядины,300 с,https://nambafood.kg/dish_image/55661.png
(D20) Жареный говяжий язык с овощами,300 г,Блюда из говядины,300 с,https://nambafood.kg/dish_image/55664.png
(E1) Хрустящие бараньи рёбрышки с чесноком,300 г,Блюда из баранины,580 с,https://nambafood.kg/dish_image/36956.png
(Е3) Тушеные бараньи ребра в соевом соусе,300 г,Блюда из баранины,450 с,https://nambafood.kg/dish_image/55667.png
(E4) Жареная баранина с луком,300 г,Блюда из баранины,380 с,https://nambafood.kg/dish_image/36954.png
(E5) Жареная баранина с овощами,300 г,Блюда из баранины,380 с,https://nambafood.kg/dish_image/36952.png
(E6) Жареная баранина с грибами,300 г,Блюда из баранины,380 с,https://nambafood.kg/dish_image/36951.png
(Е7) Жареная баранина со спаржей,300 г,Блюда из баранины,380 с,https://nambafood.kg/dish_image/64447.png
(E8) Жареная баранина с чёрными грибами,300 г,Блюда из баранины,380 с,https://nambafood.kg/dish_image/36950.png
(E9) Жареная баранина со стручковым чесночком,300 г,Блюда из баранины,380 с,https://nambafood.kg/dish_image/36949.png
(F1) Шинкованная свинина с рисовыми гренками,500 г,Блюда из свинины,400 с,https://nambafood.kg/dish_image/55676.png
(F3) Тушеные свиные ребрышки в соевом соусе,300 г,Блюда из свинины,480 с,https://nambafood.kg/dish_image/55678.png
(F2) Жареная свинина с черными грибами и яйцом (соломкой),300 г,Блюда из свинины,360 с,https://nambafood.kg/dish_image/55677.png
(F4) Жареная свинина с соевой пастой по-пекински,200 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55679.png
(F5) Шашлык из свинины в кляре (на шпажках),250 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55680.png
(F9) Жареное филе свинины в кляре в кисло-сладком соусе,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55684.png
(F10) Жареное филе свинины в кляре в кисло-остром соусе,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55685.png
(F11) Жареная свинины со спаржей,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/64449.png
(F12) Жареная свинины с черным грибами,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55686.png
(F13) Жареная свинина со стручковым чесноком,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55687.png
(F14) Жареная свинина с арахисом по-гунбао,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55688.png
(F15) Жареная свинина с огурцами,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55689.png
(F16) Жареная свинина с зеленым перцем,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55690.png
(F17) Жареная свинина с овощами,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55691.png
(F18) Жареная свинина с белыми грибами,300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55692.png
(F19) Жареная свинина с рыбным вкусом (соломкой),300 г,Блюда из свинины,380 с,https://nambafood.kg/dish_image/55694.png
(F21) Жареные свиные почки с овощами,300 г,Блюда из свинины,280 с,https://nambafood.kg/dish_image/55695.png
(F23) Жареный свиной язык с овощами,300 г,Блюда из свинины,280 с,https://nambafood.kg/dish_image/55698.png
(F24) Жареный свиной желудок,300 г,Блюда из свинины,280 с,https://nambafood.kg/dish_image/55699.png
(F25) Тушеная свиная требуха в соевом соусе,300 г,Блюда из свинины,280 с,https://nambafood.kg/dish_image/55700.png
(F26) Тушеная свиная требуха с огурцами,300 г,Блюда из свинины,280 с,https://nambafood.kg/dish_image/64560.png
(F27) Тушеная свиная требуха с чесноком,300 г,Блюда из свинины,280 с,https://nambafood.kg/dish_image/55701.png
(G1) Жареная цветная капуста в кляре,250 г,Блюда овощные,260 с,https://nambafood.kg/dish_image/36948.png
(G2) Жареные грибы в кляре,250 г,Блюда овощные,280 с,https://nambafood.kg/dish_image/36947.png
(G3) Сухо-жареная стручковая фасоль (острая),300 г,Блюда овощные,320 с,https://nambafood.kg/dish_image/37145.png
(G5) Жареный баклажан с фасолью,300 г,Блюда овощные,320 с,https://nambafood.kg/dish_image/36942.png
(G6) Жареный баклажан с рыбным вкусом,300 г,Блюда овощные,260 с,https://nambafood.kg/dish_image/36941.png
(G7) Жареный целый перец с баклажаном,300 г,Блюда овощные,260 с,https://nambafood.kg/dish_image/36940.png
(G8) Жареный баклажан в соевом соусе,300 г,Блюда овощные,230 с,https://nambafood.kg/dish_image/37143.png
(G9) Жареные белые грибы с черными грибами,300 г,Блюда овощные,260 с,https://nambafood.kg/dish_image/64556.png
(G10) Жареная спаржа с черными грибами,300 г,Блюда овощные,260 с,https://nambafood.kg/dish_image/55704.png
(G11) Жареный  шпинат с яйцом,300 г,Блюда овощные,260 с,https://nambafood.kg/dish_image/36938.png
(G12) Жареные помидоры с яйцом,300 г,Блюда овощные,230 с,https://nambafood.kg/dish_image/55705.png
(G13) Жареный джусай с яйцом,300 г,Блюда овощные,230 с,https://nambafood.kg/dish_image/36937.png
(G16) Жареный шпинат,250 г,Блюда овощные,230 с,https://nambafood.kg/dish_image/36936.png
(G17) Жареная цветная капуста (белая),300 г,Блюда овощные,230 с,https://nambafood.kg/dish_image/36935.png
(G16) Жареный маш,300 г,Блюда овощные,200 с,https://nambafood.kg/dish_image/36934.png
(G17) Жареный джусай с машем,300 г,Блюда овощные,220 с,https://nambafood.kg/dish_image/36933.png
(G18) Жареные кабачки,300 г,Блюда овощные,260 с,https://nambafood.kg/dish_image/55706.png
(G19) Жареная капуста в кисло-остром соусе,300 г,Блюда овощные,200 с,https://nambafood.kg/dish_image/55708.png
"(G20) Жареная картошка не острая (соломкой, полусырая)",300 г,Блюда овощные,200 с,https://nambafood.kg/dish_image/36932.png
"(G24) Жареная картошка в остром соусе (соломкой, полусырая)",300 г,Блюда овощные,180 с,https://nambafood.kg/dish_image/36931.png
"(G21) Жареная картошка в кисло-остром соусе (соломкой, полусырая)",300 г,Блюда овощные,200 с,https://nambafood.kg/dish_image/37141.png
(H1) Говядина кусочками на жаровне,300 г,Блюда на жаровне,450 с,https://nambafood.kg/dish_image/36929.png
(H2) Баранина кусочками на жаровне,300 г,Блюда на жаровне,450 с,https://nambafood.kg/dish_image/36928.png
(H3) Курица кусочками на жаровне,300 г,Блюда на жаровне,450 с,https://nambafood.kg/dish_image/36927.png
(H4) Рыба кусочками на жаровне,300 г,Блюда на жаровне,450 с,https://nambafood.kg/dish_image/36926.png
(H5) Свинина кусочками на жаровне,300 г,Блюда на жаровне,450 с,https://nambafood.kg/dish_image/55709.png
(H6) Туфу (соевый творог) на жаровне,300 г,Блюда на жаровне,350 с,https://nambafood.kg/dish_image/55710.png
(L1) Жареные туфу по-домашнему,300 г,Блюда  из  туфу  (соевого  творога),280 с,https://nambafood.kg/dish_image/36925.png
(L2) Жареные туфу в остром соусе с фаршированным мясом,300 г,Блюда  из  туфу  (соевого  творога),260 с,https://nambafood.kg/dish_image/36924.png
(L3) Жареные туфу в остром соусе,300 г,Блюда  из  туфу  (соевого  творога),230 с,https://nambafood.kg/dish_image/64557.png
(L4) Жареные туфу в соевом соусе,300 г,Блюда  из  туфу  (соевого  творога),230 с,https://nambafood.kg/dish_image/36923.png
(L5) Жареные туфу с зелёным луком,300 г,Блюда  из  туфу  (соевого  творога),230 с,https://nambafood.kg/dish_image/37139.png
