Наименование,Описание,Категория,Цена,Фото
Остров сокровищ,Воздушные хлопья с молоком и шоколадом,Детское меню,179 с,https://nambafood.kg/dish_image/99097.png
Капитанский суп,"Куриный бульон, пассировка из лука и моркови, фрикадельки из курицы .",Детское меню,189 с,https://nambafood.kg/dish_image/99087.png
Морские ёжики,спагетти с мясными фрикадельками в томатном соусе,Детское меню,229 с,https://nambafood.kg/dish_image/100122.png
Сосиски в скафандре,сосиски в слоеном тесте подаются с картофелем фри и кетчупом,Детское меню,269 с,https://nambafood.kg/dish_image/100124.png
Морской плот,Сырные палочки,Детское меню,249 с,https://nambafood.kg/dish_image/100115.png
Подводные наггется,Куриные наггетсы подаются с кетчупом и микс салатом,Детское меню,249 с,https://nambafood.kg/dish_image/99085.png
Обед капитана,Куриное филе с гречотто,Детское меню,299 с,https://nambafood.kg/dish_image/99081.png
Сокровища пиратов,Куриные котлетки с пюре,Детское меню,269 с,https://nambafood.kg/dish_image/99083.png
Фруктовый салат с шариком мороженого,"салат из нарезанных кубиком фруктов( по сезону заправляется медом, выкдадывается в тарелку с шариком мороженого",Детское меню,280 с,https://nambafood.kg/dish_image/100528.png
Салат с креветками и авокадо,"огурцом, шпинатом и томатами черри, заправленный кисло-сладким соусом",Салаты,519 с,https://nambafood.kg/dish_image/99126.png
Салат с гранатовой заправкой,"Шпинат, шавель, творожный сыр, запеченная свекла, киноа и гранатовый соус",Салаты,429 с,https://nambafood.kg/dish_image/99128.png
Салат с уткой и грушей,"Микс салат, обжаренная утиная грудка, груша, помидоры черри, заправляется ягодным джемом и оливковым маслом",Салаты,329 с,https://nambafood.kg/dish_image/144470.png
Микс салата,"Микс салата с жареной курочкой, с йгуртовой зааправкой, огурцом, томатами конкассе и специей Сумак",Салаты,389 с,https://nambafood.kg/dish_image/100668.png
Салат из баклажан в китайском стиле,"хрустящие кусочки баклажан с помидорами черри, заправленные фирменным соусом",Салаты,379 с,https://nambafood.kg/dish_image/100132.png
Салат из свежих овощей,с лимонной заправкой и домашней брынзой,Салаты,379 с,https://nambafood.kg/dish_image/100131.png
Салат с лососем и авокадо,"Руккола, огурцы, авокадо. лосось, заправляется соусом и поливается кремом бальзамик",Салаты,429 с,https://nambafood.kg/dish_image/143737.png
Цезарь с курицей,и чесночным багетом,Салаты,429 с,https://nambafood.kg/dish_image/145401.png
Цезарь с креветками,и чесночным багетом,Салаты,549 с,https://nambafood.kg/dish_image/145402.png
Вешенки в китайском стиле,"Грибы вешенки, перец чили, яйцо, фасоль стручковая, специи.",Салаты,299 с,https://nambafood.kg/dish_image/133413.png
Салат с телятиной и сыром халуми,,Салаты,359 с,https://nambafood.kg/dish_image/104132.png
