Наименование,Описание,Категория,Цена,Фото
Тыквенный суп пюре,250 гр. Сream soup from pumpkin with croutons.,Супы,200 с,https://nambafood.kg/dish_image/128665.png
Суп из баранины Налли / Mutton nalli soup,250 гр. Traditional Indian lamb shank soup.,Супы,200 с,https://nambafood.kg/dish_image/69611.png
Крем-суп из брокколи,250 гр. Крем-суп из брокколи с гренками.,Супы,200 с,https://nambafood.kg/dish_image/128670.png
Маллигатони суп,,Супы,180 с,https://nambafood.kg/dish_image/69615.png
Томатный крем суп / Tomato cream soup,,Супы,200 с,https://nambafood.kg/dish_image/69613.png
Мексиканский острый суп / Mexican chilli beans soup,,Супы,180 с,https://nambafood.kg/dish_image/76669.png
Суп из морепродуктов / Royal Seafood soup,Королевский суп из морепродуктов,Супы,290 с,https://nambafood.kg/dish_image/69616.png
Японский куриный суп с лапшей,"250 гр. Куриный бульон, куриное филе, яйца, морковь, устрица, грибы, корень имбиря, чеснок, соевый соус, зеленый лук.",Супы,180 с,https://nambafood.kg/dish_image/128668.png
Суп из кориандра с лимоном / Lemon coriander soup,,Супы,150 с,https://nambafood.kg/dish_image/69608.png
Грибной суп чили,250 гр. Traditional chinese mushroom soup.,Супы,170 с,https://nambafood.kg/dish_image/69610.png
Манчжурский суп,"250 гр. Китайский бульон с курицей, капустные грибы.",Супы,180 с,https://nambafood.kg/dish_image/128666.png
Макароны с курицей / Chicken pasta salad,"кукуруза, паста и куриная грудка в белом соусе с сыром",Салаты,230 с,https://nambafood.kg/dish_image/129520.png
Салат из огурцов с помидорами и авокадо,Cucumber tomato avocado salad,Салаты,280 с,https://nambafood.kg/dish_image/129518.png
Фруктовый салат / Fruit salad,,Салаты,250 с,https://nambafood.kg/dish_image/129519.png
Салат из крошечных креветок,Tiny shrimp salad,Салаты,270 с,https://nambafood.kg/dish_image/129523.png
Салат из куринных тикка,"Куриная грудка, помидор, огурцы и салатный лист.",Салаты,250 с,https://nambafood.kg/dish_image/129521.png
Луковый салат,100 г,Салаты,50 с,https://nambafood.kg/dish_image/129522.png
Авокадо салат с лососем,200 г,Салаты,320 с,https://nambafood.kg/dish_image/129524.png
Овощной ассорти,250 г,Салаты,220 с,https://nambafood.kg/dish_image/129525.png
Свежий салат «Тысячи островов»,250 г,Салаты,250 с,https://nambafood.kg/dish_image/129526.png
Панир Тикка салат,250 гр. Свежие овощи с Индийским творожным сыром и оливковым маслом.,Салаты,250 с,https://nambafood.kg/dish_image/129527.png
Классический Итальянский свежий салат,"200 гр. Со сливочным итальянским пармезаном заправленным с помидорами, огурцами, морковью, болгарским перцем.",Салаты,250 с,https://nambafood.kg/dish_image/129528.png
Свежий салат,250 г,Салаты,200 с,https://nambafood.kg/dish_image/129529.png
Масала папад / Masala papad,,Пападомс / Papadum,150 с,https://nambafood.kg/dish_image/69690.png
Масала сыр папад / Masala cheese papad,,Пападомс / Papadum,170 с,https://nambafood.kg/dish_image/69681.png
Обожженный папад / Roasted papad,,Пападомс / Papadum,100 с,https://nambafood.kg/dish_image/69682.png
