Наименование,Описание,Категория,Цена,Фото
Яичница глазунья 1шт,,Завтраки,50 с,https://nambafood.kg/dish_image/20487.png
Яичница с колбасой,,Завтраки,170 с,https://nambafood.kg/dish_image/20488.png
Яичница с овощами,,Завтраки,140 с,https://nambafood.kg/dish_image/20489.png
Яичница с сосисками,,Завтраки,170 с,https://nambafood.kg/dish_image/20490.png
Омлет с сыром,,Завтраки,170 с,https://nambafood.kg/dish_image/20491.png
Омлет с колбаской,,Завтраки,170 с,https://nambafood.kg/dish_image/20492.png
Омлет с помидорами,,Завтраки,120 с,https://nambafood.kg/dish_image/20493.png
Каша рисовая,,Завтраки,100 с,https://nambafood.kg/dish_image/124496.png
Каша гречневая,,Завтраки,100 с,https://nambafood.kg/dish_image/124500.png
Каша пшеная,,Завтраки,100 с,https://nambafood.kg/dish_image/124502.png
Салат «Ас казан»,Мясо говядины с фунчезой и овощами по особому рецепту.,Салаты,170 с,https://nambafood.kg/dish_image/20498.png
Салат «Малибу»,"Голандский сыр, помидоры, огурцы, сухари с майонезом.",Салаты,170 с,https://nambafood.kg/dish_image/64168.png
Свежий салат,"Огурцы, помидоры, лук, масло растительное/сметана/ майонез.",Салаты,140 с,https://nambafood.kg/dish_image/20499.png
Витаминный салат,"С зеленью, помидорами, огурцами, маслинами, редиской, болгарским перцем, на сливочном масле.",Салаты,170 с,https://nambafood.kg/dish_image/20504.png
Свекольный салат,Свекла с чесночным соусом на майонезе.,Салаты,100 с,https://nambafood.kg/dish_image/20510.png
Шакарап,,Салаты,140 с,https://nambafood.kg/dish_image/99171.png
Салат «Шпинат»,Свежий шпинат с чесноком и специями.,Салаты,220 с,https://nambafood.kg/dish_image/27333.png
Пекинский салат,Салат с мясом и овощами средней остроты.,Салаты,220 с,https://nambafood.kg/dish_image/20500.png
Салат с брокколи,"Легкий сочный салат. Брокколи - вид капусты, содержащая массу полезных веществ.",Салаты,190 с,https://nambafood.kg/dish_image/20516.png
Греческий салат,"Крупно нарезанные овощи с брынзой и маслинами, заправленные маслом и соком лимона.",Салаты,200 с,https://nambafood.kg/dish_image/20501.png
Огурцы с чесноком,Очищенные свежие огурчики в чесночном соусе с кунжутным маслом.,Салаты,130 с,https://nambafood.kg/dish_image/20502.png
Салат «Весна»,"Помидоры, огурцы, листья салата, мясо, заправленные растительным маслом.",Салаты,220 с,https://nambafood.kg/dish_image/20503.png
Салат «Крабик»,"Крабовые палочки с кукурузой и свежими огурцами, маслом / майонезом.",Салаты,140 с,https://nambafood.kg/dish_image/20513.png
Фунчеза с мясом,"Мясо говядины с фунчезой, заправленное китайскими специями.",Салаты,190 с,https://nambafood.kg/dish_image/20506.png
Салат «Жгучая роза»,"Острый салат с мясом, картофелем пай и овощами, заправленный маслом.",Салаты,190 с,https://nambafood.kg/dish_image/20512.png
Салат из баклажанов,"Жареные баклажаны с помидорами, перцем и чесночным соусом.",Салаты,170 с,https://nambafood.kg/dish_image/20507.png
Винегрет,"Классический салат с квашеной капустой, соленьями и свеклой.",Салаты,140 с,https://nambafood.kg/dish_image/20509.png
Салат из древесных грибов,"Древесные грибы с перцем, заправленные оливковым маслом.",Салаты,200 с,https://nambafood.kg/dish_image/20508.png
