Наименование,Описание,Категория,Цена,Фото
Креветки к пиву,"Жаренные со специями и чесноком креветки, подаются с долькой лимона.",Закуски,350 с,https://nambafood.kg/dish_image/128148.png
Сельдь по-Норвежски,"Селедка с миксом из овощей, квашеной капустой и бородинским хлебом.",Закуски,350 с,https://nambafood.kg/dish_image/128144.png
Ассорти солений,"Микс из корнишонов, опят, красного лука и квашенной капусты с зеленью, салатом и патиссонами.",Закуски,350 с,https://nambafood.kg/dish_image/128145.png
Кавказская нарезка,Свежая зелень и овощи с брынзой и сыром Фета.,Закуски,300 с,https://nambafood.kg/dish_image/128146.png
Чесночные гренки,"Гренки с чесноком и специями, с чесночным соусом.",Закуски,150 с,https://nambafood.kg/dish_image/128147.png
Сырные шарики,"Хрустящие снаружи, сочные внутри, подаются с чесночным соусом.",Закуски,300 с,https://nambafood.kg/dish_image/128149.png
Чечил жареный,Ломтики жареннго чечила.,Закуски,150 с,https://nambafood.kg/dish_image/128150.png
Наггетсы,Наггетсы из куриного фил и специй.,Закуски,250 с,https://nambafood.kg/dish_image/128151.png
Луковые кольца,Хрустящие луковые кольца подаются с чесночным соусом.,Закуски,150 с,https://nambafood.kg/dish_image/128152.png
Крылышки Баффало,"Крылышки, обжаренные в соусе барбекю и специях.",Закуски,300 с,https://nambafood.kg/dish_image/128153.png
Цезарь с курицей,"Классический салат с тостом, перепелиным яйцом, курицей и соусом «Цезарь».",Салаты,350 с,https://nambafood.kg/dish_image/128154.png
Микс салат с апельсином,"Свежий салат с добавлением грецкого ореха, сыра дор-блю и свежего апельсина",Салаты,250 с,https://nambafood.kg/dish_image/143384.png
Салат с ростбифом,"Микс из листьев салата и домашнего ростбифа, заправленные соусами «Нашарап» и «Таната».",Салаты,370 с,https://nambafood.kg/dish_image/128156.png
Острый с языком,"Восточный салат из отварного языка, толченных орехов кешью с соевым соусом и кунжутным маслом.",Салаты,300 с,https://nambafood.kg/dish_image/128157.png
Хрустящие баклажаны,Баклажаны в кисло-сладком соусе с помидорами и зеленью.,Салаты,220 с,https://nambafood.kg/dish_image/128158.png
Цезарь с креветками,"Классический салат с тостом, перепелиным яйцом, креветками и соусом «Цезарь».",Салаты,450 с,https://nambafood.kg/dish_image/128159.png
Греческий,"Микс из свежих овощей с сыром фета и маслинами, заправленный соусом «Песто».",Салаты,340 с,https://nambafood.kg/dish_image/128160.png
Теплый с телятиной,"Антрекот, обжаренный с перцем калифорния и баклжаном в соевом соусе, подается с помидорами черри и красным луком.",Салаты,360 с,https://nambafood.kg/dish_image/128161.png
Витаминный бум,,Правильное питание,200 с,https://nambafood.kg/dish_image/128318.png
Овощной микс,,Правильное питание,240 с,https://nambafood.kg/dish_image/128302.png
Салат со шпинатом,,Правильное питание,290 с,https://nambafood.kg/dish_image/128304.png
Крем-суп из овощей,,Правильное питание,200 с,https://nambafood.kg/dish_image/128306.png
Минестроне,,Правильное питание,200 с,https://nambafood.kg/dish_image/128308.png
Куриная грудка с булгуром,,Правильное питание,270 с,https://nambafood.kg/dish_image/128312.png
Ростбиф с гречкой,,Правильное питание,360 с,https://nambafood.kg/dish_image/128314.png
Форель с бурым рисом,,Правильное питание,330 с,https://nambafood.kg/dish_image/128316.png
Солянка,"Густой суп из копченостей и вырезки, подается со сметаной, маслинами и долькой лимона.",Супы,220 с,https://nambafood.kg/dish_image/128162.png
