Наименование,Описание,Категория,Цена,Фото
Мужской каприз,"250 г. Язык говяжий, яйцо, зелень, майонез.",Салаты,350 с,https://nambafood.kg/dish_image/135404.png
Шпинат с мясом,250 г. Маринованный шпинат с мясом в соевом соусе со специями.,Салаты,350 с,https://nambafood.kg/dish_image/135440.png
Цезарь с курицей,"300 г. Куриное филе, сухарики, листья салата, айсберг, черри, соус цезарь.",Салаты,380 с,https://nambafood.kg/dish_image/135433.png
Мясо с баклажанами,"250 г. Говядина, баклажаны, кабачки, перец, соевый соус, специи.",Салаты,360 с,https://nambafood.kg/dish_image/58985.png
Греческий салат,"250 г. Огурцы, фетакса, помидоры, оливки, лимон.",Салаты,300 с,https://nambafood.kg/dish_image/135380.png
Салат «Язычок»,"200 г. Говяжий язык, корнишоны, огурцы, шампиньоны, майонез.",Салаты,330 с,https://nambafood.kg/dish_image/135441.png
Баклажаны фри,300 г. Баклажаны в кляре под фирменным соусом.,Салаты,350 с,https://nambafood.kg/dish_image/112561.png
Рыба хе,Свежемаринованное филе судака с луком в уксусе со специями.,Салаты,360 с,https://nambafood.kg/dish_image/135426.png
Салат Пекин,"250 г. Говядина, огурцы, помидоры, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/44558.png
Свежий салат,"250 г. Огурцы, помидоры, лук майонез или оливковое масло.",Салаты,240 с,https://nambafood.kg/dish_image/44556.png
Шакарап,"250 г. Помидоры, лук, специи.",Салаты,150 с,https://nambafood.kg/dish_image/135438.png
Спаржа,250 г. Жаренная спаржа с мясом в соевом соусе со специями.,Салаты,320 с,https://nambafood.kg/dish_image/135422.png
Салат ролл «Лас Вегас»,"250 г. Наивкуснейшие роллы из копченой курицы, яичных блинов в сочетании листьев салата, айсберга с добавлением черри и кунжутных семечек.",Салаты,350 с,https://nambafood.kg/dish_image/135508.png
Теплый салат из телятины,"300 г. Сочное мясо телятины со свежими листьями рукколы, чеснока, бастурмы с добавлением лука шалот, болгарского перца и помидора черри.",Салаты,370 с,https://nambafood.kg/dish_image/136798.png
Холодный салат из курицы,"250 г. Куриное филе, помидоры, перец, зелень, заправляется маслом.",Салаты,300 с,https://nambafood.kg/dish_image/97662.png
Оливье с семгой,"250 г. Семга, огурцы маринованные, картофель, икра, майонез.",Салаты,290 с,https://nambafood.kg/dish_image/84365.png
Салат «Азия»,"250 г. Нежный язык говядины, помидоры, огурцы, специи.",Салаты,380 с,https://nambafood.kg/dish_image/135367.png
Чапче,"300 г. Теплый салат из говядины, фунчозы с древесными грибами.",Салаты,300 с,https://nambafood.kg/dish_image/135436.png
Закуска из брокколи и цветной капусты,"250 г. Брокколи, цветная капуста заправленные пикантным соусом.",Холодные закуски,300 с,https://nambafood.kg/dish_image/136789.png
