Наименование,Описание,Категория,Цена,Фото
Мясная тарелка,"240 г. Казы, говяжий язык, шпигованная говядина.",Закуски,650 с,https://nambafood.kg/dish_image/90173.png
Селедочка с картошечкой,"250 г. Сельдь, картофель, лук.",Закуски,350 с,https://nambafood.kg/dish_image/90177.png
Домашние соленья,"450 г. Маринованые грибы, помидоры чери, корнишоны, маринованая капуста.",Закуски,550 с,https://nambafood.kg/dish_image/90175.png
Рулеты из баклажанов,"250 г. Баклажаны, помидоры, зелень, майонез.",Закуски,320 с,https://nambafood.kg/dish_image/90336.png
Баклажаны по-восточному,"Баклажаны, помидоры, чеснок, укроп, кинза и специи",Закуски,320 с,https://nambafood.kg/dish_image/145611.png
Овощное ассорти,"450 г. Помидоры, огурцы, зелень, болгарский перец, брынза.",Закуски,350 с,https://nambafood.kg/dish_image/90174.png
Холодец,400 г,Закуски,350 с,https://nambafood.kg/dish_image/145612.png
Перец фаршированный,"200 г. Острый перец, начиненный говядиной и обжаренный в яичном кляре",Закуски,330 с,https://nambafood.kg/dish_image/90243.png
Французский салат,"300 г. Капуста, морковь, свекла, картофель пай, говядина, майонез.",Салаты,310 с,https://nambafood.kg/dish_image/104400.png
Восточный салат,"250 г. Огурцы, помидоры, говядина, яичные блины, зеленый горошек, соевый соус, салатное масло.",Салаты,310 с,https://nambafood.kg/dish_image/90163.png
Винегрет,"250 г. Квашеная капуста, зеленый горошек, свекла, картофель, маринованные огурцы, салатное масло, укроп.",Салаты,210 с,https://nambafood.kg/dish_image/90168.png
Салат «Лейла»,"220 г. Говядина, огурцы, помидоры, морковь, болгарский перец, салатное масло, соевый соус.",Салаты,310 с,https://nambafood.kg/dish_image/90162.png
Лаззат,"200 г. Яичные блины, говядина, майонез.",Салаты,300 с,https://nambafood.kg/dish_image/90164.png
Ачичук,"230 г. Огурцы, помидоры, болгарский перец, укроп.",Салаты,200 с,https://nambafood.kg/dish_image/90161.png
Гурман,"250 г. Огурцы, помидоры, сыр, салатные листья, салатное масло, язык",Салаты,310 с,https://nambafood.kg/dish_image/90167.png
Колхозный салат,"260 г. Огурцы, помидоры, болгарский перец, лук, кукуруза, масло или майонез на выбор.",Салаты,200 с,https://nambafood.kg/dish_image/90153.png
Шакарап,"200 г. Помидоры, лук репчатый.",Салаты,180 с,https://nambafood.kg/dish_image/90160.png
Салат «Шпинат»,"200 г. Шпинат, говядина, лук, помидоры, болгарский перец, салатное масло, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/90171.png
Салат «Орзу»,"240 г. Морковь, огурцы, помидоры, салатное масло, лук.",Салаты,190 с,https://nambafood.kg/dish_image/90166.png
Греческий салат,"300 г. Огурцы, помидоры, салатные листья, маслины, фетакса, оливковое масло",Салаты,325 с,https://nambafood.kg/dish_image/90152.png
Капустный салат,"200 г. Капуста, огурцы, масло или майонез на выбор.",Салаты,190 с,https://nambafood.kg/dish_image/90151.png
Сельдь под шубой,"250 г. Картофель, морковь, сельдь, свекла, яйцо, майонез",Салаты,270 с,https://nambafood.kg/dish_image/90148.png
Салат «Гнездо»,"280 г. Огурцы, говядина копченная, яйцо, картофель пай, майонез.",Салаты,310 с,https://nambafood.kg/dish_image/90154.png
Королевский салат,"200 г. Свекла, грецкий орех, салатное масло или майонез на выбор.",Салаты,190 с,https://nambafood.kg/dish_image/90150.png
Нежный салат,"250 г. Крабовые палочки, рис, яйцо, огурцы, майонез, кукуруза, зеленый лук.",Салаты,300 с,https://nambafood.kg/dish_image/104157.png
Салат «Падишах»,"250 г. Баклажаны, морковь, болгарский перец, лук, помидоры, салатное масло, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/90156.png
Салат «Джуджа»,"250 г. Огурцы, помидоры, куриная грудка, сухарики, оливковое масло, салатные листья.",Салаты,290 с,https://nambafood.kg/dish_image/90165.png
Оливье с курицей,"230 г. Картофель, морковь, куриная грудка, маринованные огурцы, зеленый горошек, яйцо, майонез.",Салаты,230 с,https://nambafood.kg/dish_image/90149.png
Цезарь с  курицей,"270 г. Пекинская капуста, салатные листья, куриная грудка, пармезан, соус Цезарь, помидоры черри.",Салаты,400 с,https://nambafood.kg/dish_image/90169.png
Требуха жареная,"250 г. Требуха, морковь, лук, болгарский перец, салатное масло.",Салаты,300 с,https://nambafood.kg/dish_image/90246.png
Мясо хе,"250 г. Говядина, морковь, болгарский перец, лук, салатное масло, соевый соус.",Салаты,350 с,https://nambafood.kg/dish_image/90244.png
Санта Мария,"270 г. Маринованные огурцы, куриный рулет, сыр, яйцо, грибы, майонез.",Салаты,300 с,https://nambafood.kg/dish_image/90155.png
Требуха хе,"250 г. Требуха, морковь, лук, болгарский перец, салатное масло, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/90247.png
