Наименование,Описание,Категория,Цена,Фото
Хан бургер,600 г,Фастфуд,350 с,https://nambafood.kg/dish_image/111347.png
неШаурма - баранина,450 г,Фастфуд,350 с,https://nambafood.kg/dish_image/111342.png
неШаурма - люля кебаб,350 г,Фастфуд,300 с,https://nambafood.kg/dish_image/111343.png
Пицца - маргарита,40 см,Фастфуд,400 с,https://nambafood.kg/dish_image/111341.png
Пицца - пепперони,40 см,Фастфуд,450 с,https://nambafood.kg/dish_image/111339.png
Рулетики из кабачков,"200 г. Кабачок, болгарский перец, помидор, огурец, чесночный соус.",Закуски,250 с,https://nambafood.kg/dish_image/98939.png
Рулетики из баклажан,200 г,Закуски,300 с,https://nambafood.kg/dish_image/138279.png
Ассорти по-кавказски,"350 г. Помидоры, огурец, редис, брынза, сыр адыгейский, перец болгарский, лаваш зелень",Закуски,300 с,https://nambafood.kg/dish_image/98955.png
Цезарь с курицей,"200 г. Курица, айсберг, лист салата, крутоны, помидор, пармезан, соус.",Салаты,300 с,https://nambafood.kg/dish_image/98958.png
Цезарь с креветками,"200 г. Креветки, айсберг, лист салата, крутоны, помидор, пармезан, соус.",Салаты,350 с,https://nambafood.kg/dish_image/98928.png
Греческий салат,250 г. Классический салат из свежих овощей с маслинами и сыром фетакса,Салаты,250 с,https://nambafood.kg/dish_image/98913.png
Стейк-салат,"250 г. Бон филе, помидор, огурец, лист салата, шпинат, чеснок",Салаты,350 с,https://nambafood.kg/dish_image/98943.png
Восточный салат,"300 г. Говяжий язык, помидор, огурец, морковь, перец полугорький, лук, кинза, чеснок устричный и соевый соус",Салаты,250 с,https://nambafood.kg/dish_image/98915.png
Английский салат,"250 г. Говядина, брокколи, омлет, опята маринованные, соевый соус, майонез.",Салаты,300 с,https://nambafood.kg/dish_image/111337.png
Салат с куриной грудкой и яйцом пашот,"250 г. Куриная грудка, яйцо, руккола, пармезан, ресика, черри, медово-горчичная заправка.",Салаты,350 с,https://nambafood.kg/dish_image/98949.png
Салат из хрустящих баклажан,"300 г. Баклажан, болгарский перец, чеснок, кинза, соус терияки",Салаты,350 с,https://nambafood.kg/dish_image/98926.png
Свежий салат,"200 г. Помидор, огурец, лук.",Салаты,150 с,https://nambafood.kg/dish_image/91803.png
Шакарап,200 г,Салаты,130 с,https://nambafood.kg/dish_image/91804.png
Салат с креветками и рукколой,"200 г. Креветки, чеснок, укроп, фетакса, руккола.",Салаты,400 с,https://nambafood.kg/dish_image/98946.png
Теплый салат с форелью,"400 г. Форель, капуста, морковь, перец болгарский, баклажан, кабачок, лук, соус терияки.",Салаты,370 с,https://nambafood.kg/dish_image/91805.png
Мужской каприз,"200 г. Яичные блины, язык отварной, укроп, чеснок, майонез.",Салаты,300 с,https://nambafood.kg/dish_image/98914.png
Острый салат по-тайски,"300 г. Говядина, огурец, черри, перец полугорький, соевый соус, кинза, листья салата, китайский уксус, масло кунжут, чеснок.",Салаты,390 с,https://nambafood.kg/dish_image/111336.png
Гнездо кукушки,200 г,Салаты,250 с,https://nambafood.kg/dish_image/138280.png
Салат из рукколы и свеклы,"Руккола, свекла, козий сыр, кедровые орешки, соус «авторский»‎‎",Салаты,450 с,https://nambafood.kg/dish_image/138283.png
Фунчеза с мясом,"Фунчеза, мясо гов., перец п/г, морковь, помидор, чеснок, чинсай, кит.уксус, соевый соус.",Салаты,250 с,https://nambafood.kg/dish_image/138281.png
Оливье,"300 г. Мясо говяжье, картофель, морковь, соль, огурцы, зеленый горошек, яйцо, майонез.",Салаты,260 с,https://nambafood.kg/dish_image/138282.png
