Наименование,Описание,Категория,Цена,Фото
Салат свежий,"Помидоры, огурцы, листа салата, красный лук, заправляются соусом «Дрессинг».",Салаты,210 с,https://nambafood.kg/dish_image/61626.png
Витаминка,"Капуста белокочанная, морковь, свекла, яблоки, сахар, черный перец оливковое масло, лимонный сок, семечки, долька лимона.",Салаты,210 с,https://nambafood.kg/dish_image/118795.png
Салат с киноа,"Киноа, микс салата, помидоры черри, красный лук, сыр фетаки, оливковое масло, чеснок, кедровые орехи, соус (мед, горчица, лимонный сок).",Салаты,300 с,https://nambafood.kg/dish_image/140528.png
Греческий салат,"Огурцы, помидоры, болгарский перец, красный лук, листья салата, оливки, сыр фета, семечки, заправляются «Дрессингом».",Салаты,340 с,https://nambafood.kg/dish_image/61583.png
Салат с семгой,"Микс из зелени, семга обжаренная на гриле, апельсиновые дольки, оливковое масло, бальзамический сироп, черри.",Салаты,550 с,https://nambafood.kg/dish_image/140529.png
Свекольный салат,"Вареная свекла, кедровые орехи, сыр фетакса, руккола, шпинат, заправка «дрессинг».",Салаты,350 с,https://nambafood.kg/dish_image/140530.png
Цезарь с курицей,"Куриная грудка, помидоры черри, листья салата, айсберг, приправленные сухарики под соусом «Цезарь», сыр пармезан.",Салаты,420 с,https://nambafood.kg/dish_image/118798.png
Цезарь с креветками,"Жареные тигровые креветки, помидоры черри, листья салата, айсберг, приправленные сухарики под соусом «Цезарь», сыр пармезан.",Салаты,520 с,https://nambafood.kg/dish_image/118799.png
Теплый салат с телятиной,"Слайсы телятины, микс из зелени, баклажан, луковые кольца, помидоры черри, имбирный соус, заправка «Дрессинг», кунжут.",Салаты,520 с,https://nambafood.kg/dish_image/61242.png
Хумус,,Салаты,340 с,https://nambafood.kg/dish_image/118801.png
Салат «Капрезе»,"помидоры. моцарелла, соус «песто», бальзамический уксус, оливковое масло",Салаты,360 с,https://nambafood.kg/dish_image/131259.png
Салат с нутом,"помидоры, огурцы, лук, лист салата, палочки из нута, айран, чеснок",Салаты,340 с,https://nambafood.kg/dish_image/131287.png
Бублик  с сыром,"Сливочный сыр, сулугуни, лист айсберга, помидор, огурец.",Бублики,240 с,https://nambafood.kg/dish_image/118809.png
Бублик с тунцом,"Сливочный сыр, лист айсберга, помидор, тунец консервированный.",Бублики,280 с,https://nambafood.kg/dish_image/118810.png
Бублик с форелью,,Бублики,250 с,https://nambafood.kg/dish_image/118811.png
Бублик с семгой,"Сливочный сыр, листья айсберга, малосольная семга с луком и помидорами.",Бублики,350 с,https://nambafood.kg/dish_image/118812.png
