Наименование,Описание,Категория,Цена,Фото
Комбо № 1,"Пицца Купидон 37 см., Ролл Филадельфия, Картофель фри, Кока кола 1 л.",Комбо,729 с,https://nambafood.kg/dish_image/111068.png
Комбо № 2,"Пицца Купидон 37 см., Куриные крылышки, Картофель Айдахо, Кока кола 1 л.",Комбо,699 с,https://nambafood.kg/dish_image/111069.png
Комбо № 3,"Пицца Купидон 37 см., Куриные наггетсы, Картофель фри, Кока кола 1 л.",Комбо,619 с,https://nambafood.kg/dish_image/111070.png
Салат «Греческий»,"250 г. Листья салата, огурцы, помидоры, лук, лимон, маслины, сыр фетакса, орегано.",Салаты,255 с,https://nambafood.kg/dish_image/61119.png
Салат «Красный бархат»,"250 г. Говядина, картофель пай, морковь, свекла, чеснок, орехи, майонез, лук зеленый.",Салаты,275 с,https://nambafood.kg/dish_image/61125.png
Салат «Огурцы с мясом»,"250 г. Говядина, огурцы, болгарский перец, соевый и чесночный соус.",Салаты,290 с,https://nambafood.kg/dish_image/61133.png
Салат «Талисман»,"300 г. Брокколи, цветная капуста, черри, семга, шпинат, лимон, оливковое масло.",Салаты,320 с,https://nambafood.kg/dish_image/116600.png
Острый салат с говяжьим языком,250 г. Отварной говяжий язык заправленный соевым и чесночным соусом.,Салаты,300 с,https://nambafood.kg/dish_image/116601.png
Цезарь с курицей,"250 г. Куриное филе, листья салата, айсберг, крутоны, сыр пармезан, соус цезарь.",Салаты,310 с,https://nambafood.kg/dish_image/61153.png
Гасконский салат,"250 г. Куриный копчёный окорочок, сыр голландский, огурцы, яйцо, майонез.",Салаты,280 с,https://nambafood.kg/dish_image/134058.png
Мужской каприз,"Огурцы свежие, огурцы соленые, помидоры, язык говяжий, майонез, сыр голландский, яйцо",Салаты,285 с,https://nambafood.kg/dish_image/134035.png
Салат весна,"Огурцы, помидоры, укроп, зеленый лук",Салаты,255 с,https://nambafood.kg/dish_image/134050.png
Салат «Обжорка»,"250 г. Помидоры, баклажаны, чеснок, укроп, майонез.",Салаты,250 с,https://nambafood.kg/dish_image/71700.png
Свежий салат,"250 г. Помидоры, огурцы, перец болгарский, лук, масло.",Салаты,180 с,https://nambafood.kg/dish_image/61143.png
Салат с черносливом,250 г.,Салаты,285 с,https://nambafood.kg/dish_image/109835.png
Салат со свеклой и моцареллой,250 г,Салаты,250 с,https://nambafood.kg/dish_image/71699.png
Сузма,"150 г. Сузма, огурцы, зелень.",Салаты,100 с,https://nambafood.kg/dish_image/61145.png
Оливье классический,"200 г. Отварной картофель, морковь, яйцо, соленые огурчики, зеленый горошек, заправляется майонезом.",Салаты,185 с,https://nambafood.kg/dish_image/116604.png
Оливье с семгой,"200 г. Отварной картофель, морковь, яйцо, соленые огурчики, зеленый горошек, заправляется майонезом.",Салаты,220 с,https://nambafood.kg/dish_image/61136.png
Оливье с языком,"200 г. Картофель, морковь, яйцо, соленые огурцы, говядина, зеленый горошек, майонез.",Салаты,195 с,https://nambafood.kg/dish_image/61135.png
Салат со стручковой фасолью,"Брокколи, говядина, стручковая фасоль, помидоры, болгарский перец, зелень",Салаты Китайской кухни,295 с,https://nambafood.kg/dish_image/134039.png
Баклажан-фри,"Баклажаны, помидоры, зелень, соус кисло-сладкий чили",Салаты Китайской кухни,275 с,https://nambafood.kg/dish_image/134040.png
Салат из корнишон с сыром,"Корнишоны, лист салата, говядина, помидоры, лук, соевый соус, болгарский перец",Салаты Китайской кухни,265 с,https://nambafood.kg/dish_image/134037.png
Огурцы в чесночном соусе,"Огурцы, чеснок",Салаты Китайской кухни,250 с,https://nambafood.kg/dish_image/134038.png
Ассорти национальное,"350 г. Чучук, казы-карта, май чучук.",Холодные закуски,685 с,https://nambafood.kg/dish_image/61164.png
Ассорти мясное,"350 г. Говядина шпигованная, копченая утиная грудка, говяжий язык, куриный рулет.",Холодные закуски,600 с,https://nambafood.kg/dish_image/61169.png
Рыбное ассорти,"350 г. Семга, эсколар, скумбрия.",Холодные закуски,750 с,https://nambafood.kg/dish_image/53835.png
Рулетики из баклажан,250 г,Холодные закуски,265 с,https://nambafood.kg/dish_image/109836.png
