Наименование,Описание,Категория,Цена,Фото
Рыбное ассорти,"320 г. Семга, эсколар, скумбрия копченая, икра красная.",Закуски,770 с,https://nambafood.kg/dish_image/88173.png
Мясное  ассорти,"550 г. Бастурма, куриный рулет, чучук, ребра, колбаски.",Закуски,755 с,https://nambafood.kg/dish_image/89463.png
Сырное ассорти,"400 г. Сыр моцарелла, камамбер, бри, фетакса с плесенью, мед, виноград.",Закуски,595 с,https://nambafood.kg/dish_image/89429.png
Норвежская селдь с картофелем кантри,"Норвежска селдь с картофелем кантри, корнишоны.",Закуски,450 с,https://nambafood.kg/dish_image/89390.png
Банкетный люля кебаб на шпажках 10 шт,,Закуски,795 с,https://nambafood.kg/dish_image/89399.png
Букет из свежих овощей,"500 г. Помидоры, огурцы, сыр моцарелла, зелень.",Закуски,397 с,https://nambafood.kg/dish_image/89391.png
Запеченная форель целиком,"Форель, лимон, икра красная.",Закуски,990 с,https://nambafood.kg/dish_image/88186.png
Курица запеченная,"Курица, помидоры, картофель кантри.",Закуски,745 с,https://nambafood.kg/dish_image/89411.png
Салат свежий,"250 г. Помидоры, огурцы, оливковое масло, укроп.",Салаты,200 с,https://nambafood.kg/dish_image/89416.png
Греческий салат,"280 г. Классический салат из свежих огурцов и томатов, сладкого болгарского перца, нежнейшего сыра Фетакса, красного лука и маслины с фирменный соусом.",Салаты,255 с,https://nambafood.kg/dish_image/89392.png
Баклажаны фри,280 г. Хрустящие баклажаны с пикантным соусом.,Салаты,325 с,https://nambafood.kg/dish_image/88160.png
Острый салат по-тайски,280 г. Острый пикантный салат на основе овощей говядины и соевого соуса.,Салаты,295 с,https://nambafood.kg/dish_image/88182.png
Фирменный салат «Бай-Казан»,"280 г. Ветчина, говядина, шампиньоны, куриное филе, огурцы, майонез.",Салаты,305 с,https://nambafood.kg/dish_image/89689.png
Язык с грибами,"300 г. Язык, помидор, соленые огурцы, майонез, шампиньоны.",Салаты,305 с,https://nambafood.kg/dish_image/88161.png
Рулетики из баклажанов,"280 г. Куриное филе, помидоры черри, сыр пармезан, шпинат, кедровые орехи.",Салаты,325 с,https://nambafood.kg/dish_image/88181.png
