Наименование,Описание,Категория,Цена,Фото
Крылышки на всех,"950 г. Крылышки BBQ, крылышки баффало, панированные хрустящие крылышки, жареные крылья, соус Ранч и стебель сельдерея.",Закуски,949 с,https://nambafood.kg/dish_image/127335.png
Сырные палочки,"200 г. Приготовлены из отборных видов сыра, подаются с соусом Ранч.",Закуски,389 с,https://nambafood.kg/dish_image/127343.png
Острые креветки на шпажках,350 г. Жареные тигровые креветки с соусом чили.,Закуски,829 с,https://nambafood.kg/dish_image/127338.png
Креветки на всех,350 г. Креветки в панировке.,Закуски,789 с,https://nambafood.kg/dish_image/127341.png
Кольца кальмаров,150 г,Закуски,429 с,https://nambafood.kg/dish_image/127344.png
Бастурма,100 г. Сырокопченая говядина.,Закуски,369 с,https://nambafood.kg/dish_image/127339.png
Куриные нагетсы,350 г. Хрустящие куриные наггетсы с чесночным пармезаном и фри.,Закуски,399 с,https://nambafood.kg/dish_image/127336.png
Куриные лепешки с соусом BBQ,"350 г. Куриное филе, болгарский перец, лук репчатый, сыр твердый, подается с соусом сальса.",Закуски,469 с,https://nambafood.kg/dish_image/127340.png
Фри с чеддером и с перчиком халапенью,"300 г. Хрустящий картофель фри, плавленный сыр чеддер и острые перчики халапенью.",Закуски,429 с,https://nambafood.kg/dish_image/127345.png
Цезарь с курицей,"350 г. Курица гриль, крутоны, черри, микс салат и фирменный соус цезарь.",Салаты,439 с,https://nambafood.kg/dish_image/127347.png
Цезарь с креветками,"300 г. Креветки, крутоны, томаты черри, микс салатов и фирменный соус цезарь.",Салаты,529 с,https://nambafood.kg/dish_image/127386.png
Греческий салат,"350 г. Листья салата, огурцы, помидоры, болгарский перец, маслины, сыр Фетакса.",Салаты,399 с,https://nambafood.kg/dish_image/127349.png
Жареный салат с пряностями,"250 г. Говяжий язык, свежие кабачки, болгарский перец, помидоры, шампиньоны и чили.",Салаты,399 с,https://nambafood.kg/dish_image/127351.png
Салат немецкий с колбасками,"250 г. Копченые охотничьи колбаски, картофель отварной, соленные огурцы, помидоры, красная фасоль, зелень.",Салаты,399 с,https://nambafood.kg/dish_image/127350.png
Свежий салат с красным луком,"300 г. Помидоры, огурцы, красный лук, орегано, черри, болгарский перец,листья салата, лимон.",Салаты,389 с,https://nambafood.kg/dish_image/127348.png
Мясное ассорти,"300 г. Куриная грудка, отварной говяжий язык, жаренная говядина, копченное утиное филе.",Ассорти,739 с,https://nambafood.kg/dish_image/127353.png
Ассорти солений,"400 г. Соленные огурчики, маринованные томаты черри, маринованные патиссоны, маринованные вешенки, квашенная капуста, соленная сельд, картофель отварной.",Ассорти,449 с,https://nambafood.kg/dish_image/127355.png
Сырное изобилие,"Пармезан, сулугуни, чечел, чеддер, фетакса.",Ассорти,689 с,https://nambafood.kg/dish_image/127356.png
Овощное ассорти,"450 г. Перец калифорния, свежие огурцы, свежие помидоры, лук и зелень.",Ассорти,559 с,https://nambafood.kg/dish_image/127354.png
Фруктовое ассорти,"600 г. Апельсин, киви, виноград, банан, яблоко.",Ассорти,689 с,https://nambafood.kg/dish_image/127352.png
Баварское ассорти,"1.2 кг. Шашлык говядина, шашлык баранина, люля кебаб, сосиски говядина, квашенная капуста, овощи гриль, соуса сальса и горчичный.",Блюда для друзей,1999 с,https://nambafood.kg/dish_image/127398.png
Ассорти стейков «Премиум»,"2.5 кг. Сочный рибай стейк, тибон стейк, нежные медальоны из телятины, бараньи ребрышки, куринное филе гриль, овощи гриль, квашенная капуста, соленные огурцы, соус барбекю, соус ранч, соус сальса.",Блюда для друзей,2999 с,https://nambafood.kg/dish_image/127397.png
