Наименование,Описание,Категория,Цена,Фото
Куринные наггетсы с хрустящим фри,,Детское меню,230 с,https://nambafood.kg/dish_image/144407.png
Сливочный суп с воздушными фрикадельками,,Детское меню,190 с,https://nambafood.kg/dish_image/144408.png
Картофельное пюре с сосиской и глазуньей,,Детское меню,180 с,https://nambafood.kg/dish_image/144409.png
Сливочный фарфалле с молочной сосиской,,Детское меню,210 с,https://nambafood.kg/dish_image/144410.png
Мини-котлетки с хрустящим фри,,Детское меню,240 с,https://nambafood.kg/dish_image/144411.png
Круассан классический,,Выпечка,160 с,https://nambafood.kg/dish_image/134578.png
Круассан шоколадный,,Выпечка,170 с,https://nambafood.kg/dish_image/134576.png
Буда Боул с лососем,,Полезное питание,470 с,https://nambafood.kg/dish_image/139786.png
Будда боул с курицей,,Полезное питание,420 с,https://nambafood.kg/dish_image/139787.png
Гриль Боул,,Полезное питание,420 с,https://nambafood.kg/dish_image/139801.png
Фруктовый салат,,Салаты,230 с,https://nambafood.kg/dish_image/144417.png
Тайский салат,,Салаты,370 с,https://nambafood.kg/dish_image/144419.png
Салат с сыром страчателла,,Салаты,480 с,https://nambafood.kg/dish_image/144421.png
Овощи с греческим сыром,"Перец запеченный, помидоры конкассе, каперсы, оливки, огурцы свежие, винегрет из трав, сыр турецкий фета, лук маринованный, масло зеленое, кинза, петрушка, орегано.",Салаты,490 с,https://nambafood.kg/dish_image/134516.png
Салат с креветками и авокадо,"Авокадо, вяленые черри, красный лук, креветки, винегрет бальзамик, микс салат, грецкий орех.",Салаты,570 с,https://nambafood.kg/dish_image/134523.png
Цезарь с яйцом пашот,"Листья салата, айсберг, соус цезарь, яйцо пашот, картофель пай, вяленые черри, куриные бедра, сухари, сыр пармезан, желток вяленый.",Салаты,540 с,https://nambafood.kg/dish_image/134518.png
Салат с лососем и соусом Айоли,"Картофель молодой, огурцы маринованные, шпинат, латук, соус Айоли, лосось м/с, соус чимичури, соль, перец черный, лук маринованный, цветная капуста маринованная, масло зеленое, масло красное",Салаты,580 с,https://nambafood.kg/dish_image/134521.png
Салат с тунцом и соусом «Вителло тонатто»,"Микс салат, черри свежие, яйцо пашот, цветная капуста маринованная, лук маринованный, тунец консерва, соус «Вителло тонатто», винегрет из трав, картофель пай.",Салаты,560 с,https://nambafood.kg/dish_image/134520.png
Летний салат с сырными шариками,,Салаты,590 с,https://nambafood.kg/dish_image/144423.png
Салат с ростбифом,"Говядина (ростбиф),  цветная капуста, руккола, масло ароматное",Салаты,540 с,https://nambafood.kg/dish_image/144451.png
Жареный тофу,,Закуски,580 с,https://nambafood.kg/dish_image/144413.png
Запеченный камамбер,,Закуски,720 с,https://nambafood.kg/dish_image/144415.png
Крокеты из куриного бедра с гуакамоле,"Куриные бедра, сосус гуакамоле, масло ароматное",Закуски,470 с,https://nambafood.kg/dish_image/134531.png
Фокачча с ассорти мезе,"Пшеничная лепешка, оливковое масло, разновидность мезе",Закуски,470 с,https://nambafood.kg/dish_image/134532.png
Обугленный баклажан с салатом из томатов и йогуртом,"Баклажан, запеченный помидор, запеченный перец, гранат, соус чимичури, йогурт тахини, масло красное",Закуски,450 с,https://nambafood.kg/dish_image/134530.png
Вителло тонатто,,Закуски,540 с,https://nambafood.kg/dish_image/139788.png
Сырная доска,,Закуски,750 с,https://nambafood.kg/dish_image/134533.png
Куринный суп с пастой орзо и песто,"Суп бульон, соус песто, паста орзо п/ф, лук, морковь, курица, соль, перец черный, масло растительное",Супы,390 с,https://nambafood.kg/dish_image/134526.png
Том-ям с креветками,"Куриный бульон, мидии, креветки, паста том ям, лемонграсс, имбирь, сливки кокосовые, рыбный соус, тахини соус со сливками, кинза, масло красное, лайм, рис п/ф, листья лайма, масло растительное",Супы,580 с,https://nambafood.kg/dish_image/134528.png
Крем суп из брокколи с лососем,,Супы,490 с,https://nambafood.kg/dish_image/144394.png
Фирменная окрошка,,Супы,350 с,https://nambafood.kg/dish_image/144425.png
Гаспачо,,Супы,360 с,https://nambafood.kg/dish_image/144427.png
Сливочный суп с лососем и брокколи,,Супы,490 с,https://nambafood.kg/dish_image/144395.png
Крем-суп из цветной капусты,,Супы,390 с,https://nambafood.kg/dish_image/144429.png
Чечевичный суп,,Супы,280 с,https://nambafood.kg/dish_image/144431.png
Каре ягненка,,Основные блюда,740 с,https://nambafood.kg/dish_image/144399.png
Томленные говяжьи ребра,,Основные блюда,520 с,https://nambafood.kg/dish_image/144401.png
Рибай с картофельным гратеном и пармезаном,"Говядина, сыр пармезан, картофель",Основные блюда,940 с,https://nambafood.kg/dish_image/134551.png
Т-Воnе с овощами гриль,,Основные блюда,960 с,https://nambafood.kg/dish_image/139803.png
Пеппер Бон филе с воздушным пюре,"Телятина, шпинат, сливочный соус, масло ароматное",Основные блюда,780 с,https://nambafood.kg/dish_image/134555.png
Грудка цыпленка с хумусом и печенным перцем,"Куриная грудка, хумус, перец запеченный, помидоры конкассе, соус чимичури, масло зеленое, кинза, петрушка, масло красное, мангольд, масло топленное",Основные блюда,620 с,https://nambafood.kg/dish_image/134552.png
Стейк из лосося,,Основные блюда,920 с,https://nambafood.kg/dish_image/144452.png
Запеченный Сибас на подушке из шпината с апельсиновым муссом,"Рыба сибас, вяленные томаты, шпинат, руккола, апельсин, масло ароматное",Основные блюда,920 с,https://nambafood.kg/dish_image/140082.png
Судак с киноа с соусом рататуй,,Основные блюда,650 с,https://nambafood.kg/dish_image/144396.png
Куриное бедро с цветной капустой,,Основные блюда,450 с,https://nambafood.kg/dish_image/144403.png
Медальоны из говядины,,Основные блюда,780 с,https://nambafood.kg/dish_image/144397.png
Паста с морепродуктами,,Паста,490 с,https://nambafood.kg/dish_image/144404.png
Альфредо с курицей,,Паста,460 с,https://nambafood.kg/dish_image/144405.png
Паста с цукини и креветками,,Паста,450 с,https://nambafood.kg/dish_image/144406.png
Пенне Арабиата с пикантным соусом и каперсами,"Паста пенне, соус томатный база, чили, чеснок, перец, масло растительное, соус чимичури, сыр турецкий фета, оливки, каперсы, мангольд, масло зеленое, соль, перец черный",Паста,420 с,https://nambafood.kg/dish_image/134536.png
Паста Болоньезе,"Паста букаттиони, болоньезе, соус томатный база, масло сливочное, сыр пармезан, масло зеленое, крошки сухари, соль",Паста,450 с,https://nambafood.kg/dish_image/134534.png
Паста с лососем и брокколи в сливочном соусе,"Фетучини, семга, биск, сливки, брокколи, масло растительное, укроп, масло зеленое",Паста,570 с,https://nambafood.kg/dish_image/134540.png
Паста с креветками в сливочном соусе,,Паста,540 с,https://nambafood.kg/dish_image/139782.png
Лазанья на томатной подложке,"Соус болоньезе, соус бешамель, сыр моцарелла, сыр пармезан, лазанья, соус сливочный, соус томатный база",Паста,490 с,https://nambafood.kg/dish_image/134535.png
Пицца Маргарита,"Тесто, соус томатный база, сыр моцарелла в рассоле, помидоры, масло ароматное, орегано, сушеный базилик, соус айоли",Пицца,520 с,https://nambafood.kg/dish_image/134542.png
Пицца с грибами и батаргой из курицы,"Тесто, шампиньоны, вешенки, соус сливочный, сыр моцарелла, вяленая грудка,  масло ароматное, укроп, петрушка, соус Айоли",Пицца,590 с,https://nambafood.kg/dish_image/134546.png
Пицца 4 сыра,"Тесто, соус сливочный, сыр чеддер, сыр дор блю, сыр моцарелла, вяленая масло ароматное, семечки подсолнуха, фисташки, соус Айоли",Пицца,680 с,https://nambafood.kg/dish_image/134547.png
Пицца Болоньезе,"Тесто, болоньезе, сыр моцарелла, соус томатный база, шампиньоны п/ф, сыр пармезан, соус Айоли, масло ароматное",Пицца,620 с,https://nambafood.kg/dish_image/134548.png
