Наименование,Описание,Категория,Цена,Фото
"Хашбраун со слабосоленым лососем, авокадо и яйцом пашот",3 шт.,Завтраки,470 с,https://nambafood.kg/dish_image/97082.png
Картофельные драники со слабосоленsv лососем,3 шт.,Завтраки,450 с,https://nambafood.kg/dish_image/97371.png
Картофельные драники с ветчиной и голландским соусом,3 шт.,Завтраки,300 с,https://nambafood.kg/dish_image/97372.png
Яйцо рояль с лососем шпинатом и голландским соусом,,Завтраки,420 с,https://nambafood.kg/dish_image/97087.png
Английский завтрак,,Завтраки,300 с,https://nambafood.kg/dish_image/97036.png
Шакшука,,Завтраки,300 с,https://nambafood.kg/dish_image/105260.png
Скрембл с микс салатом и сыром,,Завтраки,250 с,https://nambafood.kg/dish_image/140052.png
Скрембл с микс салатом и слабосоленым лососем,,Завтраки,350 с,https://nambafood.kg/dish_image/140053.png
Омлет из трех яиц с микс салатом и сыром,,Завтраки,280 с,https://nambafood.kg/dish_image/140054.png
Сырники со сметаной,,Завтраки,220 с,https://nambafood.kg/dish_image/97071.png
Сырники с джемом и ягодами,,Завтраки,280 с,https://nambafood.kg/dish_image/97072.png
Блинчики с мясом,,Завтраки,260 с,https://nambafood.kg/dish_image/97025.png
Блинчики с творогом,3 шт.,Завтраки,200 с,https://nambafood.kg/dish_image/97031.png
Блинчики со сметаной,3 шт.,Завтраки,160 с,https://nambafood.kg/dish_image/97034.png
Каша овсяная с бананом,,Завтраки,200 с,https://nambafood.kg/dish_image/97337.png
Каша гречневая с бананом,,Завтраки,200 с,https://nambafood.kg/dish_image/97048.png
Каша рисовая с бананом,,Завтраки,200 с,https://nambafood.kg/dish_image/97338.png
Каша из пяти злаков с бананом,,Завтраки,200 с,https://nambafood.kg/dish_image/97050.png
Круассан с лососем,,Завтраки,360 с,https://nambafood.kg/dish_image/97054.png
Круассан «Томато моцарелла»,,Завтраки,280 с,https://nambafood.kg/dish_image/97024.png
Круассан с ветчиной и сыром,,Завтраки,280 с,https://nambafood.kg/dish_image/97026.png
Овощи на гриле,,Гарниры,250 с,https://nambafood.kg/dish_image/97343.png
Отварное брокколи,,Гарниры,200 с,https://nambafood.kg/dish_image/97344.png
Картофель по-деревенски,,Гарниры,150 с,https://nambafood.kg/dish_image/141080.png
Картофель фри,,Гарниры,150 с,https://nambafood.kg/dish_image/97230.png
Картофельное пюре,,Гарниры,150 с,https://nambafood.kg/dish_image/97342.png
Рис,,Гарниры,150 с,https://nambafood.kg/dish_image/97231.png
Хлебная корзина,,Гарниры,100 с,https://nambafood.kg/dish_image/97345.png
Хлеб,Белый/черный,Гарниры,30 с,https://nambafood.kg/dish_image/97346.png
Салат из слабосоленого лосося и сырными шариками креметто,,Салаты,480 с,https://nambafood.kg/dish_image/97356.png
Цезарь с креветками,,Салаты,450 с,https://nambafood.kg/dish_image/97358.png
Цезарь с курицей,,Салаты,420 с,https://nambafood.kg/dish_image/97359.png
Острый салат с хрустящими баклажанами,,Салаты,380 с,https://nambafood.kg/dish_image/97057.png
Греческий салат,,Салаты,350 с,https://nambafood.kg/dish_image/97357.png
Салат «Томато моцарелла»,,Салаты,400 с,https://nambafood.kg/dish_image/97360.png
Салат с лососем и авокадо,,Салаты,450 с,https://nambafood.kg/dish_image/105262.png
Салат с говяжьим языком,Со свежими томатами и микс салатом,Салаты,420 с,https://nambafood.kg/dish_image/140056.png
Мясной стейк салат,,Салаты,450 с,https://nambafood.kg/dish_image/141463.png
Протеиновый салат,"С креветками, авокадо и грейпфрутами",Салаты,500 с,https://nambafood.kg/dish_image/141464.png
Том-ям,Острый суп,Супы,500 с,https://nambafood.kg/dish_image/97350.png
Куриный суп,,Супы,250 с,https://nambafood.kg/dish_image/97349.png
Грибной крем-суп,,Супы,280 с,https://nambafood.kg/dish_image/97351.png
Чечевичный суп-пюре,,Супы,250 с,https://nambafood.kg/dish_image/97083.png
Окрошка,,Супы,250 с,https://nambafood.kg/dish_image/118702.png
Кукси,,Супы,250 с,https://nambafood.kg/dish_image/118701.png
Солянка сборная,,Супы,350 с,https://nambafood.kg/dish_image/140055.png
Говяжий язык с битыми огурцами и жареным сыром,,Закуски,380 с,https://nambafood.kg/dish_image/140066.png
Наггетсы,,Закуски,260 с,https://nambafood.kg/dish_image/105281.png
Сырные палочки,,Закуски,250 с,https://nambafood.kg/dish_image/105283.png
Сырная тарелка,,Закуски,600 с,https://nambafood.kg/dish_image/105282.png
Брускетта со слабосоленым лососем,,Закуски,400 с,https://nambafood.kg/dish_image/97039.png
Жареный тофу с говядиной и овощами,,Закуски,350 с,https://nambafood.kg/dish_image/140067.png
Венский шницель из телятины «Кордон Блю»,"Из нежной телятины, с сыром моцарелла, обжаренный до золотистой корочки в сухарях, подается с лимоном.",Основные блюда,500 с,https://nambafood.kg/dish_image/98424.png
Венский шницель из куриной грудки «Кордон Блю»,"Из куриной грудинки, с сыром моцарелла, обжаренный до золотистой корочки в сухарях, подается с лимоном.",Основные блюда,380 с,https://nambafood.kg/dish_image/98423.png
Бефстроганов с пюре,,Основные блюда,440 с,https://nambafood.kg/dish_image/97367.png
Удон с говядиной,"Лапша, кабачки, телятина, болгарский перец, кунжут, лайм",Основные блюда,400 с,https://nambafood.kg/dish_image/140064.png
