Наименование,Описание,Категория,Цена,Фото
Каша овсяная,1 порция,Завтраки,120 с,https://nambafood.kg/dish_image/137618.png
Каша гречневая,1 порция,Завтраки,120 с,https://nambafood.kg/dish_image/137615.png
Каша манная,,Завтраки,120 с,https://nambafood.kg/dish_image/137617.png
Яичница глазунья,2 шт.,Завтраки,75 с,https://nambafood.kg/dish_image/137620.png
Сырники 3 шт.,,Завтраки,140 с,https://nambafood.kg/dish_image/137621.png
Блины с вареньем,3 шт.,Завтраки,100 с,https://nambafood.kg/dish_image/137623.png
Блины со сметаной,3 шт.,Завтраки,75 с,https://nambafood.kg/dish_image/137624.png
Блины с творогом,2 шт.,Завтраки,90 с,https://nambafood.kg/dish_image/137625.png
Блины с медом,2 шт.,Завтраки,100 с,https://nambafood.kg/dish_image/137626.png
Блины с мясом,2 шт.,Завтраки,140 с,https://nambafood.kg/dish_image/137627.png
Сосиски «Халал»‎‎,2 шт.,Завтраки,120 с,https://nambafood.kg/dish_image/137628.png
Творог,100 гр.,Завтраки,100 с,https://nambafood.kg/dish_image/137629.png
Английский завтрак,,Завтраки,160 с,https://nambafood.kg/dish_image/90532.png
Клаб сэндвич с курицей,1 шт.,Завтраки,160 с,https://nambafood.kg/dish_image/137633.png
Брускетта с яйцом,,Завтраки,130 с,https://nambafood.kg/dish_image/137634.png
Брускетта с помидорами и базиликом,,Завтраки,150 с,https://nambafood.kg/dish_image/137635.png
Омлет с овощами,,Завтраки,90 с,https://nambafood.kg/dish_image/137916.png
Гасконский,"180 г. Салат, лук, помидоры, кириешки, копченое филе курицы, соус.",Салаты,160 с,https://nambafood.kg/dish_image/137640.png
Гнездо,"150 гр. Огурец, яйцо, филе курицы, картофель пай, майонез.",Салаты,165 с,https://nambafood.kg/dish_image/137641.png
Греческий салат,"150 гр. Сыр фета, помидоры, огурцы, маслины, зелень.",Салаты,170 с,https://nambafood.kg/dish_image/137642.png
Капустный,150  гр.,Салаты,80 с,https://nambafood.kg/dish_image/137643.png
Китайский салат,"180 гр. Мясо говядины, помидоры, огурцы, перец.",Салаты,190 с,https://nambafood.kg/dish_image/137917.png
Морковный,150  гр.,Салаты,80 с,https://nambafood.kg/dish_image/137918.png
Оливье,150  гр.,Салаты,120 с,https://nambafood.kg/dish_image/137919.png
Салат с  баклажанами,"180 г. Мясо говядины, помидоры, лук, морковь, перец.",Салаты,220 с,https://nambafood.kg/dish_image/137920.png
Свежесть,150  гр.,Салаты,90 с,https://nambafood.kg/dish_image/137921.png
Свекольный,150  гр.,Салаты,80 с,https://nambafood.kg/dish_image/137922.png
Сельдь под шубой,"150 гр. Сельдь, свекла, картофель, яйцо, майонез.",Салаты,150 с,https://nambafood.kg/dish_image/137923.png
Французский салат,"170 гр. Мясо говядины, помидоры, огурцы, свекла, пай, майонез.",Салаты,165 с,https://nambafood.kg/dish_image/137924.png
Цезарь с курицей,"350 гр. Листья салата, пармезан, соус цезарь, кур. филе, черри.",Салаты,320 с,https://nambafood.kg/dish_image/137925.png
Фунчоза,"180 г. Фунчеза, мясо говядины, огурец, перец, морковь, зелень.",Салаты,145 с,https://nambafood.kg/dish_image/137926.png
Шакарап,150 гр.,Салаты,90 с,https://nambafood.kg/dish_image/90435.png
Фруктовый салат,150 гр.,Салаты,140 с,https://nambafood.kg/dish_image/137927.png
Овощное ассорти,450 гр.,Закуски и Салаты,250 с,https://nambafood.kg/dish_image/137928.png
Рыбное ассорти,"200 гр. Копченая семга, эсколар.",Закуски и Салаты,600 с,https://nambafood.kg/dish_image/137929.png
Казы,150 гр.,Закуски и Салаты,480 с,https://nambafood.kg/dish_image/137930.png
Ашлям-фу,,Супы,140 с,https://nambafood.kg/dish_image/137931.png
Уха,,Супы,180 с,https://nambafood.kg/dish_image/137932.png
Мастава,,Супы,160 с,https://nambafood.kg/dish_image/137933.png
Суп-пюре чечевичный,,Супы,140 с,https://nambafood.kg/dish_image/137934.png
Солянка,,Супы,160 с,https://nambafood.kg/dish_image/137935.png
Пельмени со сметаной,,Супы,180 с,https://nambafood.kg/dish_image/137936.png
Суп грибной,,Супы,140 с,https://nambafood.kg/dish_image/137937.png
Шорпо из баранины,,Супы,160 с,https://nambafood.kg/dish_image/137938.png
Кесме,,Супы,160 с,https://nambafood.kg/dish_image/137939.png
Борщ,,Супы,160 с,https://nambafood.kg/dish_image/137940.png
Мампар,,Супы,170 с,https://nambafood.kg/dish_image/137941.png
Мампар особый,,Супы,200 с,https://nambafood.kg/dish_image/137942.png
Чучвара,,Супы,180 с,https://nambafood.kg/dish_image/137943.png
Мясо по-казахски,,Супы,170 с,https://nambafood.kg/dish_image/137944.png
Суп с фрикадельками,,Супы,160 с,https://nambafood.kg/dish_image/137945.png
Суп лапша по-домашнему с курицей,,Супы,150 с,https://nambafood.kg/dish_image/137946.png
Бешбармак,1 порция,Вторые восточные блюда,280 с,https://nambafood.kg/dish_image/137954.png
Бешбармак с казы,1 порция,Вторые восточные блюда,380 с,https://nambafood.kg/dish_image/137955.png
Вареники с картофелем,1 порция,Вторые восточные блюда,140 с,https://nambafood.kg/dish_image/137956.png
ГанФан Гуйру,1 порция,Вторые восточные блюда,250 с,https://nambafood.kg/dish_image/137957.png
ГанФан Суйру,1 порция,Вторые восточные блюда,220 с,https://nambafood.kg/dish_image/137958.png
Гош-нан,1 порция,Вторые восточные блюда,250 с,https://nambafood.kg/dish_image/137959.png
Лагман Гуйру,1 порция,Вторые восточные блюда,260 с,https://nambafood.kg/dish_image/137960.png
Гульчатай,1 порция,Вторые восточные блюда,280 с,https://nambafood.kg/dish_image/137961.png
Гульчатай с казы,,Вторые восточные блюда,380 с,https://nambafood.kg/dish_image/137962.png
Куурдак,1 порция,Вторые восточные блюда,395 с,https://nambafood.kg/dish_image/137963.png
Лагман Босо,1 порция,Вторые восточные блюда,260 с,https://nambafood.kg/dish_image/137964.png
Лагман жидкий,1 порция,Вторые восточные блюда,230 с,https://nambafood.kg/dish_image/137947.png
Лагман Особый,1 порция,Вторые восточные блюда,280 с,https://nambafood.kg/dish_image/137948.png
Пельмени жареные,1 порция,Вторые восточные блюда,220 с,https://nambafood.kg/dish_image/137949.png
Суу манты,Вареники с рубленным мясом,Вторые восточные блюда,200 с,https://nambafood.kg/dish_image/137950.png
Соомян,350 гр.,Вторые восточные блюда,260 с,https://nambafood.kg/dish_image/137951.png
Манты с мясом 1 порция,5 шт.,Вторые восточные блюда,200 с,https://nambafood.kg/dish_image/137952.png
Манты жареные 1 порция,5 шт.,Вторые восточные блюда,225 с,https://nambafood.kg/dish_image/137953.png
Плов,400 гр.,Вторые восточные блюда,225 с,https://nambafood.kg/dish_image/137965.png
New York стейк,"170 г. Бон филе, цукини, помидоры.",Европейская кухня. Горячие блюда,480 с,https://nambafood.kg/dish_image/137966.png
T-Bone стейк,"265 г. Мясо говядины,салат.",Европейская кухня. Горячие блюда,620 с,https://nambafood.kg/dish_image/137967.png
Медальоны с картофелем и грибами,200 гр.,Европейская кухня. Горячие блюда,450 с,https://nambafood.kg/dish_image/137968.png
Бризоль,200 гр.,Европейская кухня. Горячие блюда,230 с,https://nambafood.kg/dish_image/137969.png
Бефстроганов,150 гр.,Европейская кухня. Горячие блюда,250 с,https://nambafood.kg/dish_image/137970.png
Бифштекс с яйцом,180 гр.,Европейская кухня. Горячие блюда,240 с,https://nambafood.kg/dish_image/137971.png
Мясо по-французски,200 гр.,Европейская кухня. Горячие блюда,250 с,https://nambafood.kg/dish_image/137972.png
Котлета по-домашнему,180 гр.,Европейская кухня. Горячие блюда,220 с,https://nambafood.kg/dish_image/137973.png
Лаваш кебаб с мясом,,Европейская кухня. Горячие блюда,250 с,https://nambafood.kg/dish_image/137995.png
Лаваш кебаб куриный,,Европейская кухня. Горячие блюда,210 с,https://nambafood.kg/dish_image/137996.png
Фирменный бургер,,Европейская кухня. Горячие блюда,280 с,https://nambafood.kg/dish_image/137975.png
Пицца мясная 30 см,"590 г. Красный соус, сыр Моцарелла, фарш, красный, зеленый перец, помидоры.",Европейская кухня. Горячие блюда,420 с,https://nambafood.kg/dish_image/137976.png
Пицца Гасконская 30 см,"590 г. Красный соус, сыр Моцарелла, перец, помидоры, копченая утиная грудка.",Европейская кухня. Горячие блюда,380 с,https://nambafood.kg/dish_image/137977.png
Пицца «Цезарь»‎‎ 30 см,"590 г. Фимренный соус ""Цезарь"", сыр Моцарелла, куриная грудка, листья салата.",Европейская кухня. Горячие блюда,400 с,https://nambafood.kg/dish_image/137978.png
Пицца куриная 30 см,"590 г. Филе курицы, томат, маслины, кукуруза, соус.",Европейская кухня. Горячие блюда,390 с,https://nambafood.kg/dish_image/137979.png
Пицца «Маргарита»‎‎ 30 см,"540 г. Красный соус, сыр Моцарелла, помидоры.",Европейская кухня. Горячие блюда,300 с,https://nambafood.kg/dish_image/137980.png
Пицца детская с сосисками 30 см,"590 г. Красный соус, сыр моцарелла, сосиска.",Европейская кухня. Горячие блюда,380 с,https://nambafood.kg/dish_image/137981.png
Пицца Пепперони 30 см,590 г.,Европейская кухня. Горячие блюда,380 с,https://nambafood.kg/dish_image/137982.png
Стейк из баранины на углях,200 гр.,Европейская кухня. Горячие блюда,450 с,https://nambafood.kg/dish_image/137983.png
Стейк из семги в сливочном соусе,180 гр.,Европейская кухня. Горячие блюда,550 с,https://nambafood.kg/dish_image/137984.png
Стейк из семги под икорно-сливочном соусом,160 гр.,Европейская кухня. Горячие блюда,600 с,https://nambafood.kg/dish_image/137985.png
Фрикасе,"200 гр. Филе курицы, грибы, сметанный соус, кукуруза.",Европейская кухня. Горячие блюда,240 с,https://nambafood.kg/dish_image/137986.png
Цыпленок табака,650 гр.,Европейская кухня. Горячие блюда,380 с,https://nambafood.kg/dish_image/137987.png
Куриная грудка с картофелем,200 гр.,Европейская кухня. Горячие блюда,240 с,https://nambafood.kg/dish_image/137988.png
Тальятелле «Альфредо»‎‎,400 г,Пасты,360 с,https://nambafood.kg/dish_image/137989.png
Карбонара с курицей,385 г,Пасты,320 с,https://nambafood.kg/dish_image/90513.png
Феттучини с семгой,,Пасты,380 с,https://nambafood.kg/dish_image/137990.png
Курица по-сычуаньски,,Китайская кухня. Салаты,350 с,https://nambafood.kg/dish_image/137991.png
Говядина с фунчезой,,Китайская кухня. Салаты,350 с,https://nambafood.kg/dish_image/137992.png
Язык с овощами,"250 гр. Говяжий язык, помидоры, огурцы, перец, соя.",Китайская кухня. Салаты,280 с,https://nambafood.kg/dish_image/90472.png
Лян-Бян-Нюру,"245 гр. Мясо говядины, помидоры, огурцы, перец, специи.",Китайская кухня. Салаты,280 с,https://nambafood.kg/dish_image/137993.png
Фри с мясом,200 гр.,Вторые блюда,270 с,https://nambafood.kg/dish_image/137997.png
