Наименование,Описание,Категория,Цена,Фото
Гренки,,Завтраки,140 с,https://nambafood.kg/dish_image/129543.png
Омлет с сыром,,Завтраки,170 с,https://nambafood.kg/dish_image/129544.png
Омлет с грибами,,Завтраки,180 с,https://nambafood.kg/dish_image/129545.png
Омлет с овощами,,Завтраки,200 с,https://nambafood.kg/dish_image/129546.png
Яичница глазунья,,Завтраки,150 с,https://nambafood.kg/dish_image/129547.png
Сырники с джемом и сметаной,,Завтраки,220 с,https://nambafood.kg/dish_image/129548.png
Блины с медом,,Завтраки,150 с,https://nambafood.kg/dish_image/130049.png
Блины с джемом,,Завтраки,150 с,https://nambafood.kg/dish_image/130050.png
Блины с творогом,,Завтраки,180 с,https://nambafood.kg/dish_image/130051.png
Здоровый завтрак,творог с йогуртом и фруктами,Завтраки,270 с,https://nambafood.kg/dish_image/130047.png
Завтрак чемпиона,"брынза, яичница, оливки, слив.масло, тосты, огурцы, помидоры, мед, ветчина говядина",Завтраки,390 с,https://nambafood.kg/dish_image/130046.png
Английский завтрак,"яичница болтунья (скрэмбл), консервированная фасоль с овощами, шампиньоны, картофель по-домашнему, сосиски, хлеб (черный или белый по желанию), мини-салат с помидорами и огурцами",Завтраки,450 с,https://nambafood.kg/dish_image/130053.png
Каша овсяная,,Завтраки,170 с,https://nambafood.kg/dish_image/130054.png
Каша манная,,Завтраки,170 с,https://nambafood.kg/dish_image/130058.png
Гречневая каша,,Завтраки,170 с,https://nambafood.kg/dish_image/130055.png
Рисовая каша,,Завтраки,170 с,https://nambafood.kg/dish_image/130056.png
Пшенная каша,,Завтраки,170 с,https://nambafood.kg/dish_image/130057.png
Яичная болтунья,,Завтраки,150 с,https://nambafood.kg/dish_image/129711.png
Сырники с шоколадом и с бананами,,Завтраки,220 с,https://nambafood.kg/dish_image/129712.png
Каша с семенами чиа,С фруктами по сезону.,Завтраки,220 с,https://nambafood.kg/dish_image/140487.png
Ячневая каша,,Завтраки,170 с,https://nambafood.kg/dish_image/130872.png
Кукурузная каша,,Завтраки,170 с,https://nambafood.kg/dish_image/130873.png
Пшеничная каша,,Завтраки,170 с,https://nambafood.kg/dish_image/130874.png
Блинчики со сметаной,,Завтраки,150 с,https://nambafood.kg/dish_image/141096.png
"Завтрак с киноа, форелью и авокадо",,Завтраки,360 с,https://nambafood.kg/dish_image/141097.png
Завтрак с гранолой,,Завтраки,310 с,https://nambafood.kg/dish_image/141098.png
Салат свежий,"Помидоры, огурцы, лист салата, красный лук, заправляются соусом «дрессинг».",Салаты,210 с,https://nambafood.kg/dish_image/129561.png
Витаминка,"Капуста белокочанная, морковь, свекла, яблоки, сахар, черный перец оливковое масло, лимонный сок, семечки, долька лимона.",Салаты,210 с,https://nambafood.kg/dish_image/130036.png
