Наименование,Описание,Категория,Цена,Фото
Ассорти рыбное,"350 г. Копченная семга, эсколар.",Холодные закуски,1600 с,https://nambafood.kg/dish_image/68862.png
Ассорти  национальное,"400 г. Казы, карта.",Холодные закуски,1100 с,https://nambafood.kg/dish_image/68868.png
Ассорти солений,"400 г. Малосольные патиссоны, помидоры, кабачки, цветная капуста, корнишоны, кукурузные початки.",Холодные закуски,550 с,https://nambafood.kg/dish_image/68864.png
Ассорти овощное,"500 г. Помидоры, огурцы, брынза, маслины, редис, зелень.",Холодные закуски,550 с,https://nambafood.kg/dish_image/68863.png
Рулетики из баклажанов и кабачков,200 г,Холодные закуски,410 с,https://nambafood.kg/dish_image/68865.png
Ассорти сырное,"400 г. Чеддер, пармезан, дорблю, бри, гауда.",Холодные закуски,1000 с,https://nambafood.kg/dish_image/68860.png
Капрезе,"280 г. Микс салат, помидоры, сыр моцарелла, кедровые орешки, соус песто.",Салаты,430 с,https://nambafood.kg/dish_image/68883.png
Рулетики из цукини с риккотой,"250 г. Цукини, сыр рикотта, кедровые орешки с микс салатом и соусом цезарь.",Салаты,410 с,https://nambafood.kg/dish_image/83559.png
Салат из запеченной свеклы с сыром,"200 г. Микс салат, апельсин и тыквенные семечки.",Салаты,380 с,https://nambafood.kg/dish_image/126556.png
Руккола с креветками,"200 г. Дрессинг из оливкового масла, лайм, помидоры черри ,сыр пармезан, авокадо.",Салаты,720 с,https://nambafood.kg/dish_image/73099.png
Греческий салат,"280 г. Помидоры, огурцы, сыр, маслины, листья салата, оливковое масло",Салаты,350 с,https://nambafood.kg/dish_image/68880.png
Салат «Крошка»,"300 г. Черри, яйцо перепелиное, маслины, моцарелла, сыворотка, микс салат.",Салаты,420 с,https://nambafood.kg/dish_image/73100.png
Микс салат с говяжьим  языком,"280 г. Маринованные корнишоны, авокадо, оливковое масло.",Салаты,430 с,https://nambafood.kg/dish_image/68873.png
Салат из бамбука с говядиной,"240 г. Репчатый лук, болгарский перец, восточный соус и кунжут.",Салаты,420 с,https://nambafood.kg/dish_image/68871.png
Салат с ростбифом,"200 г. Микс салат, соус песто, помидоры черри, перепелиные яйца.",Салаты,460 с,https://nambafood.kg/dish_image/69257.png
Теплый салат «Торре-дель-Греко»,"240 г. Обжаренные овощи с говяжьей вырезкой, грибы, бальзамический соус.",Салаты,450 с,https://nambafood.kg/dish_image/68870.png
Жареный баклажан,"250 г. Жареный баклажан с хрустящей корочкой, в кисло- сладком соусе.",Салаты,350 с,https://nambafood.kg/dish_image/103766.png
Цезарь с курицей,"300 г. Листья салата, айсберг, соус цезарь, помидоры черри, перепелиные яйца, куриная грудка, крутоны, сыр пармезан.",Салаты,380 с,https://nambafood.kg/dish_image/68874.png
Цезарь с семгой,"300 г. Листья салата, айсберг, соус цезарь, помидоры черри, перепелиные яйца, семга, крутоны, сыр пармезан.",Салаты,510 с,https://nambafood.kg/dish_image/68875.png
Цезарь с креветками,"300 г. Тигровые креветки, айсберг, перепелиные яйца, сыр памезан, листья салата, помидоры черри, крутоны, соус цезарь.",Салаты,530 с,https://nambafood.kg/dish_image/68876.png
Лосось на картофеле «Рости»,"240 г. Картофельный драник, перепелиные яйца, руккола, фризе, помидоры черри, дрессинг из оливкого масла и лимона.",Салаты,450 с,https://nambafood.kg/dish_image/69256.png
Острый салат по-тайски,"210 г. Говяжья вырезка, руккола, огурцы, зелень, лук репчатый, аджика, оливковое масло.",Салаты,410 с,https://nambafood.kg/dish_image/68872.png
Теплый салат с куриной грудкой,"270 г. Куриная грудка, болгарский перец, кабачки, баклажаны, листья салата, айсберг, кунжут.",Салаты,380 с,https://nambafood.kg/dish_image/68878.png
Салат из брокколи и цветной капусты,"250 г. Брокколи, цветная капуста, фасоль, морковь, лук красный.",Салаты,340 с,https://nambafood.kg/dish_image/68881.png
Салат «Бахор»,"200 г. Куриное филе , тильзитский сыр, яйца, помидоры, огурцы , чеснок , сметана.",Восточные салаты,300 с,https://nambafood.kg/dish_image/69421.png
Салат «Ташкент»,"200 г. Говядина, яйца, редька, лук репчатый, майонез, райхон, зелень.",Восточные салаты,300 с,https://nambafood.kg/dish_image/69248.png
Салат «Самарканд»,"200 г. Куриное филе, помидоры, огурцы, перец болгарский, зеленый лук, кунжут, масло.",Восточные салаты,290 с,https://nambafood.kg/dish_image/69422.png
Шакарап «Ачичук»,"200 г. Помидоры, лук репчатый, райхон.",Восточные салаты,150 с,https://nambafood.kg/dish_image/69255.png
Том ям,"300 г. Куриная грудка, тигровые креветки, грибы шитаки, шампиньоны, паста том ям, кокосовое молоко.",Супы,490 с,https://nambafood.kg/dish_image/69262.png
Солянка сборная,"300 г. Говядина отварная, копченая утиная грудка, ветчина говяжья, маслины.",Супы,300 с,https://nambafood.kg/dish_image/68885.png
Балык шорпо,"300 г. Судак, овощи.",Супы,380 с,https://nambafood.kg/dish_image/68886.png
Сливочный суп с морепродуктами и семгой,"300 г. Овощи, сыр, кокосовое молоко.",Супы,400 с,https://nambafood.kg/dish_image/68887.png
Острый томатный суп,"300 г. Говядина, овощи в остром томатном бульоне.",Супы,320 с,https://nambafood.kg/dish_image/68888.png
Борщ,"300 г. Говядина отварная, овощи, томат.",Супы,280 с,https://nambafood.kg/dish_image/68889.png
Классическая окрошка с мясом,"300 г. Говядина отварная, яйца, картофель, огурцы, кефир, зелень.",Супы,240 с,https://nambafood.kg/dish_image/68892.png
Грибной крем-суп,"300 г. Шампиньоны или вешенки, сыр пармезан, сливки, тосты.",Супы,320 с,https://nambafood.kg/dish_image/68890.png
Чечевичный суп,"300 г. Чечевица, томат, специи.",Супы,200 с,https://nambafood.kg/dish_image/68891.png
Крем суп из брокколи с семгой,300 г,Супы,530 с,https://nambafood.kg/dish_image/103764.png
Мампар,"300 г. Говядина, квадратики теста, морковь, перец болгарский, лук репчатый, томат.",Восточные супы,250 с,https://nambafood.kg/dish_image/68893.png
Мастава,"300 г. Говядина, рис, картофель, морковь, перец болгарский, лук репчатый, томат.",Восточные супы,250 с,https://nambafood.kg/dish_image/69240.png
Машхурда,"300 г. Говядина, маш, рис, морковь, лук репчатый, томат.",Восточные супы,250 с,https://nambafood.kg/dish_image/69241.png
Шорпо из говядины,"300 г. Говядина, картофель, морковь, помидоры, перец болгарский, лук репчатый.",Восточные супы,250 с,https://nambafood.kg/dish_image/68897.png
Шорпо из баранины,"300 г. Баранина, картофель, морковь, помидоры, перец болгарский, лук репчатый.",Восточные супы,250 с,https://nambafood.kg/dish_image/85925.png
Кесме  шорпо,300 г. Суп-лапша из говядины.,Восточные супы,250 с,https://nambafood.kg/dish_image/69424.png
Тоок шорпо,300 г. Куриная суп-лапша.,Восточные супы,230 с,https://nambafood.kg/dish_image/69425.png
Чучвара,300 г. Мини пельмени 40 шт в томатном бульоне.,Восточные супы,270 с,https://nambafood.kg/dish_image/68898.png
Саркеч шорпо в горшочке,"350 г. Перзола, баранина филе, картофель, морковь, перец болгарский, помидоры.",Восточные супы,330 с,https://nambafood.kg/dish_image/126557.png
Суп «Манас»,"300 г. Наваристый, густой бульон из конины со свежим луком и тертым картофелем.",Восточные супы,350 с,https://nambafood.kg/dish_image/126559.png
Самсы из телятины тандырные,1 шт,Горячие закуски,75 с,https://nambafood.kg/dish_image/69249.png
Самсы из баранины тандырные,1 шт,Горячие закуски,75 с,https://nambafood.kg/dish_image/73102.png
Самсы с курицей и сыром,1 шт,Горячие закуски,70 с,https://nambafood.kg/dish_image/69247.png
Чебуреки из телятины,2 шт,Горячие закуски,130 с,https://nambafood.kg/dish_image/69260.png
Чебуреки с помидорами и сыром,2 шт,Горячие закуски,120 с,https://nambafood.kg/dish_image/73103.png
Лепешка тандырная,230 г,Выпечка,55 с,https://nambafood.kg/dish_image/68904.png
Боорсоки,200 г. Порция,Выпечка,50 с,https://nambafood.kg/dish_image/68902.png
Хлебное ассорти,"Мини булочки 6 шт, хлеб черный и белый.",Выпечка,60 с,https://nambafood.kg/dish_image/68905.png
Национальная хлебная корзинка,2 лепешки и боорсоки 200 г.,Выпечка,140 с,https://nambafood.kg/dish_image/73212.png
Хлебная пирамида,Пирамида из 5 лепешек. Готовятся по предзаказу.,Выпечка,200 с,https://nambafood.kg/dish_image/68906.png
Хлеб белый,,Выпечка,30 с,https://nambafood.kg/dish_image/126561.png
Хлеб черный,,Выпечка,30 с,https://nambafood.kg/dish_image/126563.png
Карбонара из говядины с зеленым горошком,350 г,Пасты,420 с,https://nambafood.kg/dish_image/69245.png
Пенне арабьята с морским коктейлем и семгой,350 г,Пасты,550 с,https://nambafood.kg/dish_image/68909.png
Фарфалле с куриной грудкой и шампиньонами,350 г,Пасты,370 с,https://nambafood.kg/dish_image/68910.png
Болоньезе с сыром пармезан,350 г,Пасты,370 с,https://nambafood.kg/dish_image/68911.png
Ти-бон стейк с овощами гриль,450 г,Стейки,950 с,https://nambafood.kg/dish_image/69265.png
Ковбой стейк с овощами гриль и картофельным пюре,500 г,Стейки,950 с,https://nambafood.kg/dish_image/69237.png
Рибай стейк с малосольными овощами и картофельными клиньями,400 г,Стейки,950 с,https://nambafood.kg/dish_image/68915.png
Стейк из Яка на подушке из киноа,400 г. С запеченными томатами и картофелем черри.,Стейки,1000 с,https://nambafood.kg/dish_image/126565.png
Плов «Ташкентский»,"350 г. Вырезка из говядины, баранины, рис лазер.",Горячие блюда восточной кухни,300 с,https://nambafood.kg/dish_image/69254.png
Долма из виноградных листьев 6 шт,180 г. виноградные листья с мясным фаршем и гарниром из овощей.,Горячие блюда восточной кухни,330 с,https://nambafood.kg/dish_image/69235.png
Куурдак по-особому,350 г,Горячие блюда восточной кухни,520 с,https://nambafood.kg/dish_image/68931.png
Казан кебаб с картофелем,"350 г. Перзола, картофель, лук репчатый, базилик.",Горячие блюда восточной кухни,520 с,https://nambafood.kg/dish_image/68932.png
Тушеные бычьи хвосты с овощами и кускусом,350 г,Горячие блюда восточной кухни,550 с,https://nambafood.kg/dish_image/103765.png
Бешбармак из конины,300 г,Горячие блюда восточной кухни,380 с,https://nambafood.kg/dish_image/68933.png
Гульчатай,300 г,Горячие блюда восточной кухни,380 с,https://nambafood.kg/dish_image/68934.png
Дымдама в горшочке,"300 г. Филе баранины, картофель, овощи.",Горячие блюда восточной кухни,350 с,https://nambafood.kg/dish_image/68935.png
Манты с говядиной,5 шт,Горячие блюда восточной кухни,280 с,https://nambafood.kg/dish_image/68938.png
Жидкий лагман,"350 г. Филе говядины, капуста пекинская, овощи, томат.",Горячие блюда восточной кухни,300 с,https://nambafood.kg/dish_image/69243.png
Гюро лагман,"300 г. Филе говядины, капуста пекинская, овощи, томат.",Горячие блюда восточной кухни,300 с,https://nambafood.kg/dish_image/68940.png
Босо лагман,"300 г. Филе говядины, капуста пекинская, помидоры, овощи, сельдерей, томат.",Горячие блюда восточной кухни,300 с,https://nambafood.kg/dish_image/69266.png
Ганфан,"350 г. Филе говядины, капуста пекинская, рис, овощи, томат.",Горячие блюда восточной кухни,300 с,https://nambafood.kg/dish_image/69433.png
Казан кебаб с говядиной,"300 г. Говядина, лук репчатый, рис.",Горячие блюда восточной кухни,380 с,https://nambafood.kg/dish_image/83994.png
Мушуру,"250 г. Филе говядины, грибы шитаки, яйца, овощи, помидоры.",Горячие блюда восточной кухни,330 с,https://nambafood.kg/dish_image/68944.png
Бараньи язычки с копченным пюре,200 г,Горячие блюда,560 с,https://nambafood.kg/dish_image/73215.png
Медальоны из говядины со спаржей,280 г,Горячие блюда,680 с,https://nambafood.kg/dish_image/69242.png
Телятина с зеленой стручковой фасолью,"400 г. Телятина, стручковая фасоль, гречка и грибы.",Горячие блюда,600 с,https://nambafood.kg/dish_image/83564.png
Спинка барашка с овощами,"420 г. Картофелем, помидорами и овощами.",Горячие блюда,600 с,https://nambafood.kg/dish_image/83563.png
Роллы из говяжьего фарша с грибами и кабачками,"250 г. Говяжий фарш с грибами и кабачками, панированный в зелени и в сыре пармезан с соусом демиглас.",Горячие блюда,550 с,https://nambafood.kg/dish_image/83565.png
Фламбе из говяжьего ребра с копченным пюре,350 г,Горячие блюда,650 с,https://nambafood.kg/dish_image/69258.png
Аджапсандал с бараньими ребрышками,350 г,Горячие блюда,650 с,https://nambafood.kg/dish_image/69428.png
Баранья рулька с картофельным гратеном,450 г,Горячие блюда,650 с,https://nambafood.kg/dish_image/68919.png
Медальоны с овощами,300 г,Горячие блюда,650 с,https://nambafood.kg/dish_image/68920.png
Куриные роллы со шпинатом и брокколи,350 г,Горячие блюда,550 с,https://nambafood.kg/dish_image/68928.png
Цыпленок табака с картофельными чипсами и аджикой,600 г,Горячие блюда,600 с,https://nambafood.kg/dish_image/68929.png
Котлета по-киевски с кускусом,350 г,Горячие блюда,550 с,https://nambafood.kg/dish_image/73217.png
"Семга на пару с салатом из шпината, с козьим сыром и помидорами черри.",320 г.,Горячие блюда,750 с,https://nambafood.kg/dish_image/126573.png
Лосось терьяки с рисом и зеленым горошком,320 г,Горячие блюда,720 с,https://nambafood.kg/dish_image/126572.png
Лосось на  картофельном дранике,350 г,Горячие блюда,750 с,https://nambafood.kg/dish_image/68922.png
Дорадо с диким рисом и персиковым соусом,350 г,Горячие блюда,780 с,https://nambafood.kg/dish_image/69264.png
Форель на гриле с овощным рататуем и томатами,600 г,Горячие блюда,720 с,https://nambafood.kg/dish_image/68926.png
Семга с морской капустой,300 г,Горячие блюда,780 с,https://nambafood.kg/dish_image/126575.png
Филе осетра с овощами и спаржей,350 г,Горячие блюда,750 с,https://nambafood.kg/dish_image/83566.png
Сибас на гриле,450 г. С салатом айсберг.,Горячие блюда,780 с,https://nambafood.kg/dish_image/68927.png
Лосось под соусом Шампань,300 г,Горячие блюда,780 с,https://nambafood.kg/dish_image/126570.png
Шашлык из филе говядины,120 г,Мангал,310 с,https://nambafood.kg/dish_image/69267.png
Шашлык оромо из говядины,120 г,Мангал,310 с,https://nambafood.kg/dish_image/69252.png
Уч панжа из говядины,250 г,Мангал,450 с,https://nambafood.kg/dish_image/69263.png
Шашлык из филе баранины,120 г,Мангал,310 с,https://nambafood.kg/dish_image/68946.png
Шашлык из бараньих ребрышек (семечки),140 г,Мангал,310 с,https://nambafood.kg/dish_image/68947.png
Каре барашка 2 шт,180 г,Мангал,380 с,https://nambafood.kg/dish_image/73218.png
Люля кебаб,120 г,Мангал,300 с,https://nambafood.kg/dish_image/68948.png
Люля кебаб в шубе,120 г,Мангал,300 с,https://nambafood.kg/dish_image/69434.png
Шашлык из филе курицы,120 г,Мангал,280 с,https://nambafood.kg/dish_image/68949.png
Шашлык из куриных крылышек,150 г,Мангал,280 с,https://nambafood.kg/dish_image/68950.png
Овощи на гриле,150 г,Мангал,270 с,https://nambafood.kg/dish_image/68951.png
Картофель черри в шубе,200 г,Мангал,200 с,https://nambafood.kg/dish_image/73220.png
Плов «Узгенский» 1 кг,Время приготовления 2 часа,Блюда на компанию,2200 с,https://nambafood.kg/dish_image/69440.png
Плов  «Ташкентский» 1 кг,Время приготовления 2 часа,Блюда на компанию,2200 с,https://nambafood.kg/dish_image/69441.png
Плов «Праздничный» 1 кг,"С добавлением изюма, и гороха нут. Время приготовления 2 часа.",Блюда на компанию,2300 с,https://nambafood.kg/dish_image/69442.png
Плов с перепелкой и долмой 3.8 кг,Время приготовления 2 часа,Блюда на компанию,3500 с,https://nambafood.kg/dish_image/69443.png
Дымдама 2.8 кг,Время приготовления 2 часа,Блюда на компанию,3500 с,https://nambafood.kg/dish_image/69444.png
Пирожок 2.8 кг,Время приготовления 2 часа,Блюда на компанию,2800 с,https://nambafood.kg/dish_image/69445.png
"Восточный сет 2,5 кг","Долма куурдак по-особому, кебаб лязат, баранья рулька, баклажаны запеченные с фаршем и овощами гриль.",Блюда на компанию,3500 с,https://nambafood.kg/dish_image/83569.png
"Европейский сет 2,5 кг","Куриный ролл со шпинатом, стейк из семги с рисом, бараньи ребра, аджапсандал, медальон из говядины, рулет из говяжьего фарша.",Блюда на компанию,3500 с,https://nambafood.kg/dish_image/83568.png
Мясное плато 2.5 кг,"Аджапсандал, фаршированные баклажаны, картофель, стейк рибай, тибон стейк, медальоны, ассорти из соусов.",Блюда на компанию,3900 с,https://nambafood.kg/dish_image/69446.png
Рыбное плато 2.5 кг,"Запеченные стейки из семги, форели, судака, осетра, овощи на гриле 3 порции, креветочный бикс",Блюда на компанию,4000 с,https://nambafood.kg/dish_image/69447.png
Ассорти из шашлыков 1.9 кг,,Блюда на компанию,3500 с,https://nambafood.kg/dish_image/83567.png
Рис,150 г,Гарниры,100 с,https://nambafood.kg/dish_image/126576.png
Картофель фри,150 г,Гарниры,120 с,https://nambafood.kg/dish_image/68954.png
Картофельные крокеты,150 г,Гарниры,120 с,https://nambafood.kg/dish_image/73222.png
Картофельные клинья,150 г,Гарниры,120 с,https://nambafood.kg/dish_image/68955.png
Картофельное пюре,150 г,Гарниры,120 с,https://nambafood.kg/dish_image/126577.png
Цветная капуста в кляре,150 г,Гарниры,120 с,https://nambafood.kg/dish_image/68957.png
Овощи гриль,150 г,Гарниры,120 с,https://nambafood.kg/dish_image/68958.png
Овощи припущенные,150 г,Гарниры,120 с,https://nambafood.kg/dish_image/68959.png
Ризотто со шпинатом,150 г,Гарниры,150 с,https://nambafood.kg/dish_image/68960.png
Гречка с грибами,150 г,Гарниры,150 с,https://nambafood.kg/dish_image/68961.png
Табаско,10 г,Соусы,60 с,https://nambafood.kg/dish_image/126579.png
Аджика,50 г,Соусы,50 с,https://nambafood.kg/dish_image/126581.png
Сметана,50 г,Соусы,50 с,https://nambafood.kg/dish_image/126583.png
Барбекю соус,50 г,Соусы,80 с,https://nambafood.kg/dish_image/126585.png
Соус «Цезарь»,50 г,Соусы,80 с,https://nambafood.kg/dish_image/126587.png
Шашлычный соус,50 г,Соусы,30 с,https://nambafood.kg/dish_image/126589.png
Майонез,50 г,Соусы,40 с,https://nambafood.kg/dish_image/126591.png
Лечо,50 г,Соусы,40 с,https://nambafood.kg/dish_image/126593.png
Кетчуп,50 г,Соусы,40 с,https://nambafood.kg/dish_image/126595.png
Чизкейк с малиной,,Десерты,350 с,https://nambafood.kg/dish_image/69261.png
Бельгийские вафли,,Десерты,250 с,https://nambafood.kg/dish_image/69439.png
Фондан,,Десерты,300 с,https://nambafood.kg/dish_image/73223.png
Филадельфия ролл,"Семга, сыр, огурец, рис.",Роллы,430 с,https://nambafood.kg/dish_image/126598.png
Филадельфия VIP,"Семга, сыр, авокадо, икра лосося.",Роллы,450 с,https://nambafood.kg/dish_image/126600.png
Калифорния ролл,"Тобико, краб, лосось, сыр, огурец.",Роллы,350 с,https://nambafood.kg/dish_image/126602.png
Калифорния с креветкой,"Тобико, майонез, огурец, креветки.",Роллы,300 с,https://nambafood.kg/dish_image/126604.png
Хоккайдо ролл,"Кунжут, спайси соус, лосось, огурец.",Роллы,330 с,https://nambafood.kg/dish_image/126606.png
Сяке гурме маки,Филадельфия с копченным лососем.,Роллы,350 с,https://nambafood.kg/dish_image/126608.png
Цезарь ролл,"Курица, соус цезарь, пармезан, лист салата, помидор.",Роллы,340 с,https://nambafood.kg/dish_image/126610.png
Овощной Ясай Маки,"Укроп, майонез, огурец, помидор, перец, лук зеленый.",Роллы,280 с,https://nambafood.kg/dish_image/126612.png
Бонито ролл,"Стружка тунца, сыр, авокадо, семга копченая.",Роллы,340 с,https://nambafood.kg/dish_image/126614.png
Дракон ролл,"Семга, сыр, огурец, кунжут, угорь",Роллы,400 с,https://nambafood.kg/dish_image/126616.png
Канада ролл,"Сыр, авокадо, краб, угорь.",Роллы,320 с,https://nambafood.kg/dish_image/126618.png
Эби Кунсей,"Спайси соус, огурец, копченый лосось, тигровые креветки.",Роллы,220 с,https://nambafood.kg/dish_image/126620.png
Темпура унаги,"Сыр, огурец, угорь.",Горячие роллы,350 с,https://nambafood.kg/dish_image/126622.png
Сяке темпура,"Лосось, сыр, огурец.",Горячие роллы,340 с,https://nambafood.kg/dish_image/126624.png
Темпура с тунцом,"Тунец, сыр, огурец, креветки, тобико.",Горячие роллы,420 с,https://nambafood.kg/dish_image/126626.png
Темпура с курицей,"Сыр, огурец, курица, перец, тобико.",Горячие роллы,350 с,https://nambafood.kg/dish_image/126628.png
Эби Маки,,Классические роллы,250 с,https://nambafood.kg/dish_image/126630.png
Сяке Маки,,Классические роллы,230 с,https://nambafood.kg/dish_image/126632.png
Каппа Маки,,Классические роллы,220 с,https://nambafood.kg/dish_image/126634.png
Кунцей Маки,,Классические роллы,280 с,https://nambafood.kg/dish_image/126636.png
