Наименование,Описание,Категория,Цена,Фото
Фирменный бургер с фри и сырным соусом,"Булочка собственного приготовления, котлета из свежего мяса говядины, обжаренная в хоспер печи, ароматный сырный соус, подается с фри, по вашему желанию можем добавить перчик халапенью.",Закуски,540 с,https://nambafood.kg/dish_image/123716.png
Кесадилья с цыпленком,"Филе цыпленка обжаренное с миксом из овощей, сыра моцарелла и острого перца халапенью, подается с соусом сальса ""Пико де гальо"".",Закуски,390 с,https://nambafood.kg/dish_image/123712.png
Клаб сендвич с ветчиной,"Тостерный хлеб, фирменный соус, ветчина, сырный соус, помидоры, зелень салата, хрустящий кукурузный начос, подается с картофелем фри.",Закуски,390 с,https://nambafood.kg/dish_image/123717.png
Сырная тарелка,"Пармезан, Дорблю, камамбер, бри, грецкий орех, мёд.",Холодные закуски,890 с,https://nambafood.kg/dish_image/123721.png
Ассорти солений,"Маринованные томаты черри, карнишоны, патиссоны, грибы опята, грузди, квашенная капуста.",Холодные закуски,450 с,https://nambafood.kg/dish_image/123722.png
Беби лиф с лососем и горчично-медовой заправкой,"Шпинат, мини стейк лосося, помидоры черри, горчично-медовая заправка, лимон.",Салаты,450 с,https://nambafood.kg/dish_image/123727.png
Салат из баклажан в китайском стиле,"Хрустящие кусочки баклажан, помидоры черри, фирменный соус.",Салаты,390 с,https://nambafood.kg/dish_image/127922.png
Цезарь с курицей,"Курица гриль, микс салата, фирменный соус Цезарь, крутоны, томаты черри, сыр пармезан",Салаты,420 с,https://nambafood.kg/dish_image/123724.png
Цезарь с креветками,"Креветки гриль, микс салата, фирменный соус Цезарь, крутоны, томаты черри, сыр пармезан",Салаты,510 с,https://nambafood.kg/dish_image/123725.png
Кисло-острый суп,"Говядина, стеклянная лапша, яйцо, перчик чили, овощи.",Супы,350 с,https://nambafood.kg/dish_image/123735.png
Феттучини с лососем в сливочном соусе,"Паста феттучини, лосось, сливки, пармезан, помидоры черри, базилик.",Паста,530 с,https://nambafood.kg/dish_image/127917.png
Куриное филе с шампиньонами и сливочным соусом,"Шампиньоны, куриное филе, сливочно-сырный соус, мусскатный орех.",Блюда из птицы и рыбы,470 с,https://nambafood.kg/dish_image/123741.png
Цыпленок Josper,"Цыпленок, специи, микс зелени, помидоры, огурцы, красный лук, бальзамический дрессинг, соус ""пико де гальо""",Блюда из птицы и рыбы,670 с,https://nambafood.kg/dish_image/123742.png
Рибай стейк с картофельными дольками,"Отруб говядины имеющий большое количество жировых прожилок, Сочетает в себе мягкость, сочность.Подается с овощами гриль и розмариновым соусом.",Стейки,950 с,https://nambafood.kg/dish_image/123745.png
Филадельфия ролл,"Лосось, рис, нори, сыр филадельфия.",Роллы,570 с,https://nambafood.kg/dish_image/123751.png
Запеченный ролл,"Рис, нори, сливочный сыр, угорь, моцарелла, крабовые палочки.",Роллы,660 с,https://nambafood.kg/dish_image/123758.png
Дракон ролл,"Рис, угорь, сыр филадельфия, лосось, кунжут.",Роллы,640 с,https://nambafood.kg/dish_image/123753.png
Калифорния ролл,"Рис, креветки, авокадо, огурцы, икра табико.",Роллы,610 с,https://nambafood.kg/dish_image/123752.png
Спайси ролл,"Рис, нори, сливочный сыр, лосось, соус спайси.",Роллы,610 с,https://nambafood.kg/dish_image/123757.png
Рис отварной,,Гарниры,150 с,https://nambafood.kg/dish_image/123799.png
Картофель фри,,Гарниры,150 с,https://nambafood.kg/dish_image/123800.png
Картофельные дольки,,Гарниры,150 с,https://nambafood.kg/dish_image/123801.png
Овощи гриль,,Гарниры,170 с,https://nambafood.kg/dish_image/123798.png
Хлебная корзина,,Гарниры,180 с,https://nambafood.kg/dish_image/123803.png
Цезарь соус,,Соусы,80 с,https://nambafood.kg/dish_image/123805.png
Сырный соус,,Соусы,90 с,https://nambafood.kg/dish_image/123806.png
Соевый соус,,Соусы,80 с,https://nambafood.kg/dish_image/123810.png
Табаско,,Соусы,150 с,https://nambafood.kg/dish_image/123813.png
Гамадари соус,,Соусы,180 с,https://nambafood.kg/dish_image/123814.png
Пико де гальо,,Соусы,80 с,https://nambafood.kg/dish_image/123816.png
