Наименование,Описание,Категория,Цена,Фото
Fresh salad / Свежий салат,"300 гр. Огурцы, помидоры, лук, листья салата, зеленый лук, оливковое масло.  /  Cucumber, tomato, lettuce, spring onion, olive oil.",Салаты / Salads,200 с,https://nambafood.kg/dish_image/97908.png
Greek salad / Греческий салат,"300 гр. Свежие овощи, сыр фета, оливки, оливковое масло и специи.  /  Tomatoes, cucumber, olive, capsicum, feta cheese and olive oil.",Салаты / Salads,250 с,https://nambafood.kg/dish_image/97906.png
Russian salad / Оливье,"300 гр. Картофель, морковь, зеленый горошек, яйцо, колбаса, майонез.  /  Boiled potato, sausage, mayonnaise.",Салаты / Salads,220 с,https://nambafood.kg/dish_image/97905.png
Caesar with prawns / Цезарь с креветками,"300 гр. Тигровые креветки, листья салата, сухарики, помидоры черри, соус Цезарь.  /  Prawns, lettuce, Caesar sause, cherry tomato, parmesan cheese.",Салаты / Salads,380 с,https://nambafood.kg/dish_image/97912.png
Caesar with chicken / Цезарь с курицей,"300 гр. Куриное филе, листья салата, сухарики, соус Цезарь.  /  Slices of boiled chicken, lettuce, Caesar sause, parmesan cheese.",Салаты / Salads,300 с,https://nambafood.kg/dish_image/97894.png
Brinjal rolls / Рулеты из баклажанов,"300 гр. Баклажаны, помидор, огурцы, чеснок и сыр голландский.  /  Brinjal, cucumber, tomato, garlic, mayonnaise, cheese, lettuce.",Салаты / Salads,200 с,https://nambafood.kg/dish_image/97913.png
Onion salad / Луковый салат,"100 гр. Лук, зелень.  /  Onion, herbs.",Салаты / Salads,50 с,https://nambafood.kg/dish_image/97896.png
Protein salad/Протеиновый салат,"Лук, помидоры, нут, маш",Салаты / Salads,200 с,https://nambafood.kg/dish_image/137102.png
Chicken hot & sour / Куриный кисло-острый суп,"250 гр. Китайский бульон, курица, капуста, грибы.  /  Chicken chunks, cabbage, mushrooms, vinegar, spices.",Супы / Soups,220 с,https://nambafood.kg/dish_image/97914.png
Cream of tomato / Томатный крем-суп,250 гр. Крем-суп из томатов с сухариками.  /  Tomato cream soup with crue tones.,Супы / Soups,200 с,https://nambafood.kg/dish_image/97915.png
Cream of mushroom / Грибной крем-суп,250 гр. Нежный крем-суп из шампиньонов.  /  Cream soup with button mushrooms.,Супы / Soups,240 с,https://nambafood.kg/dish_image/97919.png
Broccoli spinach soup / Суп из брокколи и шпината,"250 гр. Суп из брокколи и шпината, сметана.  /  Soup-purée with spinach and broccoli, cream.",Супы / Soups,240 с,https://nambafood.kg/dish_image/97921.png
