Наименование,Описание,Категория,Цена,Фото
Блинчики со сметаной,3 шт.,Поздний Завтрак,150 с,https://nambafood.kg/dish_image/87354.png
Блинчики с творогом,3 шт.,Поздний Завтрак,200 с,https://nambafood.kg/dish_image/69855.png
Блинчики с мясом,3 шт.,Поздний Завтрак,280 с,https://nambafood.kg/dish_image/69854.png
Блинчики с семгой,3 шт.,Поздний Завтрак,390 с,https://nambafood.kg/dish_image/69853.png
Панкейки обычные,3 шт.,Поздний Завтрак,130 с,https://nambafood.kg/dish_image/69861.png
Шоколадные панкейки,3 шт.,Поздний Завтрак,150 с,https://nambafood.kg/dish_image/69856.png
Омлет из двух яиц,,Поздний Завтрак,160 с,https://nambafood.kg/dish_image/69857.png
Яичница из двух яиц,,Поздний Завтрак,130 с,https://nambafood.kg/dish_image/69863.png
Яичница бенедикт на подушке из шпината,(из одного яйца),Поздний Завтрак,210 с,https://nambafood.kg/dish_image/70120.png
Салат с теплым лососем,"165 гр. Кусочки лосося в сочетании салата микс, томатами черри и малиново - кунжутной заправкой",Салаты,490 с,https://nambafood.kg/dish_image/69960.png
Салат с телятиной и шпинатом под имбирным соусом,"220 гр Телятина, лук, перец, соя, имбирь, чеснок, шпинат, китайский, уксус",Салаты,420 с,https://nambafood.kg/dish_image/69961.png
Салат витаминка,"180 гр. Капуста, морковь, свекла, тыква, яблоки, семечки подсолнечные, оливковое масло",Салаты,190 с,https://nambafood.kg/dish_image/70115.png
Оливье с семгой,"200 гр. зеленый горошек, зелень, майонез, маринованные огурцы, семга, картофель, морковь, яйцо",Салаты,360 с,https://nambafood.kg/dish_image/69749.png
Оливье с мясом,"200 гр. зеленый горошек, зелень, майонез, маринованные огурцы, говядина, картофель, морковь, яйцо",Салаты,300 с,https://nambafood.kg/dish_image/69748.png
Салат с ростбифом и маринованным перцем,"200 гр. телятина, грибы, вяленые томаты, руккола, маринованный перец, пармезан",Салаты,480 с,https://nambafood.kg/dish_image/87352.png
Салат Греческий,"230 гр. Томаты, огурцы, болгарский перец, зелень, сыр фета, масло оливковое",Салаты,330 с,https://nambafood.kg/dish_image/69736.png
Цезарь с креветками,"Салат айсберг, соус цезарь, помидоры черри, креветки, сыр пармезан",Салаты,530 с,https://nambafood.kg/dish_image/135518.png
Цезарь с копченым лососем,"220 Гр. салат айсберг, соус цезарь, помидор черри, лосось копченный, сыр пармезан",Салаты,490 с,https://nambafood.kg/dish_image/69742.png
Цезарь с куриной грудкой,"220 гр Салат айсберг, соус цезарь, помидоры черри, куриная грудка, сыр пармезан",Салаты,390 с,https://nambafood.kg/dish_image/69741.png
Салат со шпинатом и курицей,в панировке из кус-куса,Салаты,360 с,https://nambafood.kg/dish_image/87337.png
Спринг ролл с креветками и овощами,"300гр Морковь, чеснок, перец чили, помидоры, соевый соус, рисовая бумага",Холодные закуски,530 с,https://nambafood.kg/dish_image/72423.png
Пивная закуска,"350 гр. Сыр чечил, крабовые палочки в кляре, чесночные гренки, луковые кольца. чипсы из лаваша, соус чесночный, мексиканский соус",Холодные закуски,590 с,https://nambafood.kg/dish_image/136966.png
Мясное ассорти,"160 гр/30 гр. говядина копченая, куриный рулет, говяжий язык отварной, конина копченая, острый томатный соус сальса",Холодные закуски,850 с,https://nambafood.kg/dish_image/69940.png
Рыбное ассорти,"150/30 гр. копченая семга, копченый эсколар, икра красная, икра черная, соус беарнез",Холодные закуски,850 с,https://nambafood.kg/dish_image/69941.png
Сырная тарелка,"160/30 г. дорблю, грана подана, камамбер, чеддер",Холодные закуски,750 с,https://nambafood.kg/dish_image/69942.png
Соленья по-домашнему,"250 гр. капуста, шампиньоны, патиссоны, корнишоны, помидоры черри",Холодные закуски,330 с,https://nambafood.kg/dish_image/69752.png
Кавказская закуска,400 гр. Яичные блинчики с уткой и соусом хойсин,Холодные закуски,410 с,https://nambafood.kg/dish_image/69753.png
Куриные крылышки в мексиканском стиле,"200/30/30 гр. куриные крылышки, хлебные чипсы, соус сальса",Горячие закуски,390 с,https://nambafood.kg/dish_image/136965.png
Запеченный баклажан с брынзой и лавашом,"250/30 гр. баклажан, огурцы, чеснок, йогурт греческий, лаваш, сыр брынза",Горячие закуски,350 с,https://nambafood.kg/dish_image/136964.png
Жареный спринг ролл с курицей и овощами,"350 гр. Курица, морковь, болгарский перец, цукини, соус сладко-острый",Горячие закуски,390 с,https://nambafood.kg/dish_image/99022.png
Мини чебуреки с говядиной,150 гр.,Горячие закуски,280 с,https://nambafood.kg/dish_image/136962.png
Мини чебуреки с курицей,,Горячие закуски,250 с,https://nambafood.kg/dish_image/136963.png
Креветки в кокосовых стружках и с соусами из «Манго» и «Чили»,,Горячие закуски,690 с,https://nambafood.kg/dish_image/136960.png
Хачапури,"Брынза, сулугуни, зелень, тесто",Горячие закуски,480 с,https://nambafood.kg/dish_image/136961.png
Крем-суп чечевичный,"300/30/20 гр. чечевица, сливки, лук, морковь, лимон, томатная паста",Супы,260 с,https://nambafood.kg/dish_image/69771.png
Суп-лапша по-домашнему с курицей,300/50 гр.,Супы,280 с,https://nambafood.kg/dish_image/69769.png
Суп с морепродуктами,"300/100 гр. судак, форель, мидии, лук, тигровые креветки, помидоры, брускетта",Супы,690 с,https://nambafood.kg/dish_image/87339.png
Крем-суп грибной,"300/10 гр. шампиньоны, сливки, гренки чесночные",Супы,300 с,https://nambafood.kg/dish_image/69773.png
Том -ям с курицей и рисом,"300/100/30 гр. шампиньоны, лемонграсс, кокосовое молоко, паста том-ям, соус чили, перец болгарский, рис, креветочные чипсы",Супы,450 с,https://nambafood.kg/dish_image/69951.png
Том-ям с креветками и рисом,"300/100/30 гр. шампиньоны, лемонграсс, кокосовое молоко, паста том-ям, соус чили, перец болгарский, рис, креветочные чипсы",Супы,480 с,https://nambafood.kg/dish_image/69950.png
"Филе лосося в карамельной глазури с овощами и соусом ""Биск""","180/120/50 гр. филе семги, брокколи, цветная капуста, соус ""биск""",Блюда из морепродуктов,850 с,https://nambafood.kg/dish_image/87350.png
Филе лосося в сливочно-икорном соусе,"150/50/30 гр. лосось, сливки, сыр сливочный, икра красная,  специи, лимон",Блюда из морепродуктов,850 с,https://nambafood.kg/dish_image/69800.png
Курица с овощами и соусом терияки,"300 гр. курица в панировке, цуккини, морковь, перец болгарский, брокколи",Блюда из птицы,430 с,https://nambafood.kg/dish_image/136967.png
Куриный рулет с вялеными томатами,"180/80/90 гр. курица, зелень пак-чой, шпинат, цукини, морковь, сельдерей, лук, вяленые томаты.",Блюда из птицы,430 с,https://nambafood.kg/dish_image/136968.png
Курица с грибами в сливочном соусе,"300 гр. курица,сыр грана-падано , сливки, шампиньоны",Блюда из птицы,430 с,https://nambafood.kg/dish_image/136969.png
Курица в кисло-сладком соусе с кунжутом и рисом,"200/30 гр. куриное филе, специи, масло растительное, яйца, кунжутные семечки",Блюда из птицы,430 с,https://nambafood.kg/dish_image/136970.png
Филе говядины с овощным сотэ,"150/100 гр. говядина, цуккини, морковь, помидоры черри, соус демигласс",Блюда из мяса,730 с,https://nambafood.kg/dish_image/136976.png
Бефстроганов,,Блюда из мяса,490 с,https://nambafood.kg/dish_image/136972.png
Томленые говяжьи ребра со шпинатом,,Блюда из мяса,850 с,https://nambafood.kg/dish_image/136974.png
Рибай стейк,200/120/100 гр.,"Блюда на ""Хоспере""",880 с,https://nambafood.kg/dish_image/136978.png
"Стейк ""Томагавк"" с микс салатом и картофельными клиньями",450 г,"Блюда на ""Хоспере""",1600 с,https://nambafood.kg/dish_image/136979.png
Ти-бон стейк,"200/120/100 гр. рекомендуемая прожарка ""Medium - Medium Well""","Блюда на ""Хоспере""",850 с,https://nambafood.kg/dish_image/136977.png
Мясной сет,"1300 г. Стейки рибай, ти-бон, куриные крылышки, куриные эскалопы, томленые говяжьи ребра",Сеты,3200 с,https://nambafood.kg/dish_image/87343.png
Ассорти колбасок,"600/380/250 гр. колбаски бараньи, куриные, говяжьи, квашеная капуста, чили перец, специи",Сеты,1500 с,https://nambafood.kg/dish_image/72436.png
Сет гарниров,"500 гр. картошка фри, рис, овощи гриль , листья салатов",Сеты,450 с,https://nambafood.kg/dish_image/87344.png
Картофельные клинья,150 гр.,Гарниры,150 с,https://nambafood.kg/dish_image/136980.png
Рис белый,150 гр.,Гарниры,100 с,https://nambafood.kg/dish_image/136981.png
Картофель фри,150 гр.,Гарниры,150 с,https://nambafood.kg/dish_image/136982.png
Картофель жареный по-домашнему,200 гр.,Гарниры,190 с,https://nambafood.kg/dish_image/136983.png
Овощи гриль,200 гр.,Гарниры,150 с,https://nambafood.kg/dish_image/136984.png
Картофельное пюре,150 гр.,Гарниры,150 с,https://nambafood.kg/dish_image/136985.png
Картофельное пюре со шпинатом,150 гр.,Гарниры,150 с,https://nambafood.kg/dish_image/136986.png
Фарфалле Аль-Арабьята,"300 гр. фарфалле, помидоры, сок томатный, сыр пармезан, перец чили",Паста. Ризотто. Бириани,350 с,https://nambafood.kg/dish_image/69829.png
Фетучини с лососем,300 гр.,Паста. Ризотто. Бириани,680 с,https://nambafood.kg/dish_image/69832.png
Тальятелле с белыми грибами,300 гр.,Паста. Ризотто. Бириани,490 с,https://nambafood.kg/dish_image/69831.png
Спагетти Болоньезе,"300 гр. говядина, спагетти, лук, морковь, вино красное, сок томатный",Паста. Ризотто. Бириани,450 с,https://nambafood.kg/dish_image/69833.png
Маргарита,"650 гр. помидоры, сыр моцарелла, сыр голландский, пицца соус,",Пицца,430 с,https://nambafood.kg/dish_image/69836.png
Пицца пепперони,"650 гр. колбаски пепперони, перец сладкий, перец острый, оливки, орегано, сыр моцарелла",Пицца,500 с,https://nambafood.kg/dish_image/69840.png
Пицца с курицей и шпинатом,"650 гр. куриная грудка, сливки, сыр, лук репчатый, шпинат",Пицца,550 с,https://nambafood.kg/dish_image/69838.png
Мексиканская острая,"650 гр. говядина рубленная, фасоль стручковая, перчик чили, помидоры, пицца соус",Пицца,550 с,https://nambafood.kg/dish_image/69837.png
Четыре сыра,"650 гр. сыры моцарелла, дор-блю, пармезан, голландский, пицца соус",Пицца,750 с,https://nambafood.kg/dish_image/69839.png
"Кесадилья с курицей, сыром и шпинатом",300/100/30 гр.,Фастфуд,400 с,https://nambafood.kg/dish_image/69844.png
