Наименование,Описание,Категория,Цена,Фото
Американо 250 мл,Двойной эспрессо с добавлением горячей воды,Кофе,159 с,https://nambafood.kg/dish_image/144951.png
Капучино 200 мл,"На основе эспрессо и молока, с плотной молочной пеной",Кофе,159 с,https://nambafood.kg/dish_image/144954.png
Капучино 300 мл,"На основе эспрессо и молока, с плотной молочной пеной",Кофе,229 с,https://nambafood.kg/dish_image/144953.png
Латте 300 мл,"Классический эспрессо, молоко и небольшое количество  молочной пены",Кофе,200 с,https://nambafood.kg/dish_image/144956.png
Латте 470 мл,"Классический эспрессо, молоко и небольшое количество молочной пены",Кофе,239 с,https://nambafood.kg/dish_image/144955.png
Флэт уайт,Двойной ристретто с подогретым молоком,Кофе,199 с,https://nambafood.kg/dish_image/144957.png
Раф классический,"Одинарный эспрессо, сливки и ванильный сахар",Кофе,259 с,https://nambafood.kg/dish_image/144958.png
Какао,На основе какао порошка и молока,Кофе,159 с,https://nambafood.kg/dish_image/144959.png
Горячий шоколад,,Кофе,159 с,https://nambafood.kg/dish_image/144960.png
Кемекс моносорт 500 мл,"Кофе заваривается путём пролива горячей воды через бумажный фильтр в колбу под названием «кемекс», даёт нежный и лишённый горечи вкус",Кофе,299 с,https://nambafood.kg/dish_image/144961.png
Пуровер моносорт 250 мл,"Кофе заваривается путём пролива горячей воды через воронку с бумажным фильтром, даёт чистый вкус кофе, в котором раскрываются самые тонкие оттенки",Кофе,159 с,https://nambafood.kg/dish_image/144963.png
Пуровер лимит 250 мл,"Кофе заваривается путём пролива горячей воды через воронку с бумажным фильтром, даёт чистый вкус кофе, в котором раскрываются самые тонкие оттенки",Кофе,199 с,https://nambafood.kg/dish_image/144964.png
Аэропресс моносорт 250 мл,"При заваривании горячая вода подаётся на фильтр с молотым кофе под давлением, что даёт плотный и насыщенный вкус и яркий аромат",Кофе,159 с,https://nambafood.kg/dish_image/144990.png
Аэропресс лимит 250 мл,"При заваривании горячая вода подаётся на фильтр с молотым кофе под давлением, что даёт плотный и насыщенный вкус и яркий аромат",Кофе,199 с,https://nambafood.kg/dish_image/144991.png
Фильтр-кофе моносорт 250 мл,Кофе приготовленный с помощью капельной кофеварки,Кофе,159 с,https://nambafood.kg/dish_image/144999.png
Латте «Сингапур»,"Эспрессо, молоко, карамельнолемонграссовый соус",Авторский кофе,229 с,https://nambafood.kg/dish_image/144965.png
Латте «Натс»,"Эспрессо, молоко, ореховый соус",Авторский кофе,229 с,https://nambafood.kg/dish_image/144966.png
Латте «Халва»,"Эспрессо, молоко, соус из халвы",Авторский кофе,229 с,https://nambafood.kg/dish_image/144967.png
Матча-латте,"Молоко, зелёная матча",Авторский кофе,229 с,https://nambafood.kg/dish_image/144968.png
