Наименование,Описание,Категория,Цена,Фото
Рибай стейк (сухого вызревания),Цена за 100 г продукта (в сыром виде) Рибай делается из реберного отруба. Имеет насыщенный говяжий аромат и превосходную текстуру. По праву считается одним из самых нежных и сочных стейков.,Стейк меню,290 с,https://nambafood.kg/dish_image/28182.png
Томагавк стейк (сухого вызревания),"Цена за 100 г продукта (в сыром виде) Томагавк — это толстый край, подается на длинном зачищенном ребре. Кость при жарке придает стейку приятный ореховый аромат.",Стейк меню,250 с,https://nambafood.kg/dish_image/126401.png
Ти-бон стейк (сухого вызревания),"Цена за 100 г продукта (в сыром виде) Ти-бон — сочетает сразу два вида мяса: стриплойн и бон филе. Они разделяются тонкой косточкой, придающей приготовленному стейку легкий ореховый привкус.",Стейк меню,290 с,https://nambafood.kg/dish_image/126390.png
Стейк Рибай мраморный,"Цена за 100 г продукта (в сыром виде)  Рибай — настоящая жемчужина деликатесного мяса. Тонкие жировые прослойки, пронизывающие стейк, при приготовлении наполняют мясо соком, делая его нежным и ароматным.",Стейк меню,810 с,https://nambafood.kg/dish_image/63357.png
Ковбой стейк,"400 г. Стейк ковбой — это рибай, подающийся на коротком зачищенном ребре. Кость при жарке придает стейку приятный ореховый аромат.",Стейк меню,790 с,https://nambafood.kg/dish_image/51633.png
Медальоны под винным соусом,"180/30 г. Готовятся из центральной части вырезки. Это нежное деликатесное мясо, которое отличается постностью и мягкостью. Рекомендуемая прожарка medium rare.",Стейк меню,790 с,https://nambafood.kg/dish_image/51621.png
Овощное ассорти по-кавказски,"430 г. Томаты, огурцы, паприка, редис, зелень, сыр сулугуни.",Холодные закуски,450 с,https://nambafood.kg/dish_image/39020.png
Ассорти солений,"400 г. Грузди, квашеная капуста, соленые огурцы, патиссоны.",Холодные закуски,320 с,https://nambafood.kg/dish_image/83304.png
Атлантика,"250 г. Филе сельди, картофель, лук.",Холодные закуски,290 с,https://nambafood.kg/dish_image/83305.png
Сырное плато,"190 г. Пармезан, дорблю, бри, чеддер.",Холодные закуски,690 с,https://nambafood.kg/dish_image/51636.png
Рыбное ассорти,"200 г. Семга копченая, эсколар копченый, форель слабосоленая, семга слабосоленая.",Холодные закуски,820 с,https://nambafood.kg/dish_image/51627.png
Мясное плато,"260 г. Чучук, копчёное бон филе, говяжий язык, конина копчёная.",Холодные закуски,850 с,https://nambafood.kg/dish_image/28073.png
Сырные палочки,140/30 г. Батонетты из сыра сулугуни с медово-горчичным соусом.,Горячие закуски,290 с,https://nambafood.kg/dish_image/51637.png
Куриные крылья Баффоло,"300/30 гр. Запеченые крылья BBQ, сервированные соусом блю чиз.",Горячие закуски,390 с,https://nambafood.kg/dish_image/126400.png
Цыпленок табака,1 шт.,Горячие закуски,620 с,https://nambafood.kg/dish_image/105856.png
Капрезе,"225 г. Слайсы из томатов, моцареллы с соусом песто и бальзамическим кремом.",Салаты,420 с,https://nambafood.kg/dish_image/126414.png
Оливье,"200 г. Картофель, яйца, морковь, маринованные огурцы, зеленый горошек, говядина.",Салаты,310 с,https://nambafood.kg/dish_image/126413.png
Греческий салат,"350 г. Огурцы, томаты, паприка, сыр фета, масло оливковое, маслины.",Салаты,350 с,https://nambafood.kg/dish_image/126410.png
Тёплый салат с форелью,"200 г. Форель, баклажаны, кабачки, лук репчатый, морковь, паприка, капуста, соус кимчи.",Салаты,435 с,https://nambafood.kg/dish_image/51640.png
Салат из форели с апельсином,"250 г. Форель Гравлакс, салатный микс, черри, творожный сыр, лимонный дрессинг.",Салаты,435 с,https://nambafood.kg/dish_image/126404.png
Острый салат с языком,"300 г. Говяжий язык, овощной жульен, пикантный соус.",Салаты,410 с,https://nambafood.kg/dish_image/126409.png
Теплый салат с телятиной,"290 г. Телятина, кабачки, баклажаны, паприка, ибмирь, сыр фета.",Салаты,490 с,https://nambafood.kg/dish_image/126408.png
Цезарь с креветками,"200 г. Салатный микс, черри, жареные креветки, пармезан, пшеничные гренки, соус Цезарь.",Салаты,435 с,https://nambafood.kg/dish_image/126411.png
Цезарь с курицей,"275 г. Салатный микс, черри, куриная грудка, пармезан, пшеничные гренки, соус Цезарь.",Салаты,420 с,https://nambafood.kg/dish_image/126412.png
Салат «Витаминка»,"180 г. Капуста, морковь, свекла, яблоко, оливковое масло",Салаты,240 с,https://nambafood.kg/dish_image/126402.png
Борщ,"300 г. Свёкла, капуста белокочанная, морковь, лук репчатый, томатная паста, бульон мясной, говядина, картофель.",Супы,290 с,https://nambafood.kg/dish_image/111064.png
Солянка,"300 г. Язык говяжий, конина копчёная, говядина, копчёная куриная грудка, солёные огурцы, маслины, лук, томатная паста.",Супы,365 с,https://nambafood.kg/dish_image/76754.png
Том Ям Кунг,"300 г. Креветки, курица, кокосовое молоко, паста том-ям, помидоры черри, кинза.",Супы,390 с,https://nambafood.kg/dish_image/105857.png
Чечевичный суп-пюре,"300 г. Чечевица, томаты, имбирь, масло оливковое.",Супы,285 с,https://nambafood.kg/dish_image/51641.png
Суп лапша по-домашнему,"300 г. Домашняя курица, яичная лапша, зелень.",Супы,290 с,https://nambafood.kg/dish_image/99168.png
Суп «Трио»,"300 г. Брокколи, цветная капуста, шпинат, чечевица, картофель, оливковое масло.",Супы,290 с,https://nambafood.kg/dish_image/126403.png
Вок с курицей,"270 г. Куриная грудка, баклажан, кабачок, паприка, ростки сои, соус вок.",Вок,320 с,https://nambafood.kg/dish_image/51610.png
Вок с говядиной,"270 г. Нежные ломтики бон филе, баклажан, кабачок, паприка, ростки сои, соус вок",Вок,390 с,https://nambafood.kg/dish_image/63363.png
Вок вегетарианский с гречневой лапшой,"275 г. Баклажан, кабачок, паприка, шпинат, черри, ростки сои, соус вок.",Вок,330 с,https://nambafood.kg/dish_image/126406.png
Вок вегетарианский с рисовой лапшой,"275 г. Баклажан, кабачок, паприка, шпинат, черри, ростки сои, соус вок.",Вок,330 с,https://nambafood.kg/dish_image/126407.png
Стейк из форели,"150/30 г. Готовится на гриле, подается с соусом Тартар.",Рыба и морепродукты,655 с,https://nambafood.kg/dish_image/76758.png
Креветки в сливочном соусе,"90/20 г. Обжареный бренуаз из стебля сельдерея и лука шалот, с тигровыми креветками.",Рыба и морепродукты,780 с,https://nambafood.kg/dish_image/51615.png
Стейк из сёмги,180/30 г. Готовится на гриле или на пару с сливочным соусом.,Рыба и морепродукты,890 с,https://nambafood.kg/dish_image/51632.png
Дорадо на гриле,350 г. Готовится на гриле или на пару со сливочным соусом.,Рыба и морепродукты,990 с,https://nambafood.kg/dish_image/126384.png
Шашлык из курицы,200 г,Блюда на мангале,395 с,https://nambafood.kg/dish_image/126385.png
Шашлык из ягненка,200 г,Блюда на мангале,540 с,https://nambafood.kg/dish_image/126386.png
Шашлык из рибая (говядина),200 г,Блюда на мангале,540 с,https://nambafood.kg/dish_image/126387.png
Шашлык из говяжей печени,200 г,Блюда на мангале,320 с,https://nambafood.kg/dish_image/126388.png
Ассорти шашлыков,1 кг,Блюда на мангале,2450 с,https://nambafood.kg/dish_image/126383.png
