Наименование,Описание,Категория,Цена,Фото
Мясная тарелка,"240 г. Казы, говяжий язык, шпигованная говядина.",Закуски,650 с,https://nambafood.kg/dish_image/79301.png
Селедка с картошкой,"250 г. Сельдь, картофель, маринованые огурцы, лук.",Закуски,350 с,https://nambafood.kg/dish_image/79305.png
Домашние соленья,"450 г. Маринованые грибы, помидоры черри, корнишоны, маринованная капуста.",Закуски,550 с,https://nambafood.kg/dish_image/79303.png
Рулеты из баклажанов,"250 г. Баклажаны, помидоры, зелень, майонез.",Закуски,320 с,https://nambafood.kg/dish_image/79462.png
Рыбное ассорти,"350 г. Семга, эсколар, горбуша, скумбрия.",Закуски,1050 с,https://nambafood.kg/dish_image/79412.png
Перец фаршированный,"200 г. Острый перец, начиненный говядиной и обжаренный в яичном кляре.",Закуски,330 с,https://nambafood.kg/dish_image/79371.png
Овощное ассорти,"450 г. Помидоры, огурцы, зелень, болгарский перец, брынза.",Закуски,350 с,https://nambafood.kg/dish_image/79302.png
Французский салат,"300 г. Капуста, морковь, свекла, картофель пай, говядина, майонез.",Салаты,310 с,https://nambafood.kg/dish_image/104412.png
Восточный салат,"250 г. Огурцы, помидоры, говядина, яичные блины, зеленый горошек, соевый соус, салатное масло.",Салаты,310 с,https://nambafood.kg/dish_image/79291.png
Винегрет,"250 г. Квашеная капуста, зеленый горошек, свекла, картофель, маринованные огурцы, салатное масло, укроп.",Салаты,210 с,https://nambafood.kg/dish_image/79296.png
Салат «Лейла»,"220 г. Говядина, огурцы, помидоры, морковь, болгарский перец, салатное масло, соевый соус.",Салаты,310 с,https://nambafood.kg/dish_image/79290.png
Салат «Лаззат»,"200 г. Яичные блины, говядина, майонез.",Салаты,300 с,https://nambafood.kg/dish_image/79292.png
Салат «Гурман»,"250 г. Огурцы, помидоры, сыр, салатные листья, салатное масло, язык.",Салаты,310 с,https://nambafood.kg/dish_image/79295.png
Ачичук,"230 г. Огурцы, помидоры, болгарский перец, укроп.",Салаты,200 с,https://nambafood.kg/dish_image/79289.png
Колхозный салат,"260 г. Огурцы, помидоры, болгарский перец, лук, кукуруза. Масло или майонез на выбор.",Салаты,200 с,https://nambafood.kg/dish_image/79281.png
Шакарап,"200 г. Помидоры, лук репчатый.",Салаты,180 с,https://nambafood.kg/dish_image/79288.png
Салат «Шпинат»,"200 г. Шпинат, говядина, лук, помидоры, болгарский перец, салатное масло, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/79299.png
Салат «Орзу»,"240 г. Морковь, огурцы, помидоры, салатное масло, лук.",Салаты,190 с,https://nambafood.kg/dish_image/79294.png
Греческий салат,"300 г. Огурцы, помидоры, салатные листья, маслины, фетакса, оливковое масло.",Салаты,325 с,https://nambafood.kg/dish_image/79280.png
Сельдь под шубой,"250 г. Картофель, морковь, сельдь, свекла, яйцо, майонез.",Салаты,270 с,https://nambafood.kg/dish_image/79276.png
Капустный салат с маслом,"200 г. Капуста, огурцы, масло.",Салаты,190 с,https://nambafood.kg/dish_image/79279.png
Салат «Гнездо»,"280 г. Огурцы, говядина копченная, яйцо, картофель пай, майонез.",Салаты,310 с,https://nambafood.kg/dish_image/79282.png
Королевский салат,"200 г. Свекла, грецкий орех, салатное масло или майонез на выбор.",Салаты,190 с,https://nambafood.kg/dish_image/79278.png
Нежный салат,"250 г. Крабовые палочки, рис, яйцо, огурцы, майонез, кукуруза, зеленый лук.",Салаты,300 с,https://nambafood.kg/dish_image/104158.png
Салат «Падишах»,"250 г. Баклажаны, морковь, болгарский перец, лук, помидоры, салатное масло, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/79284.png
Оливье с курицей,"230 г. Картофель, морковь, куриная грудка, маринованные огурцы, зеленый горошек, яйцо, майонез.",Салаты,230 с,https://nambafood.kg/dish_image/79277.png
Салат «Джуджа»,"250 г. Огурцы, помидоры, куриная грудка, сухарики, оливковое масло, салатные листья.",Салаты,290 с,https://nambafood.kg/dish_image/79293.png
Цезарь с  курицей,"270 г. Пекинская капуста, салатные листья, куриная грудка, пармезан, соус Цезарь, помидоры черри.",Салаты,400 с,https://nambafood.kg/dish_image/79297.png
Требуха жареная,"250 г. Требуха, морковь, лук, болгарский перец, салатное масло.",Салаты,300 с,https://nambafood.kg/dish_image/79374.png
Мясной салат с грибами и яйцами,250 г,Салаты,330 с,https://nambafood.kg/dish_image/79463.png
Мясо хе,"250 г. Говядина, морковь, болгарский перец, лук, салатное масло, соевый соус.",Салаты,350 с,https://nambafood.kg/dish_image/79372.png
Санта Мария,"270 г. Маринованные огурцы, куриный рулет, сыр, яйцо, грибы, майонез.",Салаты,300 с,https://nambafood.kg/dish_image/79283.png
Требуха хе,"250 г. Требуха, морковь, лук, болгарский перец, салатное масло, соевый соус.",Салаты,300 с,https://nambafood.kg/dish_image/79375.png
Рыба хе,"220 г. Судак, лук, болгарский перец, салатное масло.",Салаты,350 с,https://nambafood.kg/dish_image/79353.png
Салат из запеченной тыквы с сыром фета,"300 г. Тыква, сыр фета, айсберг, руккола, шпинат, помидоры черри, оливковое масло, бальзамик.",Салаты,350 с,https://nambafood.kg/dish_image/107537.png
