Наименование,Описание,Категория,Цена,Фото
Холодец,200 гр,Закуски,380 с,https://nambafood.kg/dish_image/99335.png
Брускетты с семгой,,Закуски,690 с,https://nambafood.kg/dish_image/140412.png
Сырная тарелка,"320 гр  Состав: ассорти из французских сыров, винограда, грец. орехи.",Закуски,665 с,https://nambafood.kg/dish_image/95858.png
Том Ям,"Сочетание креветок, шампиньонов, помидор черри и лемонграсса изысканно дополняют дольки лайма и перчика чили. Подается с рисом.",Супы,510 с,https://nambafood.kg/dish_image/102186.png
Суп с фрикадельками,"Состав: яйцо, гренки    300 мл.",Супы,285 с,https://nambafood.kg/dish_image/95818.png
Чечевичный суп,300 мл.,Супы,225 с,https://nambafood.kg/dish_image/95930.png
Цезарь,"300 гр. Состав: куриное филе, листья салата, чесночные сухарики, сыр пармезан, соус",Салаты,545 с,https://nambafood.kg/dish_image/99579.png
Греческий,"300 гр. Состав: помидоры, сыр фета, огурцы, оливки, листья салата, сок лимона, базилик, оливковое масло.",Салаты,380 с,https://nambafood.kg/dish_image/95838.png
«Капрезе»,"200 гр (помидоры, сыр моцарелла, кедровые орехи, базилик, петрушка, сок лимона, оливковое масло)",Салаты,620 с,https://nambafood.kg/dish_image/102190.png
Цезарь с креветками,"300 гр  Состав: тигровые креветки, салат, чесночные сухарики, пармезан.",Салаты,795 с,https://nambafood.kg/dish_image/95835.png
Каспийский,"250 гр  Состав: семга, прессованный творог, салат, соус.",Салаты,595 с,https://nambafood.kg/dish_image/95837.png
Ростбиф с рукколой,"Бон филе, руккола, сыр пармезан, помидоры черри, крем бальзамик",Салаты,710 с,https://nambafood.kg/dish_image/140409.png
Салат с морепродуктами,"Креветки, семга, кальмар, греческий микс салата",Салаты,890 с,https://nambafood.kg/dish_image/140410.png
Спагетти «Болоньезе»‎‎,350 гр.,Паста,670 с,https://nambafood.kg/dish_image/95849.png
Фетучини с грибами,350 гр.,Паста,660 с,https://nambafood.kg/dish_image/95847.png
Фетучини с семгой,"Семга, спагетти, сыр пармезан, сливочный соус",Паста,980 с,https://nambafood.kg/dish_image/140411.png
Бургер с телятиной,"Котлета из телятины, томаты, лук, листья салата, солёные огурцы, фирменный соус, булочка.",Блюда из мяса,490 с,https://nambafood.kg/dish_image/140413.png
Стейк из форели,200 гр.,Рыба,790 с,https://nambafood.kg/dish_image/96005.png
Рыба «Дорадо»‎‎,"250 гр. Способы приготовления: на гриле, на пару.",Рыба,1190 с,https://nambafood.kg/dish_image/140407.png
Рыба «Сибас»‎‎,"250 гр. Способы приготовления: на гриле, на пару.",Рыба,1190 с,https://nambafood.kg/dish_image/95826.png
Тибон-стейк,320 гр. Состав: говядина,Блюда на мангале,1180 с,https://nambafood.kg/dish_image/95862.png
Баранина на ребрышке,250 гр.,Блюда на мангале,1195 с,https://nambafood.kg/dish_image/99586.png
Рибай стейк,300 гр.,Блюда на мангале,1240 с,https://nambafood.kg/dish_image/140408.png
Рис отварной,150  гр.,Гарниры,170 с,https://nambafood.kg/dish_image/99341.png
Картофель фри,150  гр.,Гарниры,235 с,https://nambafood.kg/dish_image/95876.png
