Наименование,Описание,Категория,Цена,Фото
Салат с тунцом,Салат из тунца и овощей с листьями салатов и вареными яйцами.,Салаты,529 с,https://nambafood.kg/dish_image/86026.png
Салат с морепродуктами,"Кальмары, мидии, форель, креветки, масло оливковое, руккола, айсберг, лоло росса, листья салата, специи.",Салаты,529 с,https://nambafood.kg/dish_image/127557.png
Черная фунчоза,"Фунчоза черная, бон филе, перец калифорния, шампиньоны, чеснок, соус устричный, соевый соус, уксус китайский, кунжут, зелень, специи.",Салаты,349 с,https://nambafood.kg/dish_image/127581.png
Цезарь с курицей,"Хрустящие листья салата, сочные помидоры, сыр пармезан и классический соус цезарь в сочетании с нежным куриным филе и хрустящими сухариками.",Салаты,399 с,https://nambafood.kg/dish_image/86023.png
Цезарь с креветками,"Хрустящие листья салата, сочные помидоры, сыр пармезан и классический соус цезарь в сочетании с нежными креветками и хрустящими сухариками",Салаты,449 с,https://nambafood.kg/dish_image/86024.png
Теплый салат по-китайски,"Салат сделанный из мяса, баклажана и других овощей с соевым соусом",Салаты,379 с,https://nambafood.kg/dish_image/86021.png
Греческий салат,"Салат из помидоров, огурцов, феты, шалота и маслин, заправленный оливковым маслом с солью, чёрным перцем, орегано",Салаты,309 с,https://nambafood.kg/dish_image/86022.png
Острый салат с языком,"Отварной язык с овощами, приправленный соевым соусом с мелко нарезанным чесноком",Салаты,399 с,https://nambafood.kg/dish_image/86020.png
Мясной салат с зеленью,"Листья салата, лолло россо, шпинат, телятина обжаренная, греческий соус.",Салаты,419 с,https://nambafood.kg/dish_image/86025.png
Салат из баклажан с соусом свит чили,"Баклажан, помидоры, базилик, мята и соус.",Салаты,329 с,https://nambafood.kg/dish_image/127559.png
Ассорти соленья,"Черри маринованные, корнишоны, капуста квашеная, патисоны, зелень, грузди маринованные.",Холодные закуски,339 с,https://nambafood.kg/dish_image/127561.png
Мясное ассорти,Ассорти из разновидных видов мяса и колбасы,Холодные закуски,759 с,https://nambafood.kg/dish_image/86029.png
Рыбное ассорти,"Эсколар, семга копченая, форель копченая, креветки, икра красная, маслины, базилик.",Холодные закуски,899 с,https://nambafood.kg/dish_image/86030.png
Сырное ассорти,"Ассорти из сыра, пармезан, чеддар и другие виды сыра.",Холодные закуски,719 с,https://nambafood.kg/dish_image/86028.png
Селедка под водку,"Селедка, картофель, огурцы солены, зелень.",Холодные закуски,339 с,https://nambafood.kg/dish_image/127564.png
Ассорти колбасок,"Колбаски в ассортименте, капуста квашеная, горчица, соус, листья салата.",Горячие закуски,729 с,https://nambafood.kg/dish_image/127566.png
Крылышки Buffalo,Ароматные крылышки в пряном соусе с легкой остринкой,Горячие закуски,369 с,https://nambafood.kg/dish_image/86032.png
Наггетсы,Нежное куриное филе обжаренное в панировке.,Горячие закуски,249 с,https://nambafood.kg/dish_image/127493.png
Пивной сет № 1,"Куриные палочки, рыбные палочки, луковые кольца, чипсы, лаваш, голландский сыр, гауда, соус, чечел, зелень, листья салата.",Горячие закуски,769 с,https://nambafood.kg/dish_image/86034.png
Пивной сет № 2,"Луковые кольца, крокеты, наггетсы, сырные палочки, колбаски охотничьи, чечел, соус, зелень, листья салата.",Горячие закуски,769 с,https://nambafood.kg/dish_image/127568.png
Том-Ям,"Кисло-острый суп на основе куриного бульона с креветками, курицей, рыбой или другими морепродуктами.",Супы,539 с,https://nambafood.kg/dish_image/86047.png
Грибной крем-суп,"Вешенки, шампиньоны, картофель, лук репчатый, сливки, крутоны, специи, зелень.",Супы,269 с,https://nambafood.kg/dish_image/86038.png
Рамен,"Говяжий бульон, шампиньоны, яйцо, телятина, лук порей, перец чили.",Супы,349 с,https://nambafood.kg/dish_image/127573.png
Солянка,"Суп на крутом мясном, рыбном или грибном бульоне с острыми приправами.",Супы,309 с,https://nambafood.kg/dish_image/86041.png
Острый имбирный суп,"Телятина, лук репчатый, имбирь, кунжутное масло, сельдерей, прозрачная лапша, зелень, специи.",Супы,349 с,https://nambafood.kg/dish_image/86045.png
Мисо суп,"На основе устричного соуса, филе семги, креветки, морские водоросли, паста-мисо, лук порей, специи. Подается с отварным рисом.",Супы,419 с,https://nambafood.kg/dish_image/127575.png
Куриный суп лапша по-домашнему,"Домашняя лапша, куриное филе, овощи, специи.",Супы,249 с,https://nambafood.kg/dish_image/127577.png
Минестроне,"Легкий суп из овощей, брокколи, цветная капуста, морковь, красный лук.",Супы,299 с,https://nambafood.kg/dish_image/127579.png
Чечевичный суп,"Крем-суп из чечевицы, сливки и крутоны.",Супы,269 с,https://nambafood.kg/dish_image/86036.png
Медальоны из телятины,"Классическое блюдо французской кухни, готовят из самой нежной части вырезки",Блюда из мяса,629 с,https://nambafood.kg/dish_image/86077.png
Телятина с черными грибами,"Слайсы говядины обжаренные с болгарским перцем, луком, помидорами, с добавлением устричного соуса, древесных грибов и специй.",Блюда из мяса,459 с,https://nambafood.kg/dish_image/86075.png
Говяжьи ребрышки с соусом терияки,"Томленые ребрышки с соусом терияки, розмарином, тимьяном и кориандром, с добавлением зелени и помидоров черри. Подаются с картофельными клиньями.",Блюда из мяса,589 с,https://nambafood.kg/dish_image/86076.png
Бараньи ребрышки,"Нежные ребрышки, кабачки, морковь, перец калифорния, красный лук, специи, розмарин и тимьян.",Блюда из мяса,649 с,https://nambafood.kg/dish_image/127585.png
Удон с курицей,"Традиционное второе блюдо японской кухни, лапча из пшеничной муки с курицей",Блюда из курицы,389 с,https://nambafood.kg/dish_image/127510.png
Цыпленок с пряными травами,"Ароматный, сочный цыпленок с кислинкой лимона и изобилием душистых трав",Блюда из курицы,479 с,https://nambafood.kg/dish_image/86081.png
Стейк из курицы,"Стейк из куриного филе, приготовленный на сковороде",Блюда из курицы,459 с,https://nambafood.kg/dish_image/86088.png
Запеченная перепелка,"Перепелка запеченная с соусом сальса, на гарнир подается цветной рис.",Блюда из курицы,409 с,https://nambafood.kg/dish_image/127527.png
Судак с овощами,Вкусная рыба с небольшим количеством костей приготовленная с овощами,Блюда из рыбы,459 с,https://nambafood.kg/dish_image/86082.png
Стейк из семги,"Стейк из нежного, красного филе лосося",Блюда из рыбы,799 с,https://nambafood.kg/dish_image/86084.png
Дорадо запеченное,"Свежее дорадо с лимоном и ароматными травами, подается с ассорти из припущенных овощей.",Блюда из рыбы,709 с,https://nambafood.kg/dish_image/127590.png
Форель на гриле,Одна из вкуснейших красных рыб приготовленная на гриле,Блюда из рыбы,559 с,https://nambafood.kg/dish_image/86083.png
Королевские креветки c мидиями,"Обжаренные на оливковом масле, большие креветки с чесноком и пряными травами.",Блюда из рыбы,539 с,https://nambafood.kg/dish_image/127495.png
Тибон стейк,"Большой стейк на т-образной кости, готовится из отборной говядины специального зернового откорма, то есть из мраморного мяса",Стейки,899 с,https://nambafood.kg/dish_image/86085.png
Рибай стейк,"Наиболее известный стейк в мире, состоит из одной большой мышцы, неоспоримая классика",Стейки,899 с,https://nambafood.kg/dish_image/86087.png
Ковбой стейк,Считается одним из самых сочных и нежных стейков. Имеется насыщенный говяжий аромат и пикантный ореховый привкус. Подается с крокетами и соусом сальса.,Стейки,899 с,https://nambafood.kg/dish_image/127547.png
Нью Йорк стейк,Классический стейк из говядины. Жир при жарке насыщает мясо аппетитным ароматом и раскрывает все вкусовые нотки. Подается с овощами обжаренными на гриле и с соусом сальса.,Стейки,899 с,https://nambafood.kg/dish_image/127549.png
Мясной сет,"Тибон, Рибай, Нью Йорк, перзола баранины, колбаски в ассортименте, картофельные клинья, овощи на гриле, соусы сальса и BBQ.",Стейки,3599 с,https://nambafood.kg/dish_image/127553.png
Сет из курицы,"Куриная грудка, колбаски в ассортименте, перепелка, картофельные дольки, куриные крылья, наггетсы, листья салата, тимьян, розмарин, специи, чеснок, зелень.",Стейки,2299 с,https://nambafood.kg/dish_image/127555.png
Бургер по-мексикански,"Котлеты говяжья, булочка, помидоры, огурцы соленые, соус, кетчуп, специи, картофель фри, листья салата, красный лук, халапеньо, сыр чеддер.",Перекусы,399 с,https://nambafood.kg/dish_image/127533.png
Бургер с нежной куриной котлетой,"Котлета куриная, булочка, помидоры, огурцы, соус, кетчуп, специи, картофель фри, айсберг, красный лук, сыр чеддер.",Перекусы,359 с,https://nambafood.kg/dish_image/127535.png
Бургер с сочной котлетой из телятины,"Котлеты говяжья, булочка, помидоры, огурцы, соус, кетчуп, специи, картофель фри, листья салата, красный лук, сыр чеддер.",Перекусы,399 с,https://nambafood.kg/dish_image/127531.png
Хот дог,"Булочка, горчичный соус, кетчуп, картофель фри, венская колбаска, соус, огурцы, помидоры.",Перекусы,339 с,https://nambafood.kg/dish_image/127529.png
Кесадилья,"Лаваш, куриная грудка, фасоль, голландский сыр, зелень, перец калифорния.",Перекусы,329 с,https://nambafood.kg/dish_image/127594.png
Клаб сэндвич,"Тостерный хлеб, огурцы, помидоры, картофель фри, айсберг, кетчуп, специи, яйцо, куриная грудка.",Перекусы,329 с,https://nambafood.kg/dish_image/127596.png
Панини с курицей,"Булочка, куриная грудка, перец калифорния, репчатый лук, картофель фри, кетчуп, соус, сыр чеддер.",Перекусы,349 с,https://nambafood.kg/dish_image/127598.png
Панини с телятиной,"Булочка, вырезка, сыр голландский, майонез, сыр виола, помидоры, огурцы.",Перекусы,389 с,https://nambafood.kg/dish_image/127600.png
Сэндвич с курицей,"Булочка, куриная грудка, сыр чеддер, бургер соус, помидоры, огурцы.",Перекусы,259 с,https://nambafood.kg/dish_image/127602.png
Болоньезе,"Лосось, фетучини, сливки, сыр виола, пармезан, помидоры черри.",Паста,449 с,https://nambafood.kg/dish_image/127503.png
Альфредо с курицей,"Спагетти граноро, сливки, куриная грудка, базилик, сыр виола, пармезан.",Паста,399 с,https://nambafood.kg/dish_image/127501.png
Лингвини телятиной,"Лингвини, бон филе, помидоры, базилик, зелень, пармезан, помидоры черри.",Паста,409 с,https://nambafood.kg/dish_image/127505.png
Фетучини с курицей и грибами,"Фетучини, куриная грудка, сливки, сыр виола, пармезан, зелень, шампиньоны, базилик, помидоры черри.",Паста,449 с,https://nambafood.kg/dish_image/127499.png
Сет сборный № 1,24 шт.,Роллы,999 с,https://nambafood.kg/dish_image/127515.png
Сет сборный № 2,40 шт.,Роллы,1999 с,https://nambafood.kg/dish_image/127606.png
Хоккайдо ролл,"Угорь, рис, огурцы, яйцо, сухари панировочные, сыр креметта, васаби, соус кикоман, соус мицукан, имбирь маринованный.",Роллы,429 с,https://nambafood.kg/dish_image/127608.png
Тайга ролл,"Нори, рис, креветки, огурцы, икра тобико, имбирь маринованный, соус кикоман, васаби, соус мицукан.",Роллы,519 с,https://nambafood.kg/dish_image/127610.png
Каппа маки с огурцом,"Огурцы, нори, рис, соус кикоман, имбирь маринованный, васаби.",Роллы,279 с,https://nambafood.kg/dish_image/127612.png
Токио ролл,"Нори, рис, тунец, огурцы, сыр креметта, соус кикоман, имбирь маринованный, кунжут васаби.",Роллы,479 с,https://nambafood.kg/dish_image/127509.png
Фьюджин ролл,"Семга, икра тобико, рис, нори, пармезан, сыр креметта, имбирь маринованный, соус кикоман, соус мицукан, васаби.",Роллы,429 с,https://nambafood.kg/dish_image/127614.png
Калифорния ролл,"Рис, нори, угорь, крабовые палочки, огурцы, сыр креметта, икра тобико, имбирь, соус кикоман, васаби.",Роллы,439 с,https://nambafood.kg/dish_image/127512.png
Филадельфия ролл,"Нори, рис, креметта, семга, соус кикоман, имбирь маринованный.",Роллы,459 с,https://nambafood.kg/dish_image/127507.png
Coca cola 1 л,,Напитки,249 с,https://nambafood.kg/dish_image/86665.png
Fanta 1 л,,Напитки,249 с,https://nambafood.kg/dish_image/86666.png
Sprite 1 л,,Напитки,249 с,https://nambafood.kg/dish_image/86667.png
"Тоник Schweppes 0,25 л.",,Напитки,149 с,https://nambafood.kg/dish_image/86669.png
"Borjomi 0,5 л.",,Напитки,189 с,https://nambafood.kg/dish_image/86670.png
"Red bull 0,25 л.",,Энергетические напитки,279 с,https://nambafood.kg/dish_image/86674.png
