Наименование,Описание,Категория,Цена,Фото
А1 Салат из курицы в остром соусе,500 гр.,Салаты,620 с,https://nambafood.kg/dish_image/96104.png
А2 Салат из курицы,300 гр.,Салаты,500 с,https://nambafood.kg/dish_image/96105.png
А3 Мятно острый тофу сы,200 гр.,Салаты,320 с,https://nambafood.kg/dish_image/96388.png
А4 Салат из говядины с огурцами,200 гр.,Салаты,390 с,https://nambafood.kg/dish_image/96106.png
А5 Салат из говяжьей требухи,200 гр.,Салаты,320 с,https://nambafood.kg/dish_image/96084.png
А6 Мойва в кляре,200 гр.,Салаты,320 с,https://nambafood.kg/dish_image/143925.png
А7 Салат из говяжьего языка,300 гр.,Салаты,420 с,https://nambafood.kg/dish_image/143926.png
А8 Салат свежий овощной,200 гр.,Салаты,240 с,https://nambafood.kg/dish_image/96882.png
А9 Салат из говядины с фунчезой,200 гр.,Салаты,240 с,https://nambafood.kg/dish_image/96382.png
А11 Шпинат с дунганским мянджин,200 гр.,Салаты,240 с,https://nambafood.kg/dish_image/96082.png
А12 Пряные черные грибы с перчиком,200 гр.,Салаты,270 с,https://nambafood.kg/dish_image/96381.png
А13 Салат сельдерей с арахисом,200 гр.,Салаты,270 с,https://nambafood.kg/dish_image/96393.png
А14  Жареный арахис,200 гр.,Салаты,200 с,https://nambafood.kg/dish_image/96474.png
А15 Редька в соевом соусе,200 гр.,Салаты,240 с,https://nambafood.kg/dish_image/96469.png
А16 Салат из огурцов с чесноком,200 гр.,Салаты,180 с,https://nambafood.kg/dish_image/96080.png
А17 Крахмал-желе,200 гр.,Салаты,180 с,https://nambafood.kg/dish_image/96079.png
А18 Салат из золотых грибов,200 гр.,Салаты,280 с,https://nambafood.kg/dish_image/96081.png
В38 Суп маринованный с рыбой 1500 гр.,,Первые блюда,1350 с,https://nambafood.kg/dish_image/96883.png
С2 Суп с целой домашней курицей 2000 гр.,,Первые блюда,1200 с,https://nambafood.kg/dish_image/96401.png
