Наименование,Описание,Категория,Цена,Фото
Рыбное ассорти,"300 г. Семга слабосоленая, скумбрия, эсколар, лимон, маслины.",Холодные закуски,1060 с,https://nambafood.kg/dish_image/112934.png
Ассорти мясное,"320 г. Куриный рулет, говяжий рулет, язык говяжий, говядина шпигованная, собственного приготовления.",Холодные закуски,990 с,https://nambafood.kg/dish_image/112933.png
Сырная тарелка,"250 г. Бри, дор блю, брынза, маасдам, орехи, мед, ягоды.",Холодные закуски,950 с,https://nambafood.kg/dish_image/112935.png
Селедочка под водочку,"Сельдь картофель, красный лук",Холодные закуски,430 с,https://nambafood.kg/dish_image/131780.png
Ассорти солений,"Маринованные шампиньоны, помидоры черри, корнишоны и капуста",Холодные закуски,340 с,https://nambafood.kg/dish_image/141607.png
Сюзьма,150 г. Кисломолочный национальный продукт.,Холодные закуски,110 с,https://nambafood.kg/dish_image/113060.png
Ассорти свежих овощей,"500 г. Помидоры черри, огурцы, перец болгарский, зелень, редис, чеснок.",Холодные закуски,390 с,https://nambafood.kg/dish_image/112940.png
Баклажаны по-эмирски,"200 г. Баклажаны, сыр креметте, грецкий орех, чеснок, йогуртово-чесночный соус, помидоры черри.",Холодные закуски,420 с,https://nambafood.kg/dish_image/112943.png
Помидоры собственного приготовления,"300 г. Помидоры маринованные, маринованный чеснок.",Холодные закуски,250 с,https://nambafood.kg/dish_image/112946.png
Казы,"150 г. Колбаса из конины собственного приготовления, со свежей зеленью.",Холодные закуски,590 с,https://nambafood.kg/dish_image/112937.png
Бургер «Бухара»,"300 г. С фирменной котлеткой на мангале, сыром и картофелем фри.",Горячие закуски,420 с,https://nambafood.kg/dish_image/112957.png
Хачапури по-аджарски,300 г. Лодочка из сдобного теста с сыром сулугуни и яйцом.,Горячие закуски,420 с,https://nambafood.kg/dish_image/112951.png
Хачапури по-мегрельски,"400 г. Тонко раскатанное сдобное тесто с начинкой из сыра сулугуни с добавлением еще одного слоя сыра, придающего ему пикантность и золотистый цвет.",Горячие закуски,430 с,https://nambafood.kg/dish_image/112950.png
Кок самса,1 шт,Горячие закуски,80 с,https://nambafood.kg/dish_image/112959.png
Самса по-Алатски 6 шт.,Пресное тесто и говядина.,Горячие закуски,480 с,https://nambafood.kg/dish_image/112953.png
