Наименование,Описание,Категория,Цена,Фото
Ассорти овощное,"Ассорти из свежих овощей (редиска, огурцы, помидор, болг.перец, сыр брынза, чесночный соус, укроп, петрушка, зел.лук).",Закуски ассорти,380 с,https://nambafood.kg/dish_image/128839.png
Ассорти мясное,"Ассорти из мясных деликатесов (конина, казы, карта, гов.язык).",Закуски ассорти,950 с,https://nambafood.kg/dish_image/128847.png
Ассорти рыбное,"Ассорти из рыб (семга, эсколар) и красной икры тарталетки, слив.масло, оливки, маслины.",Закуски ассорти,1100 с,https://nambafood.kg/dish_image/128848.png
Ассорти из солений,"Ассорти из соленых корнишонов, помидоров черри, патиссонов, кваш.капусты, оливки/маслины.",Закуски ассорти,400 с,https://nambafood.kg/dish_image/128849.png
Пицца с колбасой,Тонкая лепешка из дрожжевого теста запеченной на ней начинкой (мясо/помидоры).,Детское меню,450 с,https://nambafood.kg/dish_image/128840.png
Пицца с курицей,Тонкая лепешка из дрожжевого теста запеченной на ней начинкой (мясо/помидоры).,Детское меню,450 с,https://nambafood.kg/dish_image/128841.png
Пицца с мясом,Тонкая лепешка из дрожжевого теста запеченной на ней начинкой (мясо/помидоры).,Детское меню,450 с,https://nambafood.kg/dish_image/128842.png
Гамбургер с фри,"Булочка с вложенной в нее начинкой (говяжья котлета, соленые огурцы, помидоры, соус, кетчуп, майонез).",Детское меню,200 с,https://nambafood.kg/dish_image/128843.png
Крокеты,"Блюдо округлой формы из картофеля, обваленное в сухарях и обжаренное во фритюре",Детское меню,120 с,https://nambafood.kg/dish_image/128845.png
Наггетсы,"Кусочки куриного филе, обваленные в сухарях и обжаренные во фритюре.",Детское меню,180 с,https://nambafood.kg/dish_image/128846.png
Свекольный,"Нежный свекольный салат с добавлением чеснока и грецких орехов, заправленный оливковым маслом.",Салаты,190 с,https://nambafood.kg/dish_image/128850.png
Мясо по-китайски,"Пикантный салат из телятины с добавлением слегка обжаренных овощей (огурцы, красный бол.перец, баклажан, помидор), грибов (опята) заправленный соусом на основе сои.",Салаты,290 с,https://nambafood.kg/dish_image/128851.png
