Наименование,Описание,Категория,Цена,Фото
Английский Классический Ассам,"Ароматная смесь из крупнолистового индийского чая ассам и цейлонского чая, мелкорезаная для лучшего и быстрого заваривания. Мелкорезанный, первый сорт.",Чай чёрный,550 с,https://nambafood.kg/dish_image/14564.png
Золотые Брови,"Бриллиант китайской чайной традиции – элитный  чай Золотые брови имеет несколько отличительных  особенностей, одна из которых его внешний вид – тонкие изогнутые чаинки, по виду напоминающие брови китайских красавиц. Цвет чая – золотисто-черный, золотистый оттенок имеют нежные чайные типсы (нераспустившиеся чайные почки), которые и придают тонкий аромат чаю – от традиционных фруктовых запахов до цветочных. Цвет настоя – полупрозрачный, золотистый. Вкус чая Золотые брови – отчетливо сладкий и сочный, чуточку терпкий.",Чай чёрный,640 с,https://nambafood.kg/dish_image/14565.png
Ассам Гималаи,"Высококачественный индийский крупнолистовой сорт чая. При заваривании дает настой красного цвета, имеет терпкий пряно-солодовый вкус и тонкий аромат. Особенно вкусен при добавлении молока или сливок. Cостав: чай черный байховый крупный (листовой) (Индия).",Чай чёрный,470 с,https://nambafood.kg/dish_image/69932.png
Даржилинг (первая флеш),"Индийский листовой чай трех сезонов сбора соответственно весенний, летний, и осенний, крепкий.",Чай чёрный,420 с,https://nambafood.kg/dish_image/14568.png
Эрл Грей,Черный крупнолистовой чай с маслом бергамота,Чай чёрный,400 с,https://nambafood.kg/dish_image/14569.png
Чай Сидхов,"Самый распространенный чай в мире – черный. Его основным производителем является Индия. Этот хорошо скрученный типсовый северо – индийский чай TGFOP имеет богатый, насыщенный, тонизирующий вкус.",Чай чёрный,350 с,https://nambafood.kg/dish_image/14573.png
Лапсанг Сушонг,"Этот знаменитый подкопченный чай выращивается в китайской провинции Fujian. Его листья завяливают под костром, вследствие чего они приобретают особый копченый аромат. При заваривании получается напиток темно-красного цвета с незабываемым пикантным вкусом.",Чай чёрный,360 с,https://nambafood.kg/dish_image/14574.png
Пуэр весовой,"Высокосортный чай сделанный из самых маленьких свежих листьев, благодаря этому достигается максимальное содержание полезных веществ и высокая экстрактивность . Относится к группе состаренных (""шу"") пуэров. Во вкусе присутствуют благородные ноты сухофруктов, орехов, шоколада. Особенные свойства пуэров – антацидное действие и очищение крови. Они, также, снижают уровень сахара в крови и способствуют похудению.",Чай чёрный,430 с,https://nambafood.kg/dish_image/69937.png
Да Хун Пао,"Да Хун Пао растет на знаменитых утесных грунтах горной гряды восточной провинции Поднебесной – Фуцзянь. Культивируется уникальный чайный сорт уже более семи веков. Столько же столетий срываемые раз год 4 листочка с первой веточки – неизменный участник чайных церемоний. Китайцы знают, что такое настоящее чаепитие с пользой и вкусом.",Чай чёрный,610 с,https://nambafood.kg/dish_image/69936.png
Иван-чай,"Иван-чай ферментированный. Этот напиток обладает чуть терпким вкусом с душистым цветочно-травяным ароматом и содержит до 20% дубильных веществ, биофлавоноиды, пектин и витамины группы В и С. Не содержит кофеина. Улучшает процесс кроветворения, повышает защитные функции организма. Дополнительная ферментация помогает иван-чаю служить антиоксидантом, быть противовирусным и противовоспалительным средством, помогать нормализовать давление, победить бессонницу и наладить пищеварение. Состав: иван-чай ферементированный.",Чай чёрный,550 с,https://nambafood.kg/dish_image/19430.png
СОЛНЕЧНЫЙ ЛЕВ (Сабарагамува ОРА),"100гр   Чай чёрный листовой сорта Сабарагамува имеет особую форму листьев и крупные гранулы. При заваривании чайный настой обладает насыщенным рубиновым цветом с приятным ароматом. Благодаря климатическим особенностям произростания, вкус чая сбалансированный с лёгкими цветочными нотками.",Чай чёрный,330 с,https://nambafood.kg/dish_image/32704.png
Эрл Грей с лимоном,"100гр Цейлонский чёрный крупнолистовой чай с классическим сочетанием вкуса и аромата бергамота. Известно, что бергамот помогает улучшить настроение, снять усталость, нормализует сон.",Чай чёрный,360 с,https://nambafood.kg/dish_image/32725.png
Граф Гренадин,"100гр  Чёрный чай с натуральными ягодами черники и ежевики. Благородные глубокие оттенки ароматов граната, черники и чёрной смородины согреют Вас зимой!",Чай чёрный,420 с,https://nambafood.kg/dish_image/32730.png
Север Индии,"Бленд крупного листового чая с избранных плантаций северной Индии (грейд Orange Pekoe) Характерная особенность - длинные заостренные листики, скрученные вдоль своей оси. Ярко выраженный чайный аромат; традиционное послевкусие с оттенком сухофруктов. Состав - чай черный листовой рассыпной листовой крупный.",Чай чёрный,270 с,https://nambafood.kg/dish_image/69930.png
