Наименование,Описание,Категория,Цена,Фото
Пекинская утка (А1),800 гр,Фирменные блюда,2390 с,https://nambafood.kg/dish_image/134909.png
Ассорти мясное (С1),500 гр,Салаты,780 с,https://nambafood.kg/dish_image/35600.png
Говядина с требухой (С2),250 гр,Салаты,480 с,https://nambafood.kg/dish_image/67991.png
Вареная говядина в остром соусе (С4),,Салаты,450 с,https://nambafood.kg/dish_image/16799.png
Ароматная говядина (С5),250 гр,Салаты,450 с,https://nambafood.kg/dish_image/16800.png
Язык в кисло-остром соусе (С7),250 гр,Салаты,450 с,https://nambafood.kg/dish_image/72509.png
Говядина в кисло-остром соусе (С9),250 гр,Салаты,450 с,https://nambafood.kg/dish_image/67992.png
Говядина с огурцами (С10),250 гр,Салаты,450 с,https://nambafood.kg/dish_image/80786.png
Хрустящая мойва (С12),,Салаты,450 с,https://nambafood.kg/dish_image/72469.png
Семга (С13),,Салаты,1980 с,https://nambafood.kg/dish_image/80787.png
Кешью с кунжутом (С14),,Салаты,550 с,https://nambafood.kg/dish_image/134914.png
Холодная курица с соусом (С15),,Салаты,780 с,https://nambafood.kg/dish_image/80793.png
Домашняя курица в среднем остром соусе (С24),,Салаты,850 с,https://nambafood.kg/dish_image/68000.png
Домашняя курица в пряно-остром соусе (С25),,Салаты,850 с,https://nambafood.kg/dish_image/16804.png
Черные яйца (С27),250 гр с зеленым перцем,Салаты,390 с,https://nambafood.kg/dish_image/16634.png
Барбекю перец с баклажаном (С29),,Салаты,440 с,https://nambafood.kg/dish_image/68003.png
Чёрная фунчёза в кисло-остром соусе (С31),,Салаты,370 с,https://nambafood.kg/dish_image/80794.png
Крахмал в кисло-остром соусе (С32),250 гр,Салаты,350 с,https://nambafood.kg/dish_image/72513.png
Огурцы и помидоры в чесночном соусе (С33),250 гр,Салаты,290 с,https://nambafood.kg/dish_image/16637.png
Морская капуста в кисло- остром соусе (С35),250 гр,Салаты,330 с,https://nambafood.kg/dish_image/72514.png
Кабачки в чесночном соусе (С36),250 гр,Салаты,430 с,https://nambafood.kg/dish_image/72506.png
Огурцы в сладком соевом соусе (С37),250 гр,Салаты,290 с,https://nambafood.kg/dish_image/35599.png
Шпинат с фунчезой (С42),250 гр,Салаты,390 с,https://nambafood.kg/dish_image/75607.png
Огурцы в чесночном соусе (С44),250 гр,Салаты,290 с,https://nambafood.kg/dish_image/80796.png
Салат из брокколи  (С46),250 гр,Салаты,360 с,https://nambafood.kg/dish_image/16810.png
Черные грибы с луком(острое) (С47),250 гр,Салаты,390 с,https://nambafood.kg/dish_image/80797.png
Салат из золотых грибов (С48),250 гр,Салаты,380 с,https://nambafood.kg/dish_image/75608.png
Шпинат в имбирном соусе (С49),250 гр,Салаты,350 с,https://nambafood.kg/dish_image/72517.png
Салат из спаржи (С51),250 гр,Салаты,360 с,https://nambafood.kg/dish_image/80798.png
Салат шпинат с арахисом (С53),250 гр,Салаты,350 с,https://nambafood.kg/dish_image/80799.png
Салат лотук в чесночном соусе (I44),китайская трава с чесноком,Салаты,400 с,https://nambafood.kg/dish_image/72499.png
Китайская листовая капуста в чесночном соусе (I45),,Салаты,400 с,https://nambafood.kg/dish_image/80813.png
Жареные кедровые орехи и кукуруза (К5),,Салаты,500 с,https://nambafood.kg/dish_image/68021.png
Фунчеза на жаровне (I1),300 гр,Теплые салаты,390 с,https://nambafood.kg/dish_image/80808.png
Жареная картошка с перцем (I2),Жареная картошка Ганьго,Теплые салаты,380 с,https://nambafood.kg/dish_image/30101.png
Жареная цветная капуста (I3),300 гр,Теплые салаты,380 с,https://nambafood.kg/dish_image/16740.png
Жареный тофу на жаровне (I5),300 гр.,Теплые салаты,450 с,https://nambafood.kg/dish_image/72489.png
Корейская капуста в горшочке (I6),300 гр,Теплые салаты,340 с,https://nambafood.kg/dish_image/16742.png
Жареный баклажан в соевом соусе (I7),300 гр,Теплые салаты,450 с,https://nambafood.kg/dish_image/80806.png
Тофу в остром соусе (I13),300 гр,Теплые салаты,350 с,https://nambafood.kg/dish_image/72490.png
Тофу по домашнему  (I16),300 гр,Теплые салаты,380 с,https://nambafood.kg/dish_image/80805.png
Помидоры с яйцом (I17),300 гр,Теплые салаты,380 с,https://nambafood.kg/dish_image/16817.png
Джусай с яйцом (I19),300 гр,Теплые салаты,390 с,https://nambafood.kg/dish_image/80809.png
Маш с джусаем (I21),300 гр,Теплые салаты,350 с,https://nambafood.kg/dish_image/72492.png
Жаренные черные грибы с зеленым луком (I24),300 гр,Теплые салаты,370 с,https://nambafood.kg/dish_image/75593.png
Жареный сельдерей с кешью (I25),300 гр,Теплые салаты,440 с,https://nambafood.kg/dish_image/75594.png
Жареный Дун Гуа (I32),китайская редька,Теплые салаты,500 с,https://nambafood.kg/dish_image/68030.png
Жареные стручки фасоли с баклажаном (I33),300 гр,Теплые салаты,440 с,https://nambafood.kg/dish_image/72494.png
Жареные стручки фасоли с красным перцем (I34),300 гр,Теплые салаты,440 с,https://nambafood.kg/dish_image/72495.png
Жареный баклажан с перцем (I36),300 гр,Теплые салаты,450 с,https://nambafood.kg/dish_image/16890.png
Жареная капуста  (I37),300 гр,Теплые салаты,320 с,https://nambafood.kg/dish_image/16823.png
Жареная капуста в кисло-остром соусе  (I39),300 гр,Теплые салаты,320 с,https://nambafood.kg/dish_image/75595.png
Картофель соломкой (полусырой) в кисло-остром соусе (I40),300 гр,Теплые салаты,320 с,https://nambafood.kg/dish_image/80810.png
Жареный брокколи в чесночном соусе (I42),300 гр,Теплые салаты,380 с,https://nambafood.kg/dish_image/72498.png
Цветная капуста в кляре (I49),300 гр,Теплые салаты,380 с,https://nambafood.kg/dish_image/68026.png
Грибы в кляре (вешенки) I50,,Теплые салаты,480 с,https://nambafood.kg/dish_image/75597.png
Мидии с имбирем и луком (А6),,Морепродукты,1870 с,https://nambafood.kg/dish_image/68079.png
Жареные щупальцы кальмара (острое) E19,,Морепродукты,920 с,https://nambafood.kg/dish_image/134918.png
Вареные обычные креветки с соусом (D1/1),300 г,Морепродукты,1030 с,https://nambafood.kg/dish_image/134917.png
Варёные тигровые креветки с соусом (D1/2),300 гр,Морепродукты,2310 с,https://nambafood.kg/dish_image/16715.png
Жареные креветки с хрустящим перцем (D3/1),350 гр,Морепродукты,1030 с,https://nambafood.kg/dish_image/75561.png
Креветки обычные с солью и перцем (D5/1),300 гр,Морепродукты,1030 с,https://nambafood.kg/dish_image/68097.png
Креветки на жаровне (D7),300 гр,Морепродукты,1030 с,https://nambafood.kg/dish_image/75563.png
Очищенные креветки с зеленью (D8),350 гр,Морепродукты,1030 с,https://nambafood.kg/dish_image/68103.png
Креветки в кисло-сладком соусе (D9),300 гр,Морепродукты,1030 с,https://nambafood.kg/dish_image/16857.png
Очищенные креветки в кляре (D13),300 гр,Морепродукты,890 с,https://nambafood.kg/dish_image/16858.png
Королевские креветки на пару в чесночном соусе (D16),,Морепродукты,1700 с,https://nambafood.kg/dish_image/75579.png
Кальмары с солью и перцем (Е13),300 гр,Морепродукты,925 с,https://nambafood.kg/dish_image/68084.png
Живая рыба с маринованными овощами (А13),1 кг,Блюда из рыбы,1520 с,https://nambafood.kg/dish_image/75549.png
Маринованная рыба в лимонном соусе (А11),800 гр,Блюда из рыбы,1520 с,https://nambafood.kg/dish_image/101662.png
Пряная вареная острая рыба  (Е4),1500 г,Блюда из рыбы,1550 с,https://nambafood.kg/dish_image/16726.png
Судак в кисло-сладком соусе без костей (E6),800 гр.,Блюда из рыбы,880 с,https://nambafood.kg/dish_image/80817.png
Филе рыбы  в кисло-сладком соусе (Е7),300 гр,Блюда из рыбы,440 с,https://nambafood.kg/dish_image/72471.png
Судак в кисло-остром соусе без костей (E8),,Блюда из рыбы,880 с,https://nambafood.kg/dish_image/134929.png
Филе рыбы с ананасом (Е9),300 гр,Блюда из рыбы,440 с,https://nambafood.kg/dish_image/68126.png
Филе рыбы в кисло-остром соусе (Е10),300 гр,Блюда из рыбы,440 с,https://nambafood.kg/dish_image/75565.png
Кусочки рыбы с перцем (Е11),400 гр,Блюда из рыбы,1180 с,https://nambafood.kg/dish_image/75566.png
Тушеная говядина с помидорами (А25),,Блюда из говядины,640 с,https://nambafood.kg/dish_image/68046.png
Дапан говяжьи ножки с фунчезой (А29),400 гр,Блюда из говядины,690 с,https://nambafood.kg/dish_image/16841.png
Говядина варенная в остром соусе (F7),300 г,Блюда из говядины,650 с,https://nambafood.kg/dish_image/68044.png
Тушенные говяжьи ноги с перепелиными яйцами (F8),400 гр,Блюда из говядины,750 с,https://nambafood.kg/dish_image/16674.png
Говядина на жаровне с овощами (F10),300 г,Блюда из говядины,480 с,https://nambafood.kg/dish_image/75570.png
Жареная требуха с баоцзы (F11),300 г,Блюда из говядины,870 с,https://nambafood.kg/dish_image/143076.png
Говядина с сельдереем (F12),300 г,Блюда из говядины,480 с,https://nambafood.kg/dish_image/75571.png
Говядина с овощами (F13),300 г,Блюда из говядины,480 с,https://nambafood.kg/dish_image/72474.png
Жареная говядина с грибами (вешенки) (F15),300 г,Блюда из говядины,500 с,https://nambafood.kg/dish_image/75572.png
