Наименование,Описание,Категория,Цена,Фото
Суши сякэ,33 г. Лосось,Суши,130 с,https://nambafood.kg/dish_image/60079.png
Суши эби,30 г. Креветка,Суши,130 с,https://nambafood.kg/dish_image/60080.png
Суши унаги,"33 г. Угорь, кунжут.",Суши,110 с,https://nambafood.kg/dish_image/60081.png
Суши чукка,33 г. Морские водоросли.,Суши,100 с,https://nambafood.kg/dish_image/60083.png
Суши спайси эби,33 г. Креветка,Суши,110 с,https://nambafood.kg/dish_image/60082.png
Суши спайси сякэ,33 г. Лосось,Суши,110 с,https://nambafood.kg/dish_image/60087.png
Суши спайси мидии,33 г. Мидии,Суши,100 с,https://nambafood.kg/dish_image/60086.png
Суши спайси унаги,33 г. Угорь,Суши,110 с,https://nambafood.kg/dish_image/60084.png
Суши спайси краб,33 г. Снежный краб.,Суши,100 с,https://nambafood.kg/dish_image/60085.png
Суши запеченный лосось,35 г,Суши,110 с,https://nambafood.kg/dish_image/60088.png
Суши запеченный угорь,35 г,Суши,110 с,https://nambafood.kg/dish_image/60089.png
Суши запеченная креветка,35 г,Суши,120 с,https://nambafood.kg/dish_image/60285.png
Суши запеченные мидии,35 г,Суши,100 с,https://nambafood.kg/dish_image/60090.png
Пицца филадельфия,"Лосось, сливочный сыр, томаты",Пицца,550 с,https://nambafood.kg/dish_image/60099.png
Пицца Деревенская,"Перец болгарский, лук красный, фарш, помидор",Пицца,470 с,https://nambafood.kg/dish_image/60093.png
Пицца Маргарита,"Соус, сыр чеддер, помидор",Пицца,380 с,https://nambafood.kg/dish_image/60091.png
Пицца Баварская,"Салями, баварские колбаски, шампиньоны, помидор",Пицца,490 с,https://nambafood.kg/dish_image/60100.png
Пицца Мексиканская,"Курица, майонез, салями, тобаско на выбор",Пицца,480 с,https://nambafood.kg/dish_image/60096.png
Пицца Цезарь,"Курица, соус цезарь, лист салата, сыр пармезан",Пицца,470 с,https://nambafood.kg/dish_image/60092.png
Пицца Праздничная,"Курица, шампиньоны, лук, томаты",Пицца,480 с,https://nambafood.kg/dish_image/60098.png
Пицца Пепперони,"Колбаса пепперони, сыр чеддер",Пицца,480 с,https://nambafood.kg/dish_image/60094.png
Пицца Салями,"Салями, пепперони, шампиньоны, помидор",Пицца,480 с,https://nambafood.kg/dish_image/60097.png
Пицца Гавайская,"сыр моцарелла,копчен.курица,ананас,соус цезарь,укроп",Пицца,480 с,https://nambafood.kg/dish_image/104667.png
Панини с семгой,"Лепешка тартилия, лосось жареный, пекинская капуста, сыр виола, помидор, соус сырный",Панини,250 с,https://nambafood.kg/dish_image/60101.png
Панини мясная,"Лепешка тартилия, сыр виола, пекинская капуста, спайси соус, говядина, помидор",Панини,220 с,https://nambafood.kg/dish_image/60102.png
Панини с курицей,"Лепешка тартилия, помидор, копченая курица, соус цезарь, пекинская капуста",Панини,200 с,https://nambafood.kg/dish_image/60103.png
Каппа маки,8 шт. 130 г. Огурец,Роллы,110 с,https://nambafood.kg/dish_image/60104.png
Чукка ролл,8 шт. 130 г. Морские водоросли.,Роллы,150 с,https://nambafood.kg/dish_image/60105.png
Ясай ролл,8 шт. 200 г. Овощной микс.,Роллы,150 с,https://nambafood.kg/dish_image/60106.png
Шиноби рору,"135 г. Снежный краб, майонез.",Роллы,170 с,https://nambafood.kg/dish_image/60179.png
