Наименование,Описание,Категория,Цена,Фото
Шакшука с помидорами,180 г,Завтраки,200 с,https://nambafood.kg/dish_image/98834.png
Омлет классический,180 г,Завтраки,180 с,https://nambafood.kg/dish_image/98835.png
Омлет с грибами,200 г,Завтраки,180 с,https://nambafood.kg/dish_image/98837.png
Омлет с овощами,200 г,Завтраки,180 с,https://nambafood.kg/dish_image/110181.png
Американский завтрак,"300 г. Деревенский хлеб, яйцо, венские колбаски, огурцы, корнишоны, лист салата, кетчуп.",Завтраки,400 с,https://nambafood.kg/dish_image/98836.png
Завтрак Адриано,"500 г. Яйца, венская сосиска, фасоль, помидоры, картофель,микс салата, шампиньоны, форель, соус барбекю, хлеб деревенский",Завтраки,450 с,https://nambafood.kg/dish_image/140423.png
ПП завтрак,"Бородинский хлеб, яйцо, микс салата, мусс из авокадо, помидоры черри, тунец, соус филадельфия",Завтраки,350 с,https://nambafood.kg/dish_image/143131.png
Бенедикт с форелью,"250 г. Бургер булочка, яйцо пашот, форель слабосоленая, шпинат, картофель отварной, микс салат, соус «Филадельфия», соус «Голландский».",Завтраки,460 с,https://nambafood.kg/dish_image/110190.png
Сырники,200 г. с ягодным джемом собственного приготовления,Завтраки,180 с,https://nambafood.kg/dish_image/143132.png
Вареники с вишней,"250 г. Вишня, сметана., вишневый соус",Завтраки,180 с,https://nambafood.kg/dish_image/115743.png
Вареники по - домашнему,с картофелем и грибами,Завтраки,130 с,https://nambafood.kg/dish_image/140424.png
Круассан с копченой курицей и авокадо,"200 г. Круассан, авокадо, куриная грудка, помидоры, зелень, айсберг, сыр «Филадельфия», соус «Песто».",Круассаны,290 с,https://nambafood.kg/dish_image/143137.png
Круассан с ветчиной и сыром,"220 г. Круассан, ветчина куриная, сыр «Маасдам», огурцы, соус «Ранч».",Круассаны,180 с,https://nambafood.kg/dish_image/143138.png
Круассан с форелью,"200 г. Круассан, форель, огурцы, руккола, сыр «Филадельфия».",Круассаны,300 с,https://nambafood.kg/dish_image/143139.png
Клаб сендвич,"350 г. Куриное филе, ветчина, булочка, яйцо, помидоры, огурцы, фри, сыр «Тильзитский».",Сэндвичи,300 с,https://nambafood.kg/dish_image/98854.png
Сэндвич с тунцом,"350 г. Булочка, тунец, помидоры, корнишоны, фри.",Сэндвичи,270 с,https://nambafood.kg/dish_image/98857.png
Сэндвич с курицей,"200 г. Булочка с семенами льна, копченая курица, помидоры, огурцы, фри.",Сэндвичи,250 с,https://nambafood.kg/dish_image/102956.png
Французский сэндвич,"100 г. Тостерный хлеб, ветчина куриная, сыр «Хохланд», микс салат.",Сэндвичи,160 с,https://nambafood.kg/dish_image/98859.png
Каша с кус кусом на растительном молоке,,Каши,180 с,https://nambafood.kg/dish_image/143133.png
Каша овсяная на растительном молоке,,Каши,180 с,https://nambafood.kg/dish_image/143134.png
Каша рисовая на растительном молоке,,Каши,180 с,https://nambafood.kg/dish_image/143135.png
Молочная каша с кус кусом,,Каши,180 с,https://nambafood.kg/dish_image/143136.png
Овсяная каша,250 г,Каши,130 с,https://nambafood.kg/dish_image/102954.png
Рисовая каша,250 г,Каши,130 с,https://nambafood.kg/dish_image/98840.png
Бургер с курицей,"300 г. Куриное филе, помидоры, огурцы, булочка, картофельные дольки, лук пашот, кетчуп.",Бургеры,350 с,https://nambafood.kg/dish_image/98853.png
Бургер с говядиной,"300 г. Котлета говяжья, помидоры, огурцы, булочка, картофельные дольки, сыр «Хохланд».",Бургеры,450 с,https://nambafood.kg/dish_image/98852.png
Ролл Цезарь с курицей,"200 г. Лаваш, запеченная курица, айсберг, лист салата, помидоры, соус «Цезарь».",Бургеры,320 с,https://nambafood.kg/dish_image/98866.png
Грибной крем-суп,"200 гр. Шампиньоны, сливочный сыр, сливки, крутоны, сметана.",Супы,230 с,https://nambafood.kg/dish_image/140425.png
Сливочный крем-суп из брокколи,370 гр. Сливочный крем-суп из брокколи с копченой курицей,Супы,250 с,https://nambafood.kg/dish_image/140426.png
Рыбный крем-суп,"Форель, слабосоленая форель, сливки, сливочный сыр",Супы,250 с,https://nambafood.kg/dish_image/140431.png
Крем-суп чечевичный,"Чечевица, лимон, соус Филадельфия",Супы,180 с,https://nambafood.kg/dish_image/140428.png
Пельмени,300 г. Аппетитные пельмени с говяжей начинкой со сметаной отдельно.,Супы,200 с,https://nambafood.kg/dish_image/140427.png
Том Ям,"Паста «Том ям»‎‎, паста «Карри»‎‎, кокосовое молоко, креветки, куриная грудка, шампиньоны, рис, перец чили, лемонрасс, лимон",Супы,440 с,https://nambafood.kg/dish_image/140429.png
Боул с тунцом,"Тунец, авокадо, черри, огурцы, брокколи, редис, микс салата, крупа кус кус, соус ореховый",Боулы,470 с,https://nambafood.kg/dish_image/140420.png
Боул с курицей,"Куриная грудка, авокадо, черри, соус ореховый, брокколи, микс салата, рис булгур, огурцы, редис",Боулы,450 с,https://nambafood.kg/dish_image/140421.png
Боул хрустящей форелью,"Форель запеченная с соусом терияки, авокадо, брокколи, черри, огурцы, микс салата, крупа полба, редис, соус ореховый",Боулы,500 с,https://nambafood.kg/dish_image/140422.png
Спагетти «Болоньезе»,"350 г. Спагетти, томатно-мясной соус болоньезе, сыр «Пармезан».",Пасты,350 с,https://nambafood.kg/dish_image/98882.png
Спагетти с форелью,"340 г. Спагетти, филе форели, сыр «Пармезан», чеснок, сыр «Виола», черри.",Пасты,380 с,https://nambafood.kg/dish_image/98883.png
Фетучини с креветками,"350 г. Фетучини, креветки, чеснок, соус томатный, черри, специи.",Пасты,500 с,https://nambafood.kg/dish_image/110186.png
Фетучини с курицей и грибами,"300 г. Фетучини, курица, грибы, сливочный соус, сыр «Пармезан».",Пасты,450 с,https://nambafood.kg/dish_image/99161.png
ПП салат,"Листья салата, лолла росса, помидоры черри, редис, огурцы, авокадо, вяленые томаты, перец болгарский, оливковое масло",Салаты,370 с,https://nambafood.kg/dish_image/140432.png
Хумус с салатом,"270 г. горох, нут, оливковое масло, паста тахини, листья салата, лолла росса, помидоры черри, огурцы, редис",Салаты,270 с,https://nambafood.kg/dish_image/140435.png
Греческий салат,"Помидоры, лист салата, перепелиное яйцо, огурцы, маслины, сыр «Фетакса»‎‎, соус «Цитронет»‎‎",Салаты,300 с,https://nambafood.kg/dish_image/98868.png
"Салат киноа, овощами и нутом.","250 гр. Киноа, помидоры, огурцы, нут, чеснок, лимон, оливковое масло, лук шалот, петрушка.",Салаты,280 с,https://nambafood.kg/dish_image/130204.png
Цезарь с курицей,"290 г. Куриная грудка, крутоны, листья салата, пармезан, соус цезарь.",Салаты,330 с,https://nambafood.kg/dish_image/102955.png
Салат с баклажанами и сырными шариками,"Бон-филе, баклажаны, помидоры, листья салата, соус устричный, соус свитчили",Салаты,370 с,https://nambafood.kg/dish_image/140433.png
Карпаччо из свеклы с апельсиновым соусом,"Запеченная свекла, руккола, вяленые томаты, горчица, соус «Филадельфия»‎‎",Салаты,250 с,https://nambafood.kg/dish_image/140434.png
Медальоны с картофелем от шефа,"520 г. Бон-филе, картофель, болгарский перец, кинза, чеснок, лук, соус демиглас.",Горячие блюда,700 с,https://nambafood.kg/dish_image/130251.png
Запеченная куриная грудка с кускусом,"350 г. Куриная грудка,кускус, морковь, кабачки, огурцы, черри, смесь специй «Санта Мария».",Горячие блюда,360 с,https://nambafood.kg/dish_image/98888.png
Гречневая лапша «Соба»,"450 г. Лапша гречневая, болгарский перец, морковь, шпинат, соус «Терияки», соус устричный, бон-филе.",Горячие блюда,420 с,https://nambafood.kg/dish_image/99162.png
Форель с овощами на сковороде,"260 г. Форель, болгарский перец, лук репчатый, помидоры, соус устричный, чеснок.",Горячие блюда,380 с,https://nambafood.kg/dish_image/98891.png
