Наименование,Описание,Категория,Цена,Фото
Кавказская нарезка,300 г,Закуски,320 с,https://nambafood.kg/dish_image/87031.png
Ким паб с сёмгой,"250 г. Рис, кунжут, болгарский перец, морковь, огурец, яичный блин, копченая семга.",Закуски,300 с,https://nambafood.kg/dish_image/91493.png
Жареный тофу с овощами,350 г,Закуски,320 с,https://nambafood.kg/dish_image/91458.png
Перец фаршированный в кляре,200 г,Закуски,320 с,https://nambafood.kg/dish_image/91488.png
Цезарь с курицей,"300 г. Куриные грудки, листья салата, айсберг, черри, сухари, орегано, чеснок, горчица, соус, сыр.",Салаты,350 с,https://nambafood.kg/dish_image/91489.png
Оливье,"250 г. Говядина или колбаса, картофель, яйцо, горошек, майонез, маринованные огурцы, лук репчатый, специи.",Салаты,220 с,https://nambafood.kg/dish_image/87026.png
Греческий салат,"250 г. Сыр фетакса, листья салата, айсберг, черри, огурцы, маслины, лимон, оливковое масло.",Салаты,300 с,https://nambafood.kg/dish_image/87027.png
Салат «Нежный»,"200 г. Говядина, яичный блин, чеснок, укроп, майонез.",Салаты,270 с,https://nambafood.kg/dish_image/87030.png
Витаминка,"200 г. Капуста, свекла, морковь, огурцы, яблоко, масло&",Салаты,200 с,https://nambafood.kg/dish_image/87022.png
Хрустящая курочка с апельсином,"220 г. Куриное филе, листья салата, фасоль, апельсин.",Салаты,320 с,https://nambafood.kg/dish_image/91457.png
Свежий салат,"250 г. Огурцы, помидоры, лук репчатый, майонез домашний или масло.",Салаты,180 с,https://nambafood.kg/dish_image/91499.png
Рыба хе,"250 г. Судак, лук, чеснок, кинза, специи.",Салаты,320 с,https://nambafood.kg/dish_image/91486.png
Морковь-ча,"200 г. Морковь, лук, чеснок, масло, кинза, специи.",Салаты,150 с,https://nambafood.kg/dish_image/91463.png
Теплый салат из баклажан,"250 г. Баклажаны, морковь, болгарский и стручковый перец, лук репчатый, зелень, специи.",Салаты,300 с,https://nambafood.kg/dish_image/121146.png
Требуха хе,"250 г. Требуха, болгарский перец, морковь, лук, чеснок, кинза, специи.",Салаты,260 с,https://nambafood.kg/dish_image/121144.png
