Наименование,Описание,Категория,Цена,Фото
Цезарь с креветками,,Салаты,480 с,https://nambafood.kg/dish_image/132032.png
Легкий салат из форели под имбирной заправкой,,Салаты,390 с,https://nambafood.kg/dish_image/61289.png
Салат из курицы с овощами под соусом чили,,Салаты,350 с,https://nambafood.kg/dish_image/132534.png
Цезарь с курицей,"Куриное филе, листья салата, айсберг, помидоры черри, перепелиное яйцо, сухари, пармезан, соус цезарь.",Салаты,390 с,https://nambafood.kg/dish_image/61293.png
Теплый салат с куриной печенью и овощами,,Салаты,330 с,https://nambafood.kg/dish_image/132031.png
Салат из телятины с овощами под соусом терияки,"Капуста брокколи, цветная капуста, грибы шампиньоны, помидоры черри, шпинат, заправка из соуса терияки.",Салаты,390 с,https://nambafood.kg/dish_image/106854.png
Салат с хрустящим баклажаном и шампиньонами,,Салаты,330 с,https://nambafood.kg/dish_image/99470.png
Греческий салат,"Помидоры, огурцы, листья салата, маслины, оливки, сыр фета, болгарский перец, красная капуста, лук красный, оливковое масло, бальзамический уксус.",Салаты,290 с,https://nambafood.kg/dish_image/106857.png
Овощи на гриле,,Салаты,180 с,https://nambafood.kg/dish_image/122411.png
Бургер с говядиной,"Говяжья котлета, сыр чеддер, помидоры, соленые огурцы, листья салата, красный лук, соус карпаччо. Подается с картошкой фри и кетчупом.",Сэндвичи,420 с,https://nambafood.kg/dish_image/51885.png
Пита с говядиной,"Говяжья котлета, помидоры, соленые огурцы, листья салата, красный лук, соус карпаччо. Подается с картошкой фри и кетчупом.",Сэндвичи,350 с,https://nambafood.kg/dish_image/51912.png
Пита с курицей,"Куриное филе, помидоры, соленые огурцы, листья салата, красный лук, соус карпаччо. Подается с картошкой фри и кетчупом.",Сэндвичи,320 с,https://nambafood.kg/dish_image/51913.png
Сэндвич с лососем,,Сэндвичи,350 с,https://nambafood.kg/dish_image/107097.png
Клаб сэндвич с курицей,"Куриное филе, айсберг, соус карпаччо, сыр чеддер, помидоры, листья салата, яйцо куриное.",Сэндвичи,300 с,https://nambafood.kg/dish_image/51894.png
Сэндвич с сыром и ветчиной индейки,"Ветчина индейки, сыр чеддер, соус карпаччо. Подается с картошкой фри и кетчупом.",Сэндвичи,300 с,https://nambafood.kg/dish_image/51910.png
Сэндвич с курицей,"Куриное филе, огурцы, помидоры, листья салата, моцарелла, фирменный соус.",Сэндвичи,250 с,https://nambafood.kg/dish_image/51911.png
Ролл цезарь с курицей,,Сэндвичи,250 с,https://nambafood.kg/dish_image/132033.png
Ролл цезарь вегетарианский,,Сэндвичи,230 с,https://nambafood.kg/dish_image/132036.png
Кесадилья с сыром и цукуни,,Сэндвичи,230 с,https://nambafood.kg/dish_image/107007.png
Круассан сэндвич с ветчиной индейки,"Круассан, ветчина индейки, сыр, помидоры, огурцы, французский майонез.",Сэндвичи,230 с,https://nambafood.kg/dish_image/51892.png
Круассан сэндвич с курицей,"Круссан, куриное филе, сыр, помидоры, огурцы, французский майонез.",Сэндвичи,230 с,https://nambafood.kg/dish_image/51893.png
Боул с курицей,,Боулы,350 с,https://nambafood.kg/dish_image/139131.png
Боул с форелью,,Боулы,390 с,https://nambafood.kg/dish_image/139132.png
Том-Ям,,Супы,380 с,https://nambafood.kg/dish_image/61296.png
Солянка,"Салями, копченая курица, ветчина, сервелат, говядина, маслины. Подается со сметаной и долькой лимона.",Супы,220 с,https://nambafood.kg/dish_image/51972.png
Суп с фрикадельками,,Супы,220 с,https://nambafood.kg/dish_image/132027.png
Крем суп чечевичный,,Супы,210 с,https://nambafood.kg/dish_image/93868.png
Тыквенный крем суп,,Супы,210 с,https://nambafood.kg/dish_image/61280.png
Крем-суп грибной,"Шампиньоны, специи, сливки.",Супы,210 с,https://nambafood.kg/dish_image/51907.png
Суп-лапша куриная по-домашнему,"Куриный бульон, домашняя лапша, зелень, перепелиное яйцо.",Супы,210 с,https://nambafood.kg/dish_image/51970.png
Феттучини с курицей и шампиньонами в сливочном соусе,"Феттучини, куриное филе, шампиньоны, специи, сливки, пармезан.",Паста,380 с,https://nambafood.kg/dish_image/51917.png
Феттучини с лососем в сливочном соусе,,Паста,420 с,https://nambafood.kg/dish_image/99391.png
Спагетти болоньез,"Спагетти, говяжий фарш, пармезан, специи.",Паста,320 с,https://nambafood.kg/dish_image/106864.png
Равиоли со шпинатом и брынзой,,Паста,300 с,https://nambafood.kg/dish_image/99393.png
Хачапури-лодочка с сыром и яйцом,,Паста,250 с,https://nambafood.kg/dish_image/132034.png
Лапша удон с курицей,,Паста,320 с,https://nambafood.kg/dish_image/132035.png
Лапша удон с морепродуктами,,Паста,360 с,https://nambafood.kg/dish_image/132037.png
Хачапури с сыром,,Паста,350 с,https://nambafood.kg/dish_image/132533.png
Пицца Пепперони - острая,"Колбаски пепперони, салями, сыр чеддер, томатный соус.",Пицца,450 с,https://nambafood.kg/dish_image/106858.png
Пицца жульен,,Пицца,480 с,https://nambafood.kg/dish_image/106862.png
Пицца сырная,"Томатный соус, чеддер, моцарелла, дор блю, пармезан, специи.",Пицца,480 с,https://nambafood.kg/dish_image/106868.png
Пицца маргарита,"Сыр чеддер, моцарелла, томаты, маслины, оливки.",Пицца,350 с,https://nambafood.kg/dish_image/106865.png
Т-бон стейк,,Вторые блюда,750 с,https://nambafood.kg/dish_image/106536.png
Стейк Рибай с соусом BBQ,,Вторые блюда,750 с,https://nambafood.kg/dish_image/99396.png
Телятина кисло-острая с овощами,"Телятина, болгарский перец, помидоры, репчатый лук, специи, кисло-острый соус, картофель фри.",Вторые блюда,380 с,https://nambafood.kg/dish_image/61294.png
Телятина с шампиньонами в сливочном соусе,,Вторые блюда,380 с,https://nambafood.kg/dish_image/106853.png
Телятина в горшочке,,Вторые блюда,350 с,https://nambafood.kg/dish_image/132493.png
Форель с овощным соте,,Вторые блюда,420 с,https://nambafood.kg/dish_image/106867.png
Куриная грудка фаршированная Моцареллой и шпинатом,,Вторые блюда,390 с,https://nambafood.kg/dish_image/106866.png
Куриная грудка в горшочке,,Вторые блюда,320 с,https://nambafood.kg/dish_image/132028.png
Стейк лосося под сливочно-икорным соусом,,Вторые блюда,650 с,https://nambafood.kg/dish_image/132030.png
Филе телятины с лепешкой и свежим салатом,,Вторые блюда,420 с,https://nambafood.kg/dish_image/132038.png
Мини-багет белый,,Хлеб(пекарня Lenny Kenny),40 с,https://nambafood.kg/dish_image/51781.png
Картофель фри,,Гарниры,150 с,https://nambafood.kg/dish_image/77647.png
Картофель по-домашнему,,Гарниры,130 с,https://nambafood.kg/dish_image/132494.png
Рис,,Гарниры,100 с,https://nambafood.kg/dish_image/77645.png
Гречка с шампиньонами,,Гарниры,150 с,https://nambafood.kg/dish_image/77644.png
Чизкейк,,Домашние десерты,200 с,https://nambafood.kg/dish_image/51977.png
Шоколадный торт,,Домашние десерты,275 с,https://nambafood.kg/dish_image/51978.png
Брауни,,Домашние десерты,230 с,https://nambafood.kg/dish_image/51979.png
Красный бархат,,Домашние десерты,230 с,https://nambafood.kg/dish_image/51980.png
Торт «Наполеон»‎‎,,Домашние десерты,230 с,https://nambafood.kg/dish_image/106861.png
Фисташковый торт,,Домашние десерты,230 с,https://nambafood.kg/dish_image/107096.png
Шоколадный фондан,,Домашние десерты,160 с,https://nambafood.kg/dish_image/99404.png
Морковно-ореховый кекс,,Домашние десерты,100 с,https://nambafood.kg/dish_image/51983.png
Эспрессо,,Кофе,90 с,https://nambafood.kg/dish_image/51795.png
Двойной эспрессо,,Кофе,110 с,https://nambafood.kg/dish_image/51796.png
Мокка,,Кофе,220 с,https://nambafood.kg/dish_image/51797.png
Каппучино,,Кофе,180 с,https://nambafood.kg/dish_image/51865.png
Американо,,Кофе,140 с,https://nambafood.kg/dish_image/51853.png
Латте,,Кофе,180 с,https://nambafood.kg/dish_image/51864.png
Раф классический,,Рафы,230 с,https://nambafood.kg/dish_image/94308.png
Раф Медовый,,Рафы,230 с,https://nambafood.kg/dish_image/52056.png
Какао,,Горячие напитки,160 с,https://nambafood.kg/dish_image/51995.png
Какао со сливками,,Горячие напитки,210 с,https://nambafood.kg/dish_image/51805.png
Латте чай,,Горячие напитки,160 с,https://nambafood.kg/dish_image/51876.png
Горячий шоколад с мороженым,,Горячие напитки,210 с,https://nambafood.kg/dish_image/51873.png
Молочный коктейль Орео,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/52011.png
Банановый молочный коктейль,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/51999.png
Клубничный молочный коктейль,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/52000.png
Классический молочный коктейль,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/52003.png
Карамельный молочный коктейль,,Молочные коктейли,220 с,https://nambafood.kg/dish_image/52002.png
Айс-ти черный/зеленый 0.470,0.470,Айс-ти и Натуральные лимонады,150 с,https://nambafood.kg/dish_image/51835.png
"Лимонад киви - апельсин 0,5 л.",,Айс-ти и Натуральные лимонады,180 с,https://nambafood.kg/dish_image/51837.png
Лимонад апельсиновый 0.470,0.470,Айс-ти и Натуральные лимонады,180 с,https://nambafood.kg/dish_image/52023.png
Лимонад Клубничный 0.470,0.470,Айс-ти и Натуральные лимонады,180 с,https://nambafood.kg/dish_image/52062.png
Лимонад Грейпфрутовый 0.470,0.470,Айс-ти и Натуральные лимонады,210 с,https://nambafood.kg/dish_image/52066.png
Лимонад Смородиновый 0.470,0.470,Айс-ти и Натуральные лимонады,180 с,https://nambafood.kg/dish_image/52070.png
"Лимонад манго маракуя 0,5",,Айс-ти и Натуральные лимонады,210 с,https://nambafood.kg/dish_image/94310.png
Апельсиновый фреш,0.250,Фреш,230 с,https://nambafood.kg/dish_image/52027.png
Грейпфрутовый фреш,0.250,Фреш,230 с,https://nambafood.kg/dish_image/52025.png
Морковный фреш,0.250,Фреш,150 с,https://nambafood.kg/dish_image/52026.png
Яблочный фреш,0.250,Фреш,150 с,https://nambafood.kg/dish_image/52029.png
Смузи Смородиновый,,Смузи,210 с,https://nambafood.kg/dish_image/52057.png
"Coca-Cola 0,25 л",,Напитки,90 с,https://nambafood.kg/dish_image/140463.png
Coca-Cola 1 л,,Напитки,150 с,https://nambafood.kg/dish_image/140465.png
Bonaqua 0.5 л,"0,5",Напитки,50 с,https://nambafood.kg/dish_image/140466.png
Bonaqua 1 л,1 л.,Напитки,90 с,https://nambafood.kg/dish_image/140467.png
Соки в ассортименте,1 л.,Напитки,200 с,https://nambafood.kg/dish_image/51963.png
