Наименование,Описание,Категория,Цена,Фото
Каша овсяная молочная,С курагой и черносливом,Завтраки,180 с,https://nambafood.kg/dish_image/126841.png
Каша рисовая с медом и маслом,,Завтраки,180 с,https://nambafood.kg/dish_image/103743.png
Каша гречневая  с сухофруктами,"С курагой, яблоками, и медом.",Завтраки,180 с,https://nambafood.kg/dish_image/56168.png
Омлет с овощами,Из 3 яиц с овощами,Завтраки,210 с,https://nambafood.kg/dish_image/56160.png
Омлет капрезе,,Завтраки,210 с,https://nambafood.kg/dish_image/103747.png
Омлет с грибами и брокколи,,Завтраки,220 с,https://nambafood.kg/dish_image/96959.png
Глазунья с салатом и колбасой,,Завтраки,220 с,https://nambafood.kg/dish_image/56150.png
Яичница из трех яиц,,Завтраки,210 с,https://nambafood.kg/dish_image/22568.png
Завтрак Cave Coffee,"Глазунья, кукурузные оладьи, помидор черри, мясная начинка,  гренки со шпинатом.",Завтраки,440 с,https://nambafood.kg/dish_image/126835.png
Королевский завтрак,"Слабосольная семга, скрамбл со шпинатом, тост, зелень.",Завтраки,430 с,https://nambafood.kg/dish_image/56154.png
Английский завтрак,"Глазунья, куриные сосиски, тост, огурец, помидор.",Завтраки,420 с,https://nambafood.kg/dish_image/126852.png
Французский завтрак,"Глазунья, круассан, огурец, помидор, сливочное масло.",Завтраки,430 с,https://nambafood.kg/dish_image/126855.png
Блины домашние со сметаной,3 шт.,Завтраки,210 с,https://nambafood.kg/dish_image/18966.png
Блины с мясом,2 шт.,Завтраки,250 с,https://nambafood.kg/dish_image/103737.png
Блины с курицей и грибами,2 шт.,Завтраки,230 с,https://nambafood.kg/dish_image/96957.png
Блины с творогом,2 шт.,Завтраки,230 с,https://nambafood.kg/dish_image/22567.png
Блины с маскарпоне и клубникой,,Завтраки,260 с,https://nambafood.kg/dish_image/103759.png
Блинчики со слабосоленой семгой и сыром Филадельфия,,Завтраки,320 с,https://nambafood.kg/dish_image/18989.png
Сырники классические со сметаной,3 шт.,Завтраки,220 с,https://nambafood.kg/dish_image/103756.png
Сырники творожные с шоколадом,3 шт,Завтраки,230 с,https://nambafood.kg/dish_image/79507.png
Кукурузные оладьи,3 шт.,Завтраки,240 с,https://nambafood.kg/dish_image/18976.png
Картофельные оладьи,3 шт.,Завтраки,230 с,https://nambafood.kg/dish_image/18975.png
Оладьи с бананом  и джемом,,Завтраки,230 с,https://nambafood.kg/dish_image/96961.png
Брускета с малосоленой семгой,"Багет, семга, болгарский перец, помидор, оливки, руккола, кремета, бальзамический соус.",Завтраки,360 с,https://nambafood.kg/dish_image/103744.png
Брускета с яйцом пашот,"Багет, огурцы, помидор черри марин., кремета, слабосоленая семга, яйца пашот, руккола, зелень.",Завтраки,350 с,https://nambafood.kg/dish_image/126826.png
Брускета с креветками,"Багет, болгарский перец, помидор, огурцы, кремета, креветки, руккола, бальзамический соус.",Завтраки,350 с,https://nambafood.kg/dish_image/126825.png
Чиа-Пудинг,,Завтраки,320 с,https://nambafood.kg/dish_image/141365.png
Гранола с йогуртом,,Завтраки,320 с,https://nambafood.kg/dish_image/141366.png
"Вафли с семгой, авокадо и киноа",,Завтраки,460 с,https://nambafood.kg/dish_image/141367.png
Крем-суп из шампиньонов,,Супы,380 с,https://nambafood.kg/dish_image/67730.png
Суп лапша по-домашнему,,Супы,280 с,https://nambafood.kg/dish_image/96967.png
Том ям с курицей,,Супы,360 с,https://nambafood.kg/dish_image/56146.png
Том ям с креветками,,Супы,420 с,https://nambafood.kg/dish_image/126815.png
Чечевичный суп,,Супы,320 с,https://nambafood.kg/dish_image/18981.png
Окрошка,,Супы,320 с,https://nambafood.kg/dish_image/18979.png
Солянка,,Супы,320 с,https://nambafood.kg/dish_image/18980.png
Пельмени домашние со сметаной,,Супы,320 с,https://nambafood.kg/dish_image/18978.png
Пельмени домашние с майонезом,,Супы,320 с,https://nambafood.kg/dish_image/126817.png
Рамен с яйцом,,Супы,280 с,https://nambafood.kg/dish_image/126834.png
Рамен с сыром,,Супы,280 с,https://nambafood.kg/dish_image/126822.png
Остренький салат,,Салаты,360 с,https://nambafood.kg/dish_image/126836.png
Салат с креветками и рукколой,,Салаты,380 с,https://nambafood.kg/dish_image/103735.png
Салат с курицей и рукколой,,Салаты,360 с,https://nambafood.kg/dish_image/126845.png
Рулетики из баклажан и цукини,,Салаты,360 с,https://nambafood.kg/dish_image/103750.png
Греческий салат,,Салаты,360 с,https://nambafood.kg/dish_image/103763.png
Цезарь с креветками,,Салаты,420 с,https://nambafood.kg/dish_image/103734.png
Цезарь с курицей,,Салаты,380 с,https://nambafood.kg/dish_image/18992.png
Салат «Диетический» с курицей,,Салаты,360 с,https://nambafood.kg/dish_image/67728.png
Салат «Ростбиф»‎‎ из мягкой говядины,,Салаты,380 с,https://nambafood.kg/dish_image/141372.png
Кесадилья с мясной начинкой,,Закуски,420 с,https://nambafood.kg/dish_image/22572.png
Креветки и судак в кляре,,Закуски,680 с,https://nambafood.kg/dish_image/103754.png
Креветки на шпажках,,Закуски,480 с,https://nambafood.kg/dish_image/103753.png
Куриные стикенсы с фри и салатом,,Закуски,380 с,https://nambafood.kg/dish_image/126859.png
Клаб сендвич с курицей,,Закуски,380 с,https://nambafood.kg/dish_image/18990.png
Клаб сендвич с семгой,1 порция.,Закуски,460 с,https://nambafood.kg/dish_image/18991.png
Круассан сендвич с курицей,,Закуски,360 с,https://nambafood.kg/dish_image/126861.png
Бургер с говядиной и картофелем фри,,Закуски,380 с,https://nambafood.kg/dish_image/103749.png
Бургер из курицы с фри,,Закуски,360 с,https://nambafood.kg/dish_image/103731.png
Говяжьи слайдеры с фри,4 шт.,Закуски,420 с,https://nambafood.kg/dish_image/126830.png
Куриные слайдеры с фри,4 шт.,Закуски,380 с,https://nambafood.kg/dish_image/126832.png
Сырная тарелка,"Сыр чеддер, моцарелла, брынза, мёд, сыр фетакса, виноград, грецкий орех.",Закуски,380 с,https://nambafood.kg/dish_image/126863.png
Пивной сет,"Куриные крылышки, сыр чечел, крутон, чесночные гренки, луковые кольца, мини чебуреки, соус сальса.",Закуски,780 с,https://nambafood.kg/dish_image/126828.png
Закуска под водочку,,Закуски,320 с,https://nambafood.kg/dish_image/141368.png
Хрустящие крылышки,,Закуски,420 с,https://nambafood.kg/dish_image/141371.png
Боул с колбасками из курицы и жареным картофелем,"Куриные колбаски, картофель жареный с луком, салат свежий, лист салата, соус песто+майонез.",Боулы,380 с,https://nambafood.kg/dish_image/126846.png
Боул гриль с овощами и медальонами из говядины,"Брокколи, цветная капуста, болгарский перец, медальоны, помидор, кабачки.",Боулы,420 с,https://nambafood.kg/dish_image/96963.png
"Боул с авокадо, курицей и овощами",,Боулы,420 с,https://nambafood.kg/dish_image/141369.png
"Боул с авокадо, семгой и  яйцом",,Боулы,480 с,https://nambafood.kg/dish_image/141370.png
Фетучини с семгой,,Паста - Pasta,520 с,https://nambafood.kg/dish_image/19162.png
Фетучини с курицей,,Паста - Pasta,480 с,https://nambafood.kg/dish_image/19163.png
Феттучини грин с курицей,,Паста - Pasta,480 с,https://nambafood.kg/dish_image/56164.png
Пенне арабиата в острой томатной обжарке,,Паста - Pasta,480 с,https://nambafood.kg/dish_image/126849.png
Фарфале с креветками в сливочном соусе,,Паста - Pasta,520 с,https://nambafood.kg/dish_image/103742.png
Медальоны в сливочном соусе,,Горячее,620 с,https://nambafood.kg/dish_image/126851.png
Бефстроганов,,Горячее,580 с,https://nambafood.kg/dish_image/126850.png
Говядина с картофелем и грибами,,Горячее,580 с,https://nambafood.kg/dish_image/126833.png
Фрикасе с рисом,,Горячее,560 с,https://nambafood.kg/dish_image/126848.png
Семга под голландским соусом,,Горячее,720 с,https://nambafood.kg/dish_image/126847.png
Вареники с картошкой,,Горячее,340 с,https://nambafood.kg/dish_image/96947.png
Стейк из семги на гриле с салатом,,Горячее,780 с,https://nambafood.kg/dish_image/126840.png
Рибай стейк с салатом,,Горячее,780 с,https://nambafood.kg/dish_image/103741.png
Пеппер стейк с фри,,Горячее,780 с,https://nambafood.kg/dish_image/103757.png
Тибон стейк с овощами на гриле,,Горячее,780 с,https://nambafood.kg/dish_image/103758.png
Картофельное ассорти,Картофель фри и крокеты.,Гарниры,220 с,https://nambafood.kg/dish_image/67732.png
Овощи на гриле,,Гарниры,220 с,https://nambafood.kg/dish_image/67733.png
Брокколи и цветная капуста в кляре,,Гарниры,180 с,https://nambafood.kg/dish_image/67734.png
Рис,,Гарниры,120 с,https://nambafood.kg/dish_image/18982.png
Картофель фри,,Гарниры,180 с,https://nambafood.kg/dish_image/18983.png
Картофель по-домашнему,,Гарниры,220 с,https://nambafood.kg/dish_image/18984.png
Картофельные дольки,,Гарниры,220 с,https://nambafood.kg/dish_image/96943.png
Рис с овощами и яйцом,,Гарниры,220 с,https://nambafood.kg/dish_image/103736.png
Дракон Маки,"Угорь, сыр филадельфия, огурец.",Японская кухня,580 с,https://nambafood.kg/dish_image/19004.png
Флорида Маки,"Копченый лосось, сыр филадельфия, болгарский перец, огурец, укроп.",Японская кухня,560 с,https://nambafood.kg/dish_image/19006.png
Унаги Маки,"Угорь, огурец, кунжут.",Японская кухня,560 с,https://nambafood.kg/dish_image/19008.png
Филадельфия Маки,"Семга, сыр филадельфия.",Японская кухня,580 с,https://nambafood.kg/dish_image/19010.png
Крем Унаги Маки,"Копченый угорь, сыр филадельфия, огурец, тобико.",Японская кухня,580 с,https://nambafood.kg/dish_image/19011.png
Темпура Токио Маки,"Угорь, семга, сыр филадельфия, огурец.",Японская кухня,580 с,https://nambafood.kg/dish_image/19009.png
Самурай Маки,"Угорь, сыр филадельфия, чернослив, тобико, огурец.",Японская кухня,580 с,https://nambafood.kg/dish_image/19005.png
Тарталетка с фруктами,,Десерты,320 с,https://nambafood.kg/dish_image/126844.png
Красный бархат,,Десерты,280 с,https://nambafood.kg/dish_image/126854.png
Печенье овсяное,1 шт,Десерты,35 с,https://nambafood.kg/dish_image/126869.png
Тирамису,,Десерты,320 с,https://nambafood.kg/dish_image/19015.png
Круассан с джемом,,Десерты,180 с,https://nambafood.kg/dish_image/56149.png
Яблочный штрудель,,Десерты,280 с,https://nambafood.kg/dish_image/19013.png
Вишневый штрудель,,Десерты,280 с,https://nambafood.kg/dish_image/19012.png
Чизкейк классический,,Десерты,320 с,https://nambafood.kg/dish_image/19018.png
Чизкейк малиновый,,Десерты,320 с,https://nambafood.kg/dish_image/67737.png
Брауни с вишней,,Десерты,320 с,https://nambafood.kg/dish_image/19017.png
Маффин с голубикой,5 шт,Десерты,280 с,https://nambafood.kg/dish_image/19021.png
Фруктовая тарелка,,Десерты,480 с,https://nambafood.kg/dish_image/67736.png
Сникерс,,Десерты,320 с,https://nambafood.kg/dish_image/141373.png
Бельгийские вафли с фруктами,,Десерты,320 с,https://nambafood.kg/dish_image/141374.png
Минеральная вода с газом 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/126871.png
Минеральная вода без газа 1 л,,Напитки,120 с,https://nambafood.kg/dish_image/126873.png
Coca cola 1 л,,Напитки,150 с,https://nambafood.kg/dish_image/126875.png
Боржоми,,Напитки,180 с,https://nambafood.kg/dish_image/126877.png
Натуральный сок 1 л,,Напитки,260 с,https://nambafood.kg/dish_image/126879.png
Горячий Итальянский шоколад,,Горячий шоколад,240 с,https://nambafood.kg/dish_image/19137.png
Горячий шоколад с мороженным,,Горячий шоколад,240 с,https://nambafood.kg/dish_image/19139.png
Горячий какао,,Горячий шоколад,210 с,https://nambafood.kg/dish_image/19144.png
Какао со взбитыми сливками,,Горячий шоколад,260 с,https://nambafood.kg/dish_image/19138.png
Какао с маршмеллоу,,Горячий шоколад,260 с,https://nambafood.kg/dish_image/126881.png
Фраппучино,,Холодный кофе,250 с,https://nambafood.kg/dish_image/126884.png
Ванила-айс,,Холодный кофе,250 с,https://nambafood.kg/dish_image/126885.png
Raf-Coffee холодный,,Холодный кофе,250 с,https://nambafood.kg/dish_image/126886.png
Эспрессо,,Кофе,120 с,https://nambafood.kg/dish_image/126888.png
Двойной эспрессо,,Кофе,170 с,https://nambafood.kg/dish_image/126889.png
Ристретто,,Кофе,150 с,https://nambafood.kg/dish_image/126890.png
Американо,,Кофе,150 с,https://nambafood.kg/dish_image/126892.png
Двойной Американо,,Кофе,170 с,https://nambafood.kg/dish_image/22638.png
Капучино,,Кофе,150 с,https://nambafood.kg/dish_image/126893.png
Двойной Капучино,,Кофе,250 с,https://nambafood.kg/dish_image/126896.png
Флэт уайт,,Кофе,250 с,https://nambafood.kg/dish_image/126895.png
Латте,,Кофе,210 с,https://nambafood.kg/dish_image/126897.png
Двойной латте,,Кофе,250 с,https://nambafood.kg/dish_image/126898.png
RAF-COFFEE (горячий),,Кофе,270 с,https://nambafood.kg/dish_image/126899.png
Мокко,,Кофе,270 с,https://nambafood.kg/dish_image/126900.png
Гляссе,,Кофе,210 с,https://nambafood.kg/dish_image/19167.png
ЭКО салат с капустой и морковью,100 г,ЭКО меню,80 с,https://nambafood.kg/dish_image/67938.png
ЭКО салат с цукини и капустой,100 г,ЭКО меню,80 с,https://nambafood.kg/dish_image/67936.png
"ЭКО салат с фасолью, помидорами и чесноком",100 г,ЭКО меню,130 с,https://nambafood.kg/dish_image/67935.png
"ЭКО салат с морковью, курагой, яблоками",100 г,ЭКО меню,130 с,https://nambafood.kg/dish_image/67937.png
ЭКО салат овощной с яйцом,100 г,ЭКО меню,160 с,https://nambafood.kg/dish_image/126910.png
ЭКО салат из свежих овощей,100 г,ЭКО меню,130 с,https://nambafood.kg/dish_image/67939.png
ЭКО минестроне,250 г,ЭКО меню,180 с,https://nambafood.kg/dish_image/67934.png
ЭКО чечевичный суп,250 г,ЭКО меню,180 с,https://nambafood.kg/dish_image/67932.png
ЭКО суп из цветной капусты,250 г,ЭКО меню,180 с,https://nambafood.kg/dish_image/126912.png
ЭКО итальянский суп,250 г,ЭКО меню,180 с,https://nambafood.kg/dish_image/126914.png
